Quarter,Time,Down,ToGo,Location,HOU,GNB,Detail,EPB,EPA
2,11:17,2,5,GNB 35,10,7,Emanuel Wilson left end for 2 yards (tackle by Jake Hansen),1.070,0.630
2,10:37,3,3,GNB 37,10,7,Emanuel Wilson right end for 4 yards (tackle by Neville Hewitt),0.630,1.660
2,9:49,1,10,GNB 41,10,7,Emanuel Wilson up the middle for -1 yards (tackle by Jalen Pitre),1.660,0.990
2,9:08,2,11,GNB 40,10,7,Jordan Love pass incomplete deep right intended for Jayden Reed. Penalty on Eric Murray: Defensive Pass Interference 30 yards (accepted) (no play),0.990,3.580
2,9:01,1,10,HOU 30,10,7,Jordan Love pass incomplete short left intended for Jayden Reed,3.580,3.030
2,8:57,2,10,HOU 30,10,13,Jordan Love pass complete deep left to Dontayvion Wicks for 30 yards touchdown,3.030,7.000
2,8:51,,,HOU 15,10,14,Brandon McManus kicks extra point good,0.000,0.000
2,8:51,,,GNB 35,10,14,Brandon McManus kicks off 64 yards returned by Dameon Pierce for 42 yards (tackle by Corey Ballentine),0.000,1.800
2,8:41,1,10,HOU 43,10,14,Joe Mixon right tackle for 9 yards (tackle by Xavier McKinney),1.800,2.470
2,8:06,2,1,GNB 48,10,14,C.J. Stroud pass complete short right to Stefon Diggs for 2 yards (tackle by Keisean Nixon),2.470,2.520
2,7:31,1,10,GNB 46,10,14,Joe Mixon up the middle for 4 yards (tackle by Evan Williams),2.520,2.520
2,6:52,2,6,GNB 42,10,14,Joe Mixon right tackle for 4 yards (tackle by Rashan Gary and Keisean Nixon),2.520,2.350
2,6:10,3,2,GNB 38,10,14,Dare Ogunbowale up the middle for 6 yards (tackle by Colby Wooden and Evan Williams),2.350,3.450
2,5:30,1,10,GNB 32,10,14,C.J. Stroud pass incomplete short right,3.450,2.900
2,5:24,2,10,GNB 32,10,14,C.J. Stroud pass complete short right to Joe Mixon for -2 yards (tackle by Eric Wilson),2.900,1.950
2,4:39,3,12,GNB 34,10,14,C.J. Stroud pass incomplete deep left intended for Tank Dell,1.950,1.060
2,4:34,4,12,GNB 34,13,14,Ka'imi Fairbairn 52 yard field goal good,1.060,3.000
2,4:30,,,HOU 35,13,14,Ka'imi Fairbairn kicks off 63 yards returned by Keisean Nixon for 32 yards (tackle by Jamal Hill and Myles Bryant),0.000,1.200
2,4:24,1,10,GNB 34,13,14,Jordan Love pass deep middle intended for Christian Watson is intercepted by Calen Bullock at HOU-45 and returned for no gain (tackle by Christian Watson),1.200,-1.930
2,4:18,1,10,HOU 45,13,14,Joe Mixon left end for 4 yards (tackle by Lukas Van Ness and Evan Williams),1.930,1.920
2,3:42,2,6,HOU 49,13,14,Joe Mixon left tackle for 32 yards (tackle by Xavier McKinney),1.920,4.310
2,3:03,1,10,GNB 19,13,14,Dameon Pierce up the middle for no gain (tackle by Kingsley Enagbare and Kenny Clark),4.310,3.750
2,2:21,2,10,GNB 19,13,14,Penalty on Lukas Van Ness: Neutral Zone Infraction 5 yards (accepted) (no play),3.750,4.530
2,2:00,2,5,GNB 14,13,14,Joe Mixon left tackle for 10 yards (tackle by Kingsley Enagbare),4.530,6.280
2,1:16,,,,,,Timeout #1 by Houston Texans,,
2,1:16,1,4,GNB 4,19,14,Joe Mixon left guard for 4 yards touchdown,6.280,7.000
2,1:13,,,,,,Timeout #1 by Green Bay Packers,,
2,1:13,,,GNB 2,19,14,Two Point Attempt: C.J. Stroud pass incomplete intended for intended for Stefon Diggs. Penalty on Keisean Nixon: Defensive Pass Interference 1 yard (accepted) (no play),1.000,1.000
2,1:13,,,GNB 1,19,14,Two Point Attempt: Joe Mixon rushes conversion fails. (tackle by Evan Williams),1.000,-1.000
2,1:13,,,HOU 35,19,14,Ka'imi Fairbairn kicks off 65 yards touchback.,0.000,0.940
2,1:13,1,10,GNB 30,19,14,Jordan Love pass complete short right to Christian Watson for 9 yards (tackle by Derek Stingley),0.940,1.610
2,0:53,2,1,GNB 39,19,14,Jordan Love sacked by Tim Settle for -8 yards,1.610,-0.160
2,0:28,3,9,GNB 31,19,14,Jordan Love pass incomplete deep right intended for Jayden Reed,-0.160,-1.310
2,0:21,4,9,GNB 31,19,14,Daniel Whelan punts 51 yards returned by Desmond King for 2 yards (tackle by Matthew Orzech),-1.310,-0.280
2,0:07,1,10,HOU 20,19,14,C.J. Stroud kneels for -1 yards,0.280,-0.460
3,15:00,,,GNB 35,19,14,Brandon McManus kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,HOU 30,19,14,Joe Mixon left end for -2 yards (tackle by Kenny Clark and Preston Smith),0.940,0.120
3,14:17,2,12,HOU 28,19,14,Joe Mixon up the middle for 7 yards (tackle by Evan Williams),0.120,0.370
3,13:36,3,5,HOU 35,19,14,C.J. Stroud sacked by Eric Wilson for -8 yards,0.370,-1.570
3,12:58,4,13,HOU 27,19,14,Tommy Townsend punts 52 yards returned by Keisean Nixon for 8 yards (tackle by Troy Hairston),-1.570,-0.870
3,12:47,1,10,GNB 29,19,14,Josh Jacobs left tackle for 3 yards (tackle by Eric Murray),0.870,0.730
3,12:08,2,7,GNB 32,19,14,Jordan Love pass complete short left to Romeo Doubs for 11 yards (tackle by D'Angelo Ross),0.730,1.800
3,11:31,1,10,GNB 43,19,14,Josh Jacobs left end for 2 yards (tackle by Folorunso Fatukasi and Jake Hansen),1.800,1.520
3,10:53,2,8,GNB 45,19,14,Josh Jacobs up the middle for 10 yards (tackle by Neville Hewitt and D'Angelo Ross),1.520,2.590
3,10:14,1,10,HOU 45,19,14,Josh Jacobs left guard for 27 yards (tackle by Eric Murray),2.590,4.370
3,9:30,1,10,HOU 18,19,14,Emanuel Wilson left tackle for 1 yard (tackle by Jake Hansen),4.370,3.940
3,8:54,2,9,HOU 17,19,14,Jordan Love pass complete short middle to Romeo Doubs for 12 yards (tackle by D'Angelo Ross),3.940,6.060
3,8:11,1,5,HOU 5,19,14,Jordan Love pass complete short middle to Josh Jacobs for -3 yards (tackle by Tim Settle),6.060,4.570
3,7:31,2,8,HOU 8,19,20,Jordan Love pass complete short middle to Josh Jacobs for 8 yards touchdown,4.570,7.000
3,7:25,,,HOU 15,19,21,Brandon McManus kicks extra point good,0.000,0.000
3,7:25,,,GNB 35,19,21,Brandon McManus kicks off 65 yards touchback.,0.000,0.940
3,7:25,1,10,HOU 30,19,21,C.J. Stroud pass incomplete deep middle intended for Stefon Diggs,0.940,0.390
3,7:21,2,10,HOU 30,19,21,Dameon Pierce up the middle for -1 yards (tackle by Lukas Van Ness and Eric Wilson). Penalty on Kenny Clark: Defensive Offside 5 yards (accepted) (no play),0.390,1.070
3,7:06,2,5,HOU 35,19,21,C.J. Stroud pass incomplete deep left intended for Stefon Diggs,1.070,0.370
3,6:59,3,5,HOU 35,19,21,C.J. Stroud pass incomplete short left intended for Dalton Schultz (defended by Eric Wilson),0.370,-1.040
3,6:56,4,5,HOU 35,19,21,Tommy Townsend punts 66 yards returned by Jayden Reed for 5 yards (tackle by Ka'dar Hollman),-1.040,0.380
3,6:44,1,10,GNB 4,19,21,Josh Jacobs up the middle for 7 yards (tackle by Neville Hewitt and Jake Hansen),-0.380,-0.270
3,6:15,2,3,GNB 11,19,21,Jordan Love pass complete short left to Ben Sims for 2 yards (tackle by Jalen Pitre),-0.270,-0.370
3,5:34,3,1,GNB 13,19,21,Jayden Reed right end for no gain (tackle by Neville Hewitt),-0.370,-2.490
3,4:50,4,1,GNB 13,19,21,Daniel Whelan punts 59 yards returned by Desmond King for no gain,-2.490,-0.610
3,4:35,1,10,HOU 25,19,21,Joe Mixon right tackle for 1 yard (tackle by Colby Wooden),0.610,0.200
3,4:00,2,9,HOU 26,19,21,C.J. Stroud pass complete short right to Joe Mixon for 11 yards (tackle by Javon Bullard and Xavier McKinney),0.200,1.400
3,3:19,1,10,HOU 37,19,21,C.J. Stroud pass complete short middle to Stefon Diggs for 17 yards (tackle by Keisean Nixon),1.400,2.520
3,2:42,1,10,GNB 46,19,21,Joe Mixon right guard for 2 yards (tackle by Kingsley Enagbare),2.520,2.250
3,2:00,2,8,GNB 44,19,21,C.J. Stroud pass incomplete short left intended for Joe Mixon,2.250,1.550
3,1:56,3,8,GNB 44,19,21,C.J. Stroud sacked by Eric Wilson for -9 yards,1.550,-0.260
3,1:13,4,17,HOU 47,19,21,Tommy Townsend punts 38 yards fair catch by Jayden Reed at GB-15,-0.260,0.220
3,1:06,1,10,GNB 15,19,21,Josh Jacobs right tackle for -1 yards (tackle by Folorunso Fatukasi),-0.220,-0.820
3,0:26,2,11,GNB 14,19,21,Jordan Love pass complete short middle to Romeo Doubs for 8 yards (tackle by Derek Stingley),-0.820,-0.510
4,15:00,3,3,GNB 22,19,21,Jordan Love sacked by Will Anderson for -9 yards,-0.510,-2.490
4,14:21,4,12,GNB 13,19,21,Daniel Whelan punts 66 yards returned by Tank Dell for 11 yards (tackle by Eric Wilson),-2.490,-1.070
4,14:07,1,10,HOU 32,19,21,Joe Mixon left tackle for 3 yards (tackle by Isaiah McDuffie and Eric Wilson) (no play),1.070,0.740
4,13:38,1,15,HOU 27,19,21,C.J. Stroud scrambles up the middle for 6 yards (tackle by Isaiah McDuffie),0.740,0.660
4,13:13,2,9,HOU 33,19,21,C.J. Stroud scrambles left end for 10 yards (tackle by Jaire Alexander),0.660,1.800
4,12:28,1,10,HOU 43,19,21,Joe Mixon up the middle for 2 yards (tackle by Rashan Gary and Tedarrell Slaton),1.800,1.520
4,11:48,2,8,HOU 45,19,21,Joe Mixon left end for -3 yards (tackle by Eric Wilson),1.520,0.430
4,11:05,3,11,HOU 42,19,21,C.J. Stroud scrambles left end for 1 yard (tackle by Xavier McKinney),0.430,-0.520
4,10:16,4,10,HOU 43,19,21,Tommy Townsend punts 57 yards touchback.,-0.520,-0.280
4,10:10,1,10,GNB 20,19,21,Jordan Love pass complete short left to Josh Jacobs for 1 yard (tackle by Neville Hewitt). Penalty on Romeo Doubs: Offensive Illegal Block Above the Waist 10 yards (accepted),0.280,-0.680
