Quarter,Time,Down,ToGo,Location,MIA,IND,Detail,EPB,EPA
2,11:57,4,5,MIA 50,7,0,Penalty on Julian Hill: False Start 5 yards (accepted) (no play),-0.060,-0.390
2,11:43,4,10,MIA 45,7,0,Jake Bailey punts 33 yards out of bounds,-0.390,-0.410
2,11:34,1,10,IND 22,7,0,Tyler Goodson up the middle for 1 yard (tackle by Da'Shawn Hand),0.410,0.000
2,10:56,2,9,IND 23,7,0,Anthony Richardson pass complete short middle to Will Mallory for 5 yards (tackle by Chop Robinson),0.000,-0.030
2,10:11,3,4,IND 28,7,0,Anthony Richardson pass incomplete short middle intended for Michael Pittman (defended by Kendall Fuller),-0.030,-1.500
2,10:06,4,4,IND 28,7,0,Rigoberto Sanchez punts 45 yards fair catch by Braxton Berrios at MIA-27,-1.500,-0.740
2,10:00,1,10,MIA 27,7,0,Raheem Mostert left tackle for 9 yards (tackle by Jaylon Jones and Zaire Franklin),0.740,1.410
2,9:14,2,1,MIA 36,7,0,Raheem Mostert right end for 3 yards (tackle by Nick Cross). Penalty on Durham Smythe: Offensive Holding 10 yards (accepted),1.410,0.470
2,8:48,2,8,MIA 29,7,0,Tyler Huntley right end for 6 yards (tackle by Kwity Paye),0.470,0.560
2,8:08,3,2,MIA 35,7,0,Tyler Huntley scrambles right tackle for 3 yards (tackle by Zaire Franklin and Grant Stuard),0.560,1.470
2,7:29,1,10,MIA 38,7,0,Raheem Mostert right tackle for 1 yard (tackle by Adam Gotsis and Nick Cross). Penalty on Liam Eichenberg: Face Mask (15 Yards) 15 yards (accepted),1.470,0.540
2,7:25,1,24,MIA 24,7,0,Raheem Mostert left tackle for 1 yard (tackle by Taven Bryan and Grover Stewart),0.540,-0.830
2,6:28,2,23,MIA 25,7,0,Tyler Huntley up the middle for 5 yards (tackle by Grover Stewart and Grant Stuard). Penalty on Jonnu Smith: Offensive Offside 5 yards (declined),-0.830,-0.820
2,6:04,,,,,,Timeout #2 by Miami Dolphins,,
2,6:04,3,18,MIA 30,7,0,Tyler Huntley pass incomplete short right intended for Odell Beckham,-0.820,-1.370
2,6:01,4,18,MIA 30,7,0,Jake Bailey punts 39 yards out of bounds,-1.370,-1.000
2,5:54,1,10,IND 31,7,0,Anthony Richardson pass complete short left to Michael Pittman for 9 yards (tackle by Kendall Fuller),1.000,1.680
2,5:24,2,1,IND 40,7,0,Trey Sermon right guard for 3 yards (tackle by Mohamed Kamara and Marcus Maye),1.680,1.800
2,4:52,1,10,IND 43,7,0,Anthony Richardson pass incomplete short left intended for Mo Alie-Cox. Penalty on Braden Smith: Illegal Formation 5 yards (declined),1.800,1.250
2,4:44,2,10,IND 43,7,0,Tyler Goodson left end for 6 yards (tackle by Zach Sieler),1.250,1.350
2,4:07,3,4,IND 49,7,0,Anthony Richardson left end for 1 yard (tackle by Jordan Poyer),1.350,-0.060
2,3:20,4,3,IND 50,7,0,Penalty on Anthony Richardson: Delay of Game 5 yards (accepted) (no play),-0.060,-0.390
2,2:59,4,8,IND 45,7,0,Rigoberto Sanchez punts 55 yards touchback.,-0.390,-0.280
2,2:52,1,10,MIA 20,7,0,Tyler Huntley pass complete short left to Alec Ingold for 25 yards (tackle by Segun Olubi and Julian Blackmon),0.280,1.930
2,2:11,1,10,MIA 45,7,0,De'Von Achane up the middle for 14 yards (tackle by Nick Cross and Adetomiwa Adebawore),1.930,2.850
2,2:00,1,10,IND 41,7,0,De'Von Achane left tackle for 6 yards (tackle by Laiatu Latu),2.850,3.120
2,1:25,2,4,IND 35,7,0,De'Von Achane left end for 1 yard (tackle by Nick Cross and Grant Stuard),3.120,2.540
2,1:21,,,,,,Timeout #1 by Indianapolis Colts,,
2,1:21,3,3,IND 34,7,0,Tyler Huntley pass complete short left to Jonnu Smith for 13 yards (tackle by Nick Cross),2.540,4.170
2,1:15,1,10,IND 21,7,0,Tyler Huntley pass complete short right to Julian Hill for 4 yards (tackle by Grant Stuard),4.170,4.200
2,0:35,2,6,IND 17,7,0,Raheem Mostert right end for 2 yards (tackle by Zaire Franklin and Adam Gotsis),4.200,3.810
2,0:29,,,,,,Timeout #3 by Miami Dolphins,,
2,0:29,3,4,IND 15,7,0,Tyler Huntley pass incomplete short middle intended for Odell Beckham (defended by Kenny Moore),3.810,2.520
2,0:25,4,4,IND 15,10,0,Jason Sanders 33 yard field goal good,2.520,3.000
2,0:22,,,MIA 35,10,0,Jason Sanders kicks off 65 yards touchback.,0.000,0.940
2,0:22,1,10,IND 30,10,0,Anthony Richardson pass incomplete deep left intended for Alec Pierce,0.940,0.390
2,0:16,2,10,IND 30,10,0,Anthony Richardson pass complete deep middle to Michael Pittman for 33 yards (tackle by Jordan Poyer),0.390,3.120
2,0:09,1,10,MIA 37,10,0,Tyler Goodson up the middle for 3 yards (tackle by Jordan Poyer),3.120,2.980
2,0:05,,,,,,Timeout #2 by Indianapolis Colts,,
2,0:05,2,7,MIA 34,10,3,Matt Gay 52 yard field goal good,2.980,3.000
3,15:00,,,IND 35,10,3,Matt Gay kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,MIA 30,10,3,De'Von Achane left tackle for 12 yards (tackle by Grant Stuard and Zaire Franklin),0.940,1.730
3,14:29,1,10,MIA 42,10,3,De'Von Achane up the middle for 3 yards (tackle by Grant Stuard),1.730,1.590
3,14:04,2,7,MIA 45,10,3,De'Von Achane right tackle for 5 yards (tackle by Segun Olubi and Taven Bryan),1.590,1.550
3,13:23,3,2,MIA 50,10,3,Tyler Huntley pass incomplete deep left intended for Tyreek Hill,1.550,-0.060
3,13:15,4,2,MIA 50,10,3,Penalty on Tyler Huntley: Delay of Game 5 yards (accepted) (no play),-0.060,-0.390
3,13:15,4,7,MIA 45,10,3,Jake Bailey punts 40 yards out of bounds,-0.390,0.220
3,13:07,1,10,IND 15,10,3,Anthony Richardson pass complete short right to Josh Downs for 3 yards (tackle by Jalen Ramsey),-0.220,-0.280
3,12:40,2,7,IND 18,10,3,Anthony Richardson pass incomplete deep middle intended for Michael Pittman,-0.280,-1.000
3,12:32,3,7,IND 18,10,3,Anthony Richardson scrambles up the middle for 2 yards (tackle by David Long and Zach Sieler),-1.000,-2.030
3,11:54,4,5,IND 20,10,3,Rigoberto Sanchez punts 42 yards fair catch by Braxton Berrios at MIA-38,-2.030,-1.470
3,11:48,1,10,MIA 38,10,3,Raheem Mostert left tackle for 7 yards. Raheem Mostert fumbles (tackle by Julian Blackmon recovered by Segun Olubi at MIA-46 and returned for 18 yards and Julian Hill and Jaylen Waddle),1.470,-3.710
3,11:33,1,10,MIA 28,10,3,Anthony Richardson left tackle for 12 yards (tackle by Jordan Poyer and David Long),3.710,4.510
3,10:54,1,10,MIA 16,10,3,Ashton Dulin right end for 12 yards (tackle by Marcus Maye and Kader Kohou),4.510,6.280
3,10:07,1,4,MIA 4,10,3,Penalty on Braden Smith: False Start 5 yards (accepted) (no play),6.280,5.140
3,9:54,1,9,MIA 9,10,3,Tyler Goodson up the middle for 2 yards (tackle by David Long),5.140,4.760
3,9:11,2,7,MIA 7,10,9,Tyler Goodson left guard for 7 yards touchdown,4.760,7.000
