#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,LAC 36,4,3:16,15,Punt
2,1,9:30,LAC 13,3,1:59,4,Punt
3,1,5:55,LVR 40,4,1:33,5,Field Goal
4,1,0:45,LAC 30,3,1:30,9,Punt
5,2,12:13,LAC 31,4,3:15,14,Punt
6,2,4:27,LAC 11,3,2:18,6,Punt
7,2,1:13,LVR 12,4,0:47,5,Field Goal
8,3,12:53,LAC 20,9,3:45,74,Field Goal
9,3,8:20,LAC 45,3,1:33,6,Punt
10,3,2:02,LAC 39,6,2:07,61,Touchdown
11,4,10:30,LAC 30,3,1:00,2,Punt
12,4,7:09,LAC 8,8,3:29,92,Touchdown
13,4,1:44,LAC 38,3,1:44,-2,End of Game
