#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,TAM 30,7,3:26,32,Field Goal
2,1,9:30,TAM 38,9,4:22,46,Field Goal
3,1,0:16,TAM 37,8,4:23,63,Touchdown
4,2,7:17,TAM 40,13,7:01,49,Field Goal
5,3,9:21,TAM 46,5,2:10,54,Touchdown
6,3,6:20,TAM 24,3,1:32,-2,Punt
7,3,1:52,TAM 28,5,1:57,72,Touchdown
8,4,11:07,TAM 9,12,7:38,91,Touchdown
9,4,1:12,WAS 47,2,1:12,-2,End of Game
