#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,8:14,KAN 33,5,2:19,67,Touchdown
2,1,2:55,KAN 10,5,3:02,34,Punt
3,2,14:44,BAL 14,4,1:07,1,Field Goal
4,2,9:39,KAN 49,8,3:55,38,Field Goal
5,2,1:50,KAN 43,1,0:06,0,Interception
6,2,0:03,KAN 30,1,0:03,-1,End of Half
7,3,15:00,KAN 19,6,3:32,81,Touchdown
8,3,8:24,KAN 10,9,4:47,50,Punt
9,4,14:47,KAN 30,8,4:22,70,Touchdown
10,4,4:54,KAN 30,5,3:04,12,Punt
