#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,11:34,WAS 30,3,2:04,-7,Punt
2,1,5:08,WAS 30,10,4:52,41,Missed FG
3,2,10:53,WAS 26,8,3:36,74,Touchdown
4,2,0:16,WAS 28,1,0:16,-2,End of Half
5,3,15:00,WAS 30,12,5:39,32,Missed FG
6,3,7:11,WAS 30,3,0:51,5,Punt
7,3,4:48,WAS 40,6,2:56,60,Touchdown
8,4,14:55,WAS 25,5,3:48,22,Punt
9,4,3:29,WAS 30,10,2:17,70,Touchdown
