#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,12:59,MIN 15,3,1:36,2,Fumble
2,1,7:16,MIN 35,5,3:26,65,Touchdown
3,2,13:39,MIN 1,11,6:44,99,Touchdown
4,2,3:33,MIN 15,6,2:42,20,Punt
5,3,15:00,MIN 30,6,2:52,70,Touchdown
6,3,6:08,MIN 30,3,1:42,6,Punt
7,3,3:21,MIN 18,3,1:06,17,Interception
8,4,13:40,MIN 20,6,3:41,22,Punt
9,4,4:52,MIN 8,7,3:16,31,Punt
10,4,0:29,MIN 40,1,0:29,-1,End of Game
