#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,IND 27,6,3:20,27,Downs
2,1,6:44,IND 27,3,1:32,73,Touchdown
3,1,1:37,IND 30,3,1:37,-7,Punt
4,2,11:31,IND 31,4,1:41,15,Punt
5,2,8:29,IND 33,11,5:50,47,Interception
6,3,10:55,IND 30,3,2:00,5,Punt
7,3,5:43,HOU 5,1,0:03,5,Touchdown
8,4,13:41,IND 30,4,1:29,70,Touchdown
9,4,4:42,IND 32,8,2:28,68,Touchdown
