#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,BAL 30,11,6:46,70,Touchdown
2,1,5:55,BAL 30,4,3:00,20,Punt
3,2,14:53,BAL 20,1,0:09,-6,Fumble
4,2,13:37,BAL 30,6,3:58,21,Downs
5,2,5:44,BAL 30,7,3:54,35,Missed FG
6,2,1:44,BAL 49,10,1:41,44,Field Goal
7,3,11:28,BAL 30,7,3:04,25,Punt
8,3,3:37,BAL 20,7,3:50,80,Touchdown
9,4,10:25,BAL 30,13,5:31,56,Field Goal
10,4,1:50,BAL 13,11,1:50,77,End of Game
