#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,9:06,PIT 30,10,4:29,31,Field Goal
2,1,4:02,PIT 49,10,6:08,18,Field Goal
3,2,8:58,PIT 22,8,5:08,23,Punt
4,2,0:32,PIT 30,4,0:32,45,Field Goal
5,3,15:00,PIT 30,3,2:04,-9,Punt
6,3,10:29,PIT 38,9,2:44,24,Field Goal
7,3,3:49,PIT 32,5,3:24,46,Field Goal
8,4,14:17,PIT 22,13,7:08,72,Downs
9,4,5:13,PIT 38,3,1:53,-21,Punt
10,4,2:34,ATL 18,7,2:06,11,Field Goal
