#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,11:37,JAX 42,3,1:35,-14,Punt
2,1,7:49,JAX 4,6,3:18,96,Touchdown
3,1,2:03,JAX 12,5,2:24,11,Punt
4,2,11:52,JAX 45,8,5:31,55,Touchdown
5,2,1:04,JAX 23,6,1:04,43,Field Goal
6,3,15:00,JAX 30,3,1:30,5,Punt
7,3,9:39,JAX 37,3,1:20,-3,Punt
8,3,5:26,JAX 3,6,3:07,94,Fumble
9,3,2:08,JAX 23,4,2:21,7,Downs
10,4,13:33,JAX 32,4,2:27,16,Punt
11,4,4:22,JAX 30,3,2:13,-15,Punt
