#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,7:47,ARI 45,4,2:23,16,Fumble
2,2,14:57,BUF 30,9,5:10,51,Field Goal
3,2,2:40,BUF 30,7,2:21,70,Touchdown
4,3,15:00,BUF 40,10,5:09,60,Touchdown
5,3,7:53,BUF 31,3,1:37,3,Punt
6,3,5:25,ARI 21,5,2:48,21,Touchdown
7,4,13:32,BUF 30,10,4:48,70,Touchdown
8,4,8:31,BUF 30,6,3:14,17,Punt
9,4,4:30,ARI 42,5,2:34,21,Field Goal
10,4,0:26,BUF 29,1,0:26,-1,End of Game
