,,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams
Tm,Total,Tot,Pass,Rush,TOvr,Tot,Pass,Rush,TOvr,Tot,KO,KR,P,PR,FG/XP
Cardinals,31.00,26.58,19.57,7.67,-5.05,8.89,8.68,0.21,3.74,-4.42,-8.90,2.82,0.96,-2.89,3.59
Rams,-31.00,-8.89,-8.68,-0.21,-3.74,-26.58,-19.57,-7.67,5.05,4.42,-2.82,8.90,2.89,-0.96,-3.59
