,,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams
Tm,Total,Tot,Pass,Rush,TOvr,Tot,Pass,Rush,TOvr,Tot,KO,KR,P,PR,FG/XP
Panthers,-23.00,-22.45,-22.93,1.14,-3.93,-6.70,-4.75,-1.95,6.89,5.45,-2.41,5.70,2.60,0.05,-0.49
Chargers,23.00,6.70,4.75,1.95,-6.89,22.45,22.93,-1.14,3.93,-5.45,-5.70,2.41,-0.05,-2.60,0.49
