,,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams
Tm,Total,Tot,Pass,Rush,TOvr,Tot,Pass,Rush,TOvr,Tot,KO,KR,P,PR,FG/XP
Bills,21.00,8.59,11.37,-2.10,0.00,14.11,9.10,2.89,13.78,-2.53,-5.64,3.02,2.11,-1.13,-0.89
Dolphins,-21.00,-14.11,-9.10,-2.89,-13.78,-8.59,-11.37,2.10,0.00,2.53,-3.02,5.64,1.13,-2.11,0.89
