,,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams
Tm,Total,Tot,Pass,Rush,TOvr,Tot,Pass,Rush,TOvr,Tot,KO,KR,P,PR,FG/XP
Broncos,-7.00,-6.86,-4.65,-3.62,-3.84,1.20,-8.49,10.13,0.00,1.25,-1.60,2.82,6.07,-6.89,0.85
Steelers,7.00,-1.20,8.49,-10.13,0.00,6.86,4.65,3.62,3.84,-1.25,-2.82,1.60,6.89,-6.07,-0.85
