,,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams
Tm,Total,Tot,Pass,Rush,TOvr,Tot,Pass,Rush,TOvr,Tot,KO,KR,P,PR,FG/XP
Cowboys,-25.00,-4.63,-3.77,-0.20,-9.83,-26.86,-18.50,-8.36,3.20,7.86,-4.04,6.91,1.35,-1.13,4.77
Saints,25.00,26.86,18.50,8.36,-3.20,4.63,3.77,0.20,9.83,-7.86,-6.91,4.04,1.13,-1.35,-4.77
