Quarter,Time,Down,ToGo,Location,MIA,SEA,Detail,EPB,EPA
1,6:44,,,SEA 35,0,10,Jason Myers kicks off 66 yards returned by De'Von Achane for 32 yards (tackle by Coby Bryant and Drake Thomas),0.000,1.000
1,6:38,1,10,MIA 31,0,10,De'Von Achane left guard for 4 yards (tackle by Rayshawn Jenkins). Penalty on Julian Hill: Offensive Holding 10 yards (accepted),1.000,0.610
1,6:06,1,16,MIA 25,0,10,Skylar Thompson pass complete short right to Jaylen Waddle for 8 yards (tackle by Rayshawn Jenkins). Penalty on Devon Witherspoon: Unnecessary Roughness / Defense 15 yards (accepted),0.610,2.130
1,5:49,1,10,MIA 48,0,10,De'Von Achane right guard for 9 yards (tackle by Julian Love),2.130,2.800
1,5:13,2,1,SEA 43,0,10,De'Von Achane right end for -4 yards (tackle by Tyrice Knight),2.800,1.550
1,4:23,3,5,SEA 47,0,10,Skylar Thompson sacked by Dre'Mont Jones for -14 yards. Skylar Thompson fumbles (forced by Dre'Mont Jones) recovered by Terron Armstead at MIA-39,1.550,-0.780
1,3:45,4,19,MIA 39,0,10,Jake Bailey punts 51 yards downed by Blake Ferguson,-0.780,0.380
1,3:33,1,10,SEA 10,0,10,Zach Charbonnet right tackle for -1 yards (tackle by Emmanuel Ogbah),-0.380,-0.850
1,2:54,2,11,SEA 9,0,10,Geno Smith pass complete short right to D.K. Metcalf for no gain (tackle by Jalen Ramsey). Penalty on D.K. Metcalf: Offensive Pass Interference 4 yards (accepted) (no play),-0.850,-1.150
1,2:33,2,15,SEA 5,0,10,Geno Smith pass incomplete short left intended for Tyler Lockett (defended by Kendall Fuller),-1.150,-2.010
1,2:28,3,15,SEA 5,0,10,Geno Smith pass short left intended for Zach Charbonnet is intercepted by Kader Kohou at SEA-8 and returned for 2 yards (tackle by Zach Charbonnet),-2.010,-5.830
1,2:21,1,6,SEA 6,0,10,De'Von Achane up the middle for no gain (tackle by Rayshawn Jenkins). Penalty on Julian Hill: Illegal Motion 5 yards (accepted) (no play),5.830,4.770
1,1:52,1,11,SEA 11,0,10,Skylar Thompson pass complete short left to Tanner Conner for 1 yard (tackle by Rayshawn Jenkins),4.770,4.190
1,1:09,2,10,SEA 10,0,10,Skylar Thompson pass complete short left to Alec Ingold for 6 yards (tackle by Rayshawn Jenkins and Tyrice Knight),4.190,4.490
1,0:23,,,,,,Timeout #1 by Miami Dolphins,,
1,0:23,3,4,SEA 4,0,10,Skylar Thompson pass incomplete short right,4.490,3.030
1,0:15,4,4,SEA 4,3,10,Jason Sanders 23 yard field goal good,3.030,3.000
1,0:11,,,MIA 35,3,10,Jason Sanders kicks off 60 yards returned by Laviska Shenault for 19 yards (tackle by Tanner Conner). Penalty on Elijah Campbell: Illegal Formation 5 yards (accepted),0.000,0.870
1,0:05,1,10,SEA 29,3,16,Geno Smith pass complete deep right to D.K. Metcalf for 71 yards touchdown,0.870,7.000
