Quarter,Time,Down,ToGo,Location,WAS,CIN,Detail,EPB,EPA
2,8:03,3,1,WAS 33,14,7,Joe Burrow pass complete short right to Erick All for 8 yards (tackle by Bobby Wagner),2.740,3.910
2,7:21,1,10,WAS 25,14,7,Joe Burrow pass complete deep middle to Mike Gesicki for 17 yards (tackle by Percy Butler and Quan Martin),3.910,5.370
2,6:38,1,8,WAS 8,14,7,Joe Burrow sacked by and Dante Fowler for -6 yards and Dorance Armstrong for -6 yards,5.370,3.580
2,6:16,2,14,WAS 14,14,7,Zack Moss up the middle for 5 yards (tackle by Bobby Wagner),3.580,3.360
2,5:32,3,9,WAS 9,14,7,Joe Burrow pass incomplete short left intended for Andrei Iosivas,3.360,2.830
2,5:28,4,9,WAS 9,14,10,Evan McPherson 28 yard field goal good,2.830,3.000
2,5:25,,,CIN 35,14,10,Evan McPherson kicks off 65 yards returned by Noah Igbinoghene for 25 yards (tackle by Maema Njongmeta),0.000,0.610
2,5:20,1,10,WAS 25,14,10,Jayden Daniels pass complete short left to Noah Brown for 5 yards (tackle by Cam Taylor-Britt and Akeem Davis-Gaither),0.610,0.740
2,4:58,2,5,WAS 30,14,10,Brian Robinson right tackle for 4 yards (tackle by Vonn Bell),0.740,0.560
2,4:18,3,1,WAS 34,14,10,Brian Robinson right guard for 2 yards (tackle by Germaine Pratt),0.560,1.330
2,3:39,1,10,WAS 36,14,10,Jayden Daniels scrambles up the middle for 5 yards (tackle by Mike Hilton),1.330,1.470
2,2:57,2,5,WAS 41,14,10,Jayden Daniels pass complete deep left to Terry McLaurin for 55 yards (tackle by Cam Taylor-Britt),1.470,6.280
2,2:08,1,4,CIN 4,20,10,Jayden Daniels left end for 4 yards touchdown,6.280,7.000
2,2:04,,,CIN 15,21,10,Austin Seibert kicks extra point good,0.000,0.000
2,2:04,,,WAS 35,21,10,Austin Seibert kicks off 65 yards touchback.,0.000,0.940
2,2:04,1,10,CIN 30,21,10,Chase Brown left guard for 10 yards (tackle by Frankie Luvu and Quan Martin),0.940,1.600
2,1:58,1,10,CIN 40,21,10,Joe Burrow pass complete deep middle to Ja'Marr Chase for 22 yards (tackle by Jeremy Chinn),1.600,3.050
2,1:24,1,10,WAS 38,21,10,Zack Moss left guard for 11 yards (tackle by Mike Sainristil),3.050,3.780
2,1:13,1,10,WAS 27,21,10,Zack Moss left guard for 2 yards (tackle by Andre Jones),3.780,3.500
2,0:53,,,,,,Timeout #2 by Washington Commanders,,
2,0:53,2,8,WAS 25,21,10,Joe Burrow pass complete short right to Erick All for 8 yards (tackle by Mike Sainristil),3.500,4.440
2,0:43,,,,,,Timeout #1 by Cincinnati Bengals,,
2,0:43,1,10,WAS 17,21,10,Zack Moss up the middle for 4 yards (tackle by Mike Sainristil and Quan Martin),4.440,4.500
2,0:37,,,,,,Timeout #2 by Cincinnati Bengals,,
2,0:37,2,6,WAS 13,21,10,Joe Burrow pass incomplete short right intended for Zack Moss,4.500,3.680
2,0:30,3,6,WAS 13,21,10,Joe Burrow pass incomplete short right intended for Ja'Marr Chase,3.680,2.590
2,0:26,4,6,WAS 13,21,13,Evan McPherson 31 yard field goal good,2.590,3.000
2,0:22,,,CIN 35,21,13,Evan McPherson kicks off 65 yards touchback.,0.000,0.940
2,0:22,1,10,WAS 30,21,13,Jayden Daniels kneels for -1 yards,0.940,0.260
3,15:00,,,CIN 35,21,13,Evan McPherson kicks off 60 yards returned by Austin Ekeler for 62 yards (tackle by Josh Newton),0.000,3.380
3,14:51,1,10,CIN 33,21,13,Brian Robinson right guard for 5 yards (tackle by Logan Wilson and Daxton Hill),3.380,3.510
3,14:16,2,5,CIN 28,21,13,Jayden Daniels pass complete short middle to Zach Ertz for 4 yards (tackle by Akeem Davis-Gaither),3.510,3.340
3,13:38,3,1,CIN 24,21,13,Jayden Daniels right end for 3 yards (tackle by Sam Hubbard and Jay Tufele),3.340,4.170
3,12:58,1,10,CIN 21,21,13,Brian Robinson right guard for 2 yards (tackle by Sam Hubbard),4.170,3.900
3,12:18,2,8,CIN 19,21,13,Jayden Daniels scrambles right end for 2 yards (tackle by Germaine Pratt). Penalty on Cam Taylor-Britt: Illegal Use of Hands / Defense 5 yards (accepted),3.900,4.780
3,11:53,1,10,CIN 12,21,13,Austin Ekeler right tackle for 3 yards (tackle by Vonn Bell and Daxton Hill),4.780,4.640
3,11:09,2,7,CIN 9,21,13,Jayden Daniels pass complete short right to Noah Brown for 8 yards (tackle by Logan Wilson),4.640,6.970
3,10:41,1,1,CIN 1,21,13,Brian Robinson right guard for no gain (tackle by Joseph Ossai and Vonn Bell),6.970,5.910
3,9:58,2,1,CIN 1,27,13,Jayden Daniels pass complete short left to Trenton Scott for 1 yard touchdown,5.910,7.000
3,9:54,,,CIN 15,28,13,Austin Seibert kicks extra point good,0.000,0.000
3,9:54,,,WAS 35,28,13,Austin Seibert kicks off 66 yards returned by Trayveon Williams for 23 yards (tackle by Jeremy McNichols and Nick Bellore),0.000,0.410
3,9:47,1,10,CIN 22,28,13,Chase Brown left tackle for 16 yards (tackle by Benjamin St-Juste),0.410,1.470
3,9:19,1,10,CIN 38,28,13,Joe Burrow sacked by Javontae Jean-Baptiste for -6 yards,1.470,0.110
3,8:36,2,16,CIN 32,28,13,Joe Burrow pass complete short right to Erick All for 6 yards (tackle by Noah Igbinoghene),0.110,0.230
3,7:55,3,10,CIN 38,28,13,Joe Burrow pass complete short middle to Tee Higgins for 16 yards (tackle by Noah Igbinoghene and Percy Butler),0.230,2.520
3,7:12,1,10,WAS 46,28,13,Joe Burrow pass incomplete short left intended for Andrei Iosivas (defended by Frankie Luvu),2.520,1.980
3,7:05,,,,,,Timeout #1 by Cincinnati Bengals,,
3,7:05,2,10,WAS 46,28,13,Joe Burrow pass complete short right to Tee Higgins for 9 yards (tackle by Mike Sainristil),1.980,2.480
3,6:28,3,1,WAS 37,28,13,Zack Moss left guard for 6 yards (tackle by Jonathan Allen),2.480,3.510
3,5:54,1,10,WAS 31,28,13,Joe Burrow pass complete short left to Zack Moss for 11 yards (tackle by Jer'Zhan Newton),3.510,4.240
3,5:15,1,10,WAS 20,28,13,Chase Brown right tackle for 12 yards (tackle by Quan Martin),4.240,5.370
3,4:36,1,8,WAS 8,28,13,Zack Moss up the middle for -1 yards (tackle by Noah Igbinoghene and Jer'Zhan Newton),5.370,4.380
3,3:54,2,9,WAS 9,28,13,Joe Burrow pass complete short left to Ja'Marr Chase for 7 yards (tackle by Bobby Wagner and Quan Martin),4.380,4.950
3,3:12,,,,,,Timeout #1 by Washington Commanders,,
3,3:12,3,2,WAS 2,28,13,Joe Burrow pass incomplete short right intended for Tee Higgins,4.950,3.250
3,3:07,4,2,WAS 2,28,19,Joe Burrow pass complete short right to Andrei Iosivas for 2 yards touchdown,3.250,7.000
