Quarter,Time,Down,ToGo,Location,DET,ARI,Detail,EPB,EPA
2,7:15,4,9,DET 32,13,7,Jack Fox punts 68 yards touchback.. Penalty on Kei'Trel Clark: Unnecessary Roughness / Defense 10 yards (accepted),-1.240,0.380
2,7:06,1,10,ARI 10,13,7,Kyler Murray pass complete deep right to Michael Wilson for no gain (tackle by Terrion Arnold). Penalty on Elijah Higgins: Offensive Holding 5 yards (accepted) (no play),-0.380,-0.570
2,6:38,1,15,ARI 5,13,7,James Conner left end for 3 yards (tackle by Jack Campbell),-0.570,-0.930
2,5:57,2,12,ARI 8,13,7,Kyler Murray pass incomplete short left intended for Michael Wilson. Penalty on Terrion Arnold: Defensive Pass Interference 14 yards (accepted) (no play),-0.930,0.410
2,5:52,1,10,ARI 22,13,7,James Conner up the middle for -1 yards (tackle by Brian Branch and Aidan Hutchinson),0.410,-0.270
2,5:12,2,11,ARI 21,13,7,Kyler Murray pass complete short middle to Michael Wilson for 9 yards (tackle by Brian Branch),-0.270,0.230
2,4:32,3,2,ARI 30,13,7,Kyler Murray pass incomplete short right intended for Marvin Harrison,0.230,-1.370
2,4:24,4,2,ARI 30,13,7,Blake Gillikin punts 42 yards fair catch by Kalif Raymond at DET-28,-1.370,-0.810
2,4:23,1,10,DET 28,13,7,Jared Goff pass complete deep left to Sam LaPorta for 24 yards (tackle by Max Melton),0.810,2.390
2,3:38,1,10,ARI 48,13,7,David Montgomery up the middle for 2 yards (tackle by Mack Wilson),2.390,2.120
2,3:01,2,8,ARI 46,13,7,Jared Goff pass complete short right to David Montgomery for 1 yard (tackle by Julian Okwara and Budda Baker),2.120,1.550
2,2:18,3,7,ARI 45,13,7,Penalty on Taylor Decker: False Start 5 yards (accepted) (no play),1.550,0.890
2,2:00,3,12,ARI 50,13,7,Jahmyr Gibbs up the middle for 14 yards (tackle by Justin Jones and Jalen Thompson),0.890,3.180
2,1:20,1,10,ARI 36,13,7,Jahmyr Gibbs left tackle for 6 yards (tackle by Owen Pappoe and Jalen Thompson),3.180,3.520
2,0:44,2,3,ARI 30,13,7,Jared Goff pass complete short right to Jameson Williams for 9 yards (tackle by Garrett Williams),3.520,4.170
2,0:36,,,,,,Timeout #1 by Detroit Lions,,
2,0:36,1,10,ARI 21,19,7,Jared Goff pass complete short right to Amon-Ra St. Brown for 1 yard lateral to Jahmyr Gibbs for 20 yards touchdown touchdown,4.170,7.000
2,0:29,,,ARI 15,20,7,Jake Bates kicks extra point good,0.000,0.000
2,0:29,,,DET 35,20,7,Jake Bates kicks off 65 yards touchback.,0.000,0.940
2,0:23,1,10,ARI 30,20,7,Kyler Murray pass complete short middle to Michael Wilson for 9 yards (tackle by Brian Branch). Penalty on Jalen Reeves-Maybin: Unnecessary Roughness / Defense 15 yards (accepted),0.940,2.520
2,0:23,1,10,DET 46,20,7,Kyler Murray pass complete short right to Trey McBride for 9 yards (tackle by Kerby Joseph and Malcolm Rodriguez),2.520,3.190
2,0:17,,,,,,Timeout #2 by Detroit Lions,,
2,0:17,2,1,DET 37,20,7,Kyler Murray pass complete short right to Marvin Harrison for 7 yards (tackle by Carlton Davis),3.190,3.580
2,0:13,1,10,DET 30,20,7,Kyler Murray pass incomplete deep left intended for Marvin Harrison (defended by Terrion Arnold),3.580,3.030
2,0:07,2,10,DET 30,20,7,Emari Demercado up the middle for 6 yards (tackle by Aidan Hutchinson),3.030,3.140
2,0:02,,,,,,Timeout #1 by Arizona Cardinals,,
2,0:02,3,4,DET 24,20,10,Matt Prater 42 yard field goal good,3.140,3.000
3,15:00,,,DET 35,20,10,Jake Bates kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,ARI 30,20,10,Kyler Murray pass complete short left to Greg Dortch for 13 yards (tackle by Jalen Reeves-Maybin),0.940,1.800
3,14:27,1,10,ARI 43,20,10,Kyler Murray pass incomplete short right intended for Trey McBride,1.800,1.250
3,14:16,2,10,ARI 43,20,10,James Conner up the middle for 4 yards (tackle by D.J. Reader and Levi Onwuzurike),1.250,1.090
3,13:35,3,6,ARI 47,20,10,Kyler Murray pass incomplete short right intended for Marvin Harrison. Penalty on Carlton Davis: Defensive Pass Interference 10 yards (accepted) (no play),1.090,2.720
3,13:32,1,10,DET 43,20,10,James Conner left end for 7 yards (tackle by Malcolm Rodriguez and Brian Branch),2.720,3.120
3,13:10,2,3,DET 36,20,10,Kyler Murray pass deep left intended for Marvin Harrison is intercepted by Kerby Joseph in end zone and returned for no gain,3.120,-0.280
3,13:03,1,10,DET 20,20,10,Jared Goff pass complete short right to David Montgomery for 9 yards (tackle by Jalen Thompson),0.280,0.950
3,12:31,2,1,DET 29,20,10,David Montgomery left tackle for 4 yards (tackle by L.J. Collier and Bilal Nichols),0.950,1.140
3,11:56,1,10,DET 33,20,10,David Montgomery left tackle for 1 yard (tackle by Mack Wilson and Roy Lopez),1.140,0.730
3,11:26,2,9,DET 34,20,10,Jared Goff pass complete short left to Tim Patrick for 8 yards,0.730,1.090
3,10:54,3,1,DET 42,20,10,Penalty on Graham Glasgow: False Start 5 yards (accepted) (no play),1.090,0.430
3,10:35,3,6,DET 37,20,10,Jared Goff pass incomplete short left intended for Amon-Ra St. Brown,0.430,-0.910
3,10:32,4,6,DET 37,20,10,Jack Fox punts 61 yards downed by Khalil Dorsey,-0.910,0.380
3,10:21,1,10,ARI 2,20,10,James Conner up the middle for 1 yard (tackle by Ben Niemann and Brian Branch),-0.380,-0.710
3,9:40,2,9,ARI 3,20,10,Kyler Murray pass incomplete short left intended for Trey McBride,-0.710,-1.300
3,9:36,3,9,ARI 3,20,10,Kyler Murray left tackle for 8 yards (tackle by Kerby Joseph),-1.300,-2.490
3,9:02,4,1,ARI 11,20,10,Blake Gillikin punts 63 yards returned by Kalif Raymond for 17 yards (tackle by DeeJay Dallas),-2.490,-1.800
3,8:53,1,10,DET 43,20,10,Jameson Williams left end for -7 yards (tackle by Jalen Thompson),1.800,0.310
3,8:10,2,17,DET 36,20,10,Jared Goff pass short right intended for Brock Wright is intercepted by Dennis Gardeck at DET-43 and returned for 10 yards (tackle by Amon-Ra St. Brown),0.310,-3.380
3,8:04,1,10,DET 33,20,10,Trey Benson right tackle for 6 yards (tackle by Aidan Hutchinson),3.380,3.650
3,7:22,2,4,DET 27,20,10,Trey Benson right end for 2 yards (tackle by Carlton Davis),3.650,3.200
3,6:47,3,2,DET 25,20,10,Emari Demercado up the middle for 1 yard (tackle by Aidan Hutchinson),3.200,2.020
3,6:06,4,1,DET 24,20,10,Kyler Murray right end for 1 yard (tackle by Carlton Davis) DET challenged the first down ruling and the original play was overturned. Kyler Murray right end for no gain (tackle by Carlton Davis),2.020,-0.540
3,6:02,1,10,DET 24,20,10,Jahmyr Gibbs right tackle for 18 yards (tackle by Budda Baker),0.540,1.730
3,5:22,1,10,DET 42,20,10,Jared Goff pass complete short right to Amon-Ra St. Brown for 15 yards (tackle by Starling Thomas),1.730,2.720
3,4:45,1,10,ARI 43,20,10,Jahmyr Gibbs up the middle for 8 yards (tackle by Mack Wilson and Sean Murphy-Bunting),2.720,3.260
3,4:09,2,2,ARI 35,20,10,Jared Goff pass incomplete deep left intended for Jameson Williams,3.260,2.540
3,4:02,3,2,ARI 35,20,10,David Montgomery left tackle for 1 yard (tackle by Dante Stills and Khyiris Tonga),2.540,1.100
3,3:14,4,1,ARI 34,20,10,David Montgomery up the middle for no gain (tackle by Dante Stills and Kyzir White),1.100,-1.270
3,3:10,1,10,ARI 35,20,10,Kyler Murray pass incomplete short right intended for Greg Dortch (defended by Brian Branch),1.270,0.720
3,3:05,2,10,ARI 35,20,10,James Conner right tackle for -3 yards (tackle by Carlton Davis),0.720,-0.360
3,2:24,3,13,ARI 32,20,10,Kyler Murray pass incomplete deep left intended for Greg Dortch (defended by Brian Branch),-0.360,-1.240
3,2:19,4,13,ARI 32,20,10,Blake Gillikin punts 47 yards returned by Kalif Raymond for 12 yards (tackle by Joey Blount and Owen Pappoe),-1.240,-1.140
3,2:05,1,10,DET 33,20,10,Jared Goff pass complete short left to David Montgomery for 7 yards (tackle by Zaven Collins),1.140,1.540
3,1:26,2,3,DET 40,20,10,David Montgomery left tackle for 4 yards (tackle by Roy Lopez),1.540,1.860
3,0:44,1,10,DET 44,20,10,David Montgomery right tackle for 7 yards (tackle by Starling Thomas),1.860,2.330
4,15:00,2,2,ARI 49,20,10,David Montgomery up the middle for 3 yards (tackle by Jalen Thompson),2.330,2.520
4,14:27,1,10,ARI 46,20,10,Jared Goff pass incomplete short left,2.520,1.980
4,14:23,2,10,ARI 46,20,10,Jared Goff sacked by Dante Stills for -7 yards,1.980,0.300
4,13:41,3,18,DET 47,20,10,Jared Goff pass complete short right to Amon-Ra St. Brown for 5 yards (tackle by Owen Pappoe). Penalty on Amon-Ra St. Brown: Offensive Pass Interference 10 yards (declined),0.300,0.070
4,13:31,4,13,ARI 48,20,10,Jack Fox punts 36 yards fair catch by Greg Dortch at ARI-12,0.070,0.350
4,13:24,1,10,ARI 12,20,10,Kyler Murray pass complete deep left to Marvin Harrison for 17 yards,-0.350,0.870
4,12:38,1,10,ARI 29,20,10,Kyler Murray pass incomplete deep right intended for Marvin Harrison. Penalty on Josh Paschal: Roughing the Passer 15 yards (accepted) (no play),0.870,1.860
4,12:38,1,10,ARI 44,20,10,Kyler Murray pass complete short left to Michael Wilson for 1 yard (tackle by Brian Branch),1.860,1.450
4,12:00,2,9,ARI 45,20,10,Penalty on Tip Reiman: False Start 5 yards (accepted) (no play),1.450,0.780
4,12:00,2,14,ARI 40,20,10,Kyler Murray pass complete short right to James Conner for 8 yards (tackle by Mekhi Wingo and Malcolm Rodriguez),0.780,1.160
4,11:18,3,6,ARI 48,20,10,Kyler Murray pass incomplete short left intended for Marvin Harrison,1.160,-0.190
4,11:12,4,6,ARI 48,20,10,Kyler Murray pass incomplete short middle intended for Trey McBride (defended by Kerby Joseph),-0.190,-2.460
