Quarter,Time,Down,ToGo,Location,PHI,NOR,Detail,EPB,EPA
2,6:48,2,5,PHI 48,0,3,Alvin Kamara right guard for 4 yards (tackle by Reed Blankenship and C.J. Gardner-Johnson),2.190,2.020
2,6:06,3,1,PHI 44,0,3,Derek Carr pass complete short left to Foster Moreau for 2 yards (tackle by C.J. Gardner-Johnson),2.020,2.790
2,5:23,1,10,PHI 42,0,3,Alvin Kamara right tackle for -3 yards (tackle by Jalen Carter),2.790,1.840
2,4:45,2,13,PHI 45,0,3,Derek Carr pass complete short left to Alvin Kamara for 5 yards (tackle by Nakobe Dean),1.840,1.820
2,4:08,3,8,PHI 40,0,3,Derek Carr pass incomplete deep left intended for Rashid Shaheed (defended by Quinyon Mitchell),1.820,0.590
2,4:02,4,8,PHI 40,0,3,Matthew Hayball punts 33 yards fair catch by Cooper DeJean at PHI-7,0.590,0.380
2,3:55,1,10,PHI 7,0,3,Jalen Hurts pass complete short right to Dallas Goedert for 2 yards (tackle by Paulson Adebo),-0.380,-0.630
2,3:10,2,8,PHI 9,0,3,Jalen Hurts pass incomplete deep right intended for Dallas Goedert,-0.630,-1.190
2,3:06,3,8,PHI 9,0,3,Jalen Hurts pass complete short left to Johnny Wilson for 9 yards (tackle by Chase Young and Marshon Lattimore),-1.190,0.040
2,2:29,1,10,PHI 18,0,3,Saquon Barkley right guard for 5 yards (tackle by Willie Gay),0.040,0.280
2,2:00,2,5,PHI 23,0,3,Jalen Hurts pass complete short left to Jahan Dotson for 3 yards (tackle by Alontae Taylor). Penalty on Johnny Wilson: Offensive Holding 10 yards (accepted),0.280,-0.800
2,1:55,2,12,PHI 16,0,3,Jalen Hurts pass complete short right to Saquon Barkley for 1 yard (tackle by Paulson Adebo),-0.800,-1.340
2,1:49,3,11,PHI 17,0,3,Jalen Hurts pass complete short left to DeVonta Smith for 14 yards (tackle by Jordan Howden),-1.340,1.000
2,1:21,1,10,PHI 31,0,3,Jalen Hurts scrambles right end for 21 yards (tackle by Paulson Adebo),1.000,2.390
2,1:11,1,10,NOR 48,0,3,Jalen Hurts pass incomplete deep right intended for DeVonta Smith (defended by Paulson Adebo),2.390,1.850
2,1:06,2,10,NOR 48,0,3,Jalen Hurts pass complete short left to Parris Campbell for 7 yards (tackle by Alontae Taylor),1.850,2.080
2,0:58,,,,,,Timeout #1 by Philadelphia Eagles,,
2,0:58,3,3,NOR 41,0,3,Penalty on Fred Johnson: False Start 5 yards (accepted) (no play),2.080,1.420
2,0:58,,,,,,Timeout #1 by New Orleans Saints,,
2,0:58,3,8,NOR 46,0,3,Jalen Hurts pass complete deep left to Dallas Goedert for 22 yards (tackle by Will Harris),1.420,3.970
2,0:33,1,10,NOR 24,0,3,Jalen Hurts pass incomplete short left,3.970,3.430
2,0:27,2,10,NOR 24,0,3,Jalen Hurts pass complete short left to Saquon Barkley for 3 yards,3.430,3.140
2,0:22,3,7,NOR 21,0,3,Jalen Hurts pass complete short right to Parris Campbell for 6 yards (tackle by Demario Davis and Alontae Taylor),3.140,2.590
2,0:14,,,,,,Timeout #2 by Philadelphia Eagles,,
2,0:14,4,1,NOR 15,0,3,Saquon Barkley left end for no gain (tackle by Pete Werner and Chase Young),2.590,0.220
2,0:10,1,10,NOR 15,0,3,Derek Carr kneels for -1 yards,-0.220,-0.820
