Quarter,Time,Down,ToGo,Location,DEN,TAM,Detail,EPB,EPA
2,10:03,3,20,TAM 30,14,0,Bo Nix pass complete short right to Troy Franklin for 5 yards (tackle by Joe Tryon-Shoyinka and Tykee Smith),1.680,1.800
2,9:29,4,15,TAM 25,17,0,Wil Lutz 43 yard field goal good,1.800,3.000
2,9:25,,,DEN 35,17,0,Wil Lutz kicks off 65 yards touchback.,0.000,0.940
2,9:25,1,10,TAM 30,17,0,Bucky Irving left guard for 1 yard (tackle by Alex Singleton),0.940,0.530
2,8:43,2,9,TAM 31,17,0,Baker Mayfield pass complete short left to Mike Evans for 8 yards (tackle by P.J. Locke and Alex Singleton),0.530,0.890
2,8:06,3,1,TAM 39,17,0,Baker Mayfield pass complete short left to Chris Godwin for 8 yards (tackle by Ja'Quan McMillian),0.890,2.060
2,7:32,1,10,TAM 47,17,0,Rachaad White left guard for no gain (tackle by Zach Allen and Jordan Jackson),2.060,1.520
2,6:56,2,10,TAM 47,17,0,Baker Mayfield pass complete short right to Rachaad White for 8 yards (tackle by Alex Singleton),1.520,1.880
2,6:11,3,2,DEN 45,17,0,Baker Mayfield pass incomplete short right intended for Chris Godwin (defended by Nik Bonitto),1.880,0.270
2,6:06,4,2,DEN 45,17,0,Baker Mayfield pass incomplete short middle intended for Chris Godwin,0.270,-1.930
2,6:04,1,10,DEN 45,17,0,Bo Nix pass incomplete short middle intended for Courtland Sutton,1.930,1.380
2,6:00,2,10,DEN 45,17,0,Bo Nix pass complete short right to Jaleel McLaughlin for 7 yards (tackle by Lavonte David),1.380,1.620
2,5:28,3,3,TAM 48,17,0,Bo Nix right end for 8 yards (tackle by Zyon McCollum),1.620,2.920
2,4:42,1,10,TAM 40,17,0,Javonte Williams left tackle for no gain (tackle by Jordan Whitehead) TAM challenged the runner was down by contact ruling and the original play was overturned. Javonte Williams left tackle for 5 yards. Javonte Williams fumbles (tackle by Jordan Whitehead) recovered by Logan Hall at TB-33 (tackle by Jordan Whitehead),2.920,-1.140
2,4:35,1,10,TAM 33,17,0,Bucky Irving right tackle for 32 yards (tackle by Riley Moss),1.140,3.250
2,3:55,1,10,DEN 35,17,0,Rachaad White right end for 9 yards (tackle by Brandon Jones and Riley Moss),3.250,3.920
2,3:15,2,1,DEN 26,17,0,Baker Mayfield pass complete short right to Cade Otton for 12 yards (tackle by Cody Barton and Alex Singleton),3.920,4.650
2,2:34,1,10,DEN 14,17,0,Bucky Irving left end for 13 yards (tackle by Nik Bonitto),4.650,6.970
2,2:00,1,1,DEN 1,17,0,Rachaad White left end for no gain (tackle by Alex Singleton),6.970,5.910
2,1:54,,,,,,Timeout #2 by Denver Broncos,,
2,1:54,2,1,DEN 1,17,0,Penalty on Graham Barton: False Start 4 yards (accepted) (no play),5.910,5.150
2,1:54,2,5,DEN 5,17,6,Baker Mayfield pass complete short left to Chris Godwin for 5 yards touchdown,5.150,7.000
2,1:50,,,DEN 15,17,7,Chase McLaughlin kicks extra point good,0.000,0.000
2,1:50,,,TAM 35,17,7,Jake Camarda kicks off 65 yards touchback.,0.000,0.940
2,1:50,1,10,DEN 30,17,7,Bo Nix pass complete short right to Lil'Jordan Humphrey for 5 yards (tackle by Christian Izien),0.940,1.070
2,1:30,2,5,DEN 35,17,7,Bo Nix pass complete short left to Courtland Sutton for 10 yards (tackle by Jamel Dean),1.070,1.930
2,1:09,1,10,DEN 45,17,7,Bo Nix pass complete short right to Adam Trautman for 13 yards (tackle by Jordan Whitehead),1.930,2.790
2,1:03,1,10,TAM 42,17,7,Bo Nix pass complete short left to Lil'Jordan Humphrey for 8 yards (tackle by SirVocea Dennis and Jamel Dean),2.790,3.320
2,0:42,2,2,TAM 34,17,7,Bo Nix scrambles left end for 5 yards (tackle by Christian Izien),3.320,3.640
2,0:33,1,10,TAM 29,17,7,Bo Nix pass complete short left to Marvin Mims for 9 yards (tackle by Jamel Dean),3.640,4.320
2,0:15,2,1,TAM 20,17,7,Bo Nix pass incomplete short right intended for Troy Franklin,4.320,3.600
2,0:11,3,1,TAM 20,17,7,Bo Nix pass incomplete short right,3.600,2.270
2,0:06,4,1,TAM 20,20,7,Wil Lutz 38 yard field goal good,2.270,3.000
2,0:02,,,DEN 35,20,7,Wil Lutz kicks off 67 yards returned by Bucky Irving for 27 yards (tackle by Keidron Smith and Jonah Elliss). Penalty on SirVocea Dennis: Illegal Block Above the Waist (accepted),0.000,1.270
3,15:00,,,DEN 35,20,7,Wil Lutz kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,TAM 30,20,7,Baker Mayfield pass complete short left to Chris Godwin for 13 yards (tackle by P.J. Locke),0.940,1.800
3,14:22,1,10,TAM 43,20,7,Baker Mayfield pass complete short middle to Cade Otton for 13 yards (tackle by P.J. Locke),1.800,2.650
3,13:43,1,10,DEN 44,20,7,Baker Mayfield sacked by John Franklin-Myers for -7 yards,2.650,1.170
3,13:01,2,17,TAM 49,20,7,Baker Mayfield pass incomplete short right intended for Cade Otton,1.170,0.500
3,12:57,3,17,TAM 49,20,7,Baker Mayfield pass complete short left to Rachaad White for no gain (tackle by Ja'Quan McMillian),0.500,-0.130
3,12:14,4,17,TAM 49,20,7,Jake Camarda punts 42 yards fair catch by Marvin Mims at DEN-9,-0.130,0.380
3,12:07,1,10,DEN 9,20,7,Bo Nix pass incomplete deep middle intended for Lil'Jordan Humphrey (defended by Joe Tryon-Shoyinka),-0.380,-0.780
3,12:03,2,10,DEN 9,20,7,Tyler Badie right guard for 3 yards (tackle by Christian Izien and Zyon McCollum),-0.780,-1.070
3,11:23,3,7,DEN 12,20,7,Bo Nix pass incomplete deep right intended for Troy Franklin (defended by Tykee Smith),-1.070,-2.490
3,11:18,4,7,DEN 12,20,7,Riley Dixon punts 47 yards fair catch by Trey Palmer at TB-41,-2.490,-1.660
3,11:11,1,10,TAM 41,20,7,Bucky Irving left end for 4 yards (tackle by Patrick Surtain and Alex Singleton),1.660,1.660
3,10:33,2,6,TAM 45,20,7,Baker Mayfield pass complete short right to Bucky Irving for 4 yards (tackle by Brandon Jones),1.660,1.490
3,9:49,3,2,TAM 49,20,7,Bucky Irving right guard for 6 yards (tackle by Brandon Jones),1.490,2.590
3,9:18,1,10,DEN 45,20,7,Bucky Irving left end for no gain (tackle by Patrick Surtain and Cody Barton),2.590,2.040
3,8:44,2,10,DEN 45,20,7,Baker Mayfield sacked by Dondrea Tillman for -8 yards,2.040,0.300
3,8:03,3,18,TAM 47,20,7,Baker Mayfield pass incomplete short middle intended for Chris Godwin,0.300,-0.260
3,7:59,4,18,TAM 47,20,7,Jake Camarda punts 47 yards downed by Tavierre Thomas,-0.260,0.380
3,7:49,1,10,DEN 6,20,7,Bo Nix pass complete short right to Courtland Sutton for 1 yard,-0.380,-0.710
3,7:15,2,9,DEN 7,20,7,Bo Nix pass incomplete short right,-0.710,-1.300
3,7:12,3,9,DEN 7,20,7,Bo Nix pass complete short left to Lil'Jordan Humphrey for 17 yards (tackle by Christian Izien),-1.300,0.540
3,6:40,1,10,DEN 24,20,7,Bo Nix pass complete short left to Javonte Williams for 8 yards (tackle by K.J. Britt and Lavonte David),0.540,1.080
3,6:01,2,2,DEN 32,20,7,Bo Nix pass complete short right to Courtland Sutton for 4 yards (tackle by Christian Izien),1.080,1.330
