Quarter,Time,Down,ToGo,Location,BAL,DAL,Detail,EPB,EPA
2,12:16,2,8,BAL 24,14,3,Zay Flowers left end for 3 yards (tackle by Marist Liufau),0.140,-0.160
2,11:39,3,5,BAL 27,14,3,Lamar Jackson right end for 5 yards (tackle by Caelen Carson) DAL challenged the first down ruling and the play was upheld.,-0.160,1.070
2,11:07,1,10,BAL 32,14,3,Lamar Jackson pass incomplete short middle intended for Rashod Bateman,1.070,0.530
2,11:01,2,10,BAL 32,14,3,Derrick Henry left end for 2 yards (tackle by Eric Kendricks),0.530,0.100
2,10:17,3,8,BAL 34,14,3,Lamar Jackson pass complete short right to Isaiah Likely for 4 yards (tackle by Donovan Wilson and Jourdan Lewis),0.100,-0.850
2,9:28,4,4,BAL 38,14,3,Jordan Stout punts 55 yards out of bounds,-0.850,0.380
2,9:18,1,10,DAL 7,14,3,Ezekiel Elliott right tackle for no gain (tackle by Kyle Hamilton and Malik Harrison),-0.380,-0.780
2,8:45,2,10,DAL 7,14,3,Dak Prescott pass incomplete short middle intended for Jake Ferguson (defended by Trenton Simpson),-0.780,-1.420
2,8:42,3,10,DAL 7,14,3,Dak Prescott pass complete short middle to Tyler Smith for no gain (tackle by Travis Jones). Penalty on Tyler Smith: Illegal Touch Pass 5 yards (declined),-1.420,-2.490
2,8:28,4,10,DAL 7,14,3,Bryan Anger punts 62 yards returned by Deonte Harty for 16 yards (tackle by Juanyeh Thomas),-2.490,-2.060
2,8:14,1,10,BAL 47,14,3,Derrick Henry right end for 2 yards (tackle by DeMarcus Lawrence and DeMarvion Overshown),2.060,1.790
2,7:36,2,8,BAL 49,14,3,Lamar Jackson pass complete short left to Zay Flowers for 7 yards (tackle by Malik Hooker and Micah Parsons),1.790,2.020
2,7:02,3,1,DAL 44,14,3,Derrick Henry right end for no gain (tackle by Eric Kendricks and Marshawn Kneeland),2.020,0.330
2,6:06,4,1,DAL 44,14,3,Penalty on BAL: Delay of Game 5 yards (accepted) (no play),0.330,0.000
2,5:53,4,6,DAL 49,14,3,Jordan Stout punts 36 yards fair catch by KaVontae Turpin at DAL-13,0.000,0.320
2,5:46,1,10,DAL 13,14,3,Dak Prescott pass incomplete deep left intended for Brandin Cooks,-0.320,-0.770
2,5:41,2,10,DAL 13,14,3,Dak Prescott pass complete short middle to Jake Ferguson for 6 yards (tackle by Ar'Darius Washington),-0.770,-0.710
2,5:00,3,4,DAL 19,14,3,Dak Prescott pass complete short left to KaVontae Turpin for 12 yards (tackle by Marlon Humphrey),-0.710,1.000
2,4:27,1,10,DAL 31,14,3,Rico Dowdle up the middle for 2 yards (tackle by Roquan Smith and David Ojabo),1.000,0.730
2,3:57,2,8,DAL 33,14,3,KaVontae Turpin right end for 1 yard (tackle by Kyle Hamilton),0.730,0.170
2,3:18,3,7,DAL 34,14,3,Dak Prescott pass incomplete short right intended for Ezekiel Elliott,0.170,-1.110
2,3:15,4,7,DAL 34,14,3,Bryan Anger punts 54 yards fair catch by Deonte Harty at BAL-12,-1.110,0.350
2,3:07,1,10,BAL 12,14,3,Derrick Henry up the middle for 12 yards (tackle by Marshawn Kneeland),-0.350,0.540
2,2:32,1,10,BAL 24,14,3,Derrick Henry left end for 13 yards (tackle by Micah Parsons),0.540,1.400
2,2:00,1,10,BAL 37,14,3,Lamar Jackson pass complete short left to Justice Hill for 13 yards (tackle by Malik Hooker),1.400,2.260
2,1:53,1,10,DAL 50,14,3,Lamar Jackson pass complete short left to Derrick Henry for 23 yards (tackle by Eric Kendricks and Jourdan Lewis),2.260,3.780
2,1:10,1,10,DAL 27,14,3,Derrick Henry up the middle for 3 yards (tackle by Eric Kendricks and Osa Odighizuwa),3.780,3.640
2,1:05,,,,,,Timeout #1 by Baltimore Ravens,,
2,1:05,2,7,DAL 24,14,3,Lamar Jackson pass complete short left to Justice Hill for 8 yards (tackle by Trevon Diggs),3.640,4.510
2,0:37,1,10,DAL 16,14,3,Lamar Jackson pass complete short left to Rashod Bateman for 3 yards (tackle by Caelen Carson),4.510,4.390
2,0:31,,,,,,Timeout #2 by Baltimore Ravens,,
2,0:31,2,7,DAL 13,20,3,Lamar Jackson pass complete short middle to Rashod Bateman for 13 yards touchdown,4.390,7.000
2,0:25,,,DAL 15,21,3,Justin Tucker kicks extra point good,0.000,0.000
2,0:25,,,BAL 35,21,3,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
