Quarter,Time,Down,ToGo,Location,KAN,ATL,Detail,EPB,EPA
2,9:51,1,10,ATL 20,0,7,Samaje Perine left guard for no gain (tackle by Ta'Quon Graham). Penalty on Kingsley Suamataia: Illegal Formation 5 yards (offset) . Penalty on Ta'Quon Graham: Defensive Holding 5 yards (offset) (no play),4.240,4.240
2,9:34,1,10,ATL 20,0,7,Patrick Mahomes pass incomplete short left intended for Carson Steele,4.240,3.690
2,9:30,2,10,ATL 20,0,7,Patrick Mahomes pass complete short right to Xavier Worthy for 7 yards (tackle by AJ Terrell),3.690,4.100
2,8:51,3,3,ATL 13,6,7,Patrick Mahomes pass complete short left to Rashee Rice for 13 yards touchdown. Penalty on Lorenzo Carter: Roughing the Passer 8 yards (accepted),4.100,7.000
2,8:45,,,ATL 7,7,7,Harrison Butker kicks extra point good,0.000,0.000
2,8:45,,,KAN 35,7,7,Harrison Butker kicks off 65 yards touchback.,0.000,0.940
2,8:45,1,10,ATL 30,7,7,Kirk Cousins pass incomplete short middle intended for Ray-Ray McCloud (defended by Chamarri Conner),0.940,0.390
2,8:39,2,10,ATL 30,7,7,Tyler Allgeier left end for 4 yards (tackle by Chamarri Conner),0.390,0.230
2,7:57,3,6,ATL 34,7,7,Kirk Cousins pass incomplete deep left intended for Drake London. Penalty on Chris Jones: Roughing the Passer 15 yards (accepted) (no play),0.230,2.190
2,7:51,1,10,ATL 49,7,7,Bijan Robinson left end for no gain (tackle by Tershawn Wharton and Chris Jones),2.190,1.650
2,7:10,2,10,ATL 49,7,7,Kirk Cousins pass complete deep right to Kyle Pitts for 50 yards (tackle by Justin Reid). Penalty on Trent McDuffie: Defensive Holding 5 yards (declined),1.650,6.970
2,6:44,1,1,KAN 1,7,13,Bijan Robinson left tackle for 1 yard touchdown,6.970,7.000
2,6:37,,,KAN 15,7,14,Younghoe Koo kicks extra point good,0.000,0.000
2,6:37,,,ATL 35,7,14,Bradley Pinion kicks off 66 yards returned by Mecole Hardman for 32 yards (tackle by DeAundre Alford),0.000,1.000
2,6:31,1,10,KAN 31,7,14,Carson Steele left guard for 9 yards (tackle by Kaden Elliss),1.000,1.680
2,5:56,2,1,KAN 40,7,14,Carson Steele left tackle for 4 yards (tackle by Matt Judon),1.680,1.860
2,5:22,1,10,KAN 44,7,14,Patrick Mahomes pass complete short middle to Noah Gray for 13 yards (tackle by Justin Simmons),1.860,2.720
2,4:48,1,10,ATL 43,7,14,Patrick Mahomes pass complete short left to Rashee Rice for 2 yards (tackle by AJ Terrell and Jessie Bates),2.720,2.450
2,4:13,2,8,ATL 41,7,14,Patrick Mahomes pass complete short left to Rashee Rice for 6 yards (tackle by Clark Phillips),2.450,2.540
2,3:32,3,2,ATL 35,7,14,Samaje Perine left guard for no gain (tackle by Grady Jarrett and David Onyemata),2.540,0.990
2,2:48,4,2,ATL 35,10,14,Harrison Butker 53 yard field goal good,0.990,3.000
2,2:43,,,KAN 35,10,14,Harrison Butker kicks off 65 yards touchback.,0.000,0.940
2,2:43,1,10,ATL 30,10,14,Bijan Robinson left end for 2 yards (tackle by Chamarri Conner),0.940,0.660
2,2:00,2,8,ATL 32,10,14,Kirk Cousins sacked by Felix Anudike-Uzomah for no gain. Kirk Cousins fumbles ball out of bounds at ATL-32 (forced by Felix Anudike-Uzomah). Penalty on Bijan Robinson: Illegal Kick/Kicking Loose Ball / Offense 10 yards (accepted) . Kirk Cousins fumbles out of bounds,0.660,-1.350
2,1:53,3,18,ATL 22,10,14,Kirk Cousins aborted snap recovered by Bijan Robinson at ATL-18 Bijan Robinson up the middle for no gain (tackle by Nick Bolton),-1.350,-1.570
2,1:46,,,,,,Timeout #2 by Kansas City Chiefs,,
2,1:46,4,13,ATL 27,10,14,Bradley Pinion punts 39 yards downed by DeAngelo Malone,-1.570,-1.200
2,1:37,1,10,KAN 34,10,14,Patrick Mahomes pass complete short right to Samaje Perine for 5 yards (tackle by Troy Andersen),1.200,1.330
2,1:21,2,5,KAN 39,10,14,Patrick Mahomes pass incomplete short right,1.330,0.630
2,1:16,3,5,KAN 39,10,14,Patrick Mahomes pass incomplete short left intended for Rashee Rice,0.630,-0.780
2,1:11,4,5,KAN 39,10,14,Matt Araiza punts 42 yards returned by Avery Williams for 11 yards (tackle by Samaje Perine and James Winchester),-0.780,-0.940
2,0:59,1,10,ATL 30,10,14,Penalty on Storm Norton: False Start 5 yards (accepted) (no play),0.940,0.610
2,0:59,1,15,ATL 25,10,14,Kirk Cousins pass complete short right to Drake London for 10 yards (tackle by Chamarri Conner),0.610,1.070
2,0:42,2,5,ATL 35,10,14,Kirk Cousins pass short right (defended by Tershawn Wharton) intended for Kyle Pitts is intercepted by Chamarri Conner at ATL-49 and returned for 3 yards lateral to Jaylen Watson for 12 yards (tackle by Chris Lindstrom),1.070,-3.310
2,0:32,1,10,ATL 34,10,14,Patrick Mahomes pass complete short right to Samaje Perine for 8 yards (tackle by Troy Andersen),3.310,3.850
2,0:23,,,,,,Timeout #3 by Kansas City Chiefs,,
2,0:23,2,2,ATL 26,10,14,Patrick Mahomes pass incomplete deep middle,3.850,3.140
2,0:15,3,2,ATL 26,10,14,Patrick Mahomes pass incomplete deep left intended for Justin Watson,3.140,1.860
2,0:11,4,2,ATL 26,13,14,Harrison Butker 44 yard field goal good,1.860,3.000
2,0:06,,,KAN 35,13,14,Harrison Butker kicks off 65 yards touchback.,0.000,0.940
2,0:06,1,10,ATL 30,13,14,Kirk Cousins kneels for -1 yards,0.940,0.260
3,15:00,,,ATL 35,13,14,Bradley Pinion kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,KAN 30,13,14,Patrick Mahomes pass complete short right to Travis Kelce for 9 yards (tackle by Kaden Elliss and DeAundre Alford),0.940,1.610
3,14:30,2,1,KAN 39,13,14,Patrick Mahomes pass complete short right to Rashee Rice for 14 yards (tackle by Troy Andersen),1.610,2.460
3,13:56,1,10,ATL 47,13,14,Carson Steele right guard for 5 yards (tackle by Matt Judon),2.460,2.590
3,13:22,2,5,ATL 42,13,14,Patrick Mahomes pass complete short left to Rashee Rice for 6 yards (tackle by DeAundre Alford),2.590,3.180
3,12:50,1,10,ATL 36,13,14,Patrick Mahomes pass complete short right to Travis Kelce for 17 yards (tackle by Mike Hughes),3.180,4.310
3,12:17,1,10,ATL 19,13,14,Carson Steele right guard for 9 yards (tackle by Justin Simmons and Kaden Elliss),4.310,5.360
3,11:41,2,1,ATL 10,13,14,Carson Steele right guard for 7 yards (tackle by Ta'Quon Graham and Jessie Bates),5.360,6.510
3,11:02,1,3,ATL 3,13,14,Carson Steele up the middle for 2 yards (tackle by Kentavius Street),6.510,5.910
3,10:26,2,1,ATL 1,13,14,Carson Steele left guard for -2 yards (tackle by David Onyemata),5.910,4.720
3,9:51,3,3,ATL 3,13,14,Patrick Mahomes pass incomplete short left,4.720,3.040
3,9:42,4,3,ATL 3,16,14,Harrison Butker 21 yard field goal good,3.040,3.000
3,9:40,,,KAN 35,16,14,Harrison Butker kicks off 65 yards returned by Avery Williams for 28 yards (tackle by Cam Jones and Keaontay Ingram),0.000,0.810
3,9:33,1,10,ATL 28,16,14,Kirk Cousins pass complete short right to Darnell Mooney for 5 yards (tackle by Jaylen Watson),0.810,0.940
3,8:55,2,5,ATL 33,16,14,Bijan Robinson right tackle for 3 yards (tackle by Michael Danna and Chamarri Conner),0.940,0.630
3,8:19,3,2,ATL 36,16,14,Kirk Cousins sacked by Mike Pennel for -1 yards,0.630,-1.040
3,7:30,4,3,ATL 35,16,14,Bradley Pinion punts 65 yards touchback.,-1.040,-0.280
3,7:20,1,10,KAN 20,16,14,Carson Steele right guard for 5 yards (tackle by Troy Andersen and Justin Simmons),0.280,0.410
3,6:49,2,5,KAN 25,16,14,Patrick Mahomes pass complete short left to Rashee Rice for 4 yards (tackle by DeAundre Alford),0.410,0.230
3,6:10,3,1,KAN 29,16,14,Carson Steele right guard for 2 yards (tackle by Jessie Bates),0.230,1.000
3,5:33,1,10,KAN 31,16,14,Patrick Mahomes pass complete deep right to Rashee Rice for 27 yards (tackle by Mike Hughes),1.000,2.790
3,4:56,1,10,ATL 42,16,14,Xavier Worthy left end for 1 yard (tackle by Justin Simmons),2.790,2.380
3,4:18,2,9,ATL 41,16,14,Patrick Mahomes scrambles right guard for 15 yards (tackle by Jessie Bates),2.380,3.840
3,3:39,1,10,ATL 26,16,14,Carson Steele left guard for 8 yards (tackle by Arnold Ebiketie),3.840,4.450
3,3:00,2,2,ATL 18,16,14,Carson Steele left tackle for 2 yards (tackle by David Onyemata),4.450,4.510
3,2:20,1,10,ATL 16,16,14,Xavier Worthy left end for 6 yards (tackle by Troy Andersen and Mike Hughes),4.510,4.970
3,1:41,2,4,ATL 10,16,14,Patrick Mahomes pass complete short right to Rashee Rice for -3 yards (tackle by AJ Terrell),4.970,3.540
3,1:21,3,7,ATL 13,22,14,Patrick Mahomes pass complete short left to JuJu Smith-Schuster for 13 yards touchdown,3.540,7.000
3,1:16,,,ATL 15,22,14,Harrison Butker kicks extra point no good,0.000,-1.000
3,1:16,,,KAN 35,22,14,Harrison Butker kicks off 68 yards returned by Ray-Ray McCloud for 28 yards (tackle by Jaden Hicks). Penalty on Ross Dwelley: Offensive Illegal Block Above the Waist 10 yards (accepted),0.000,-0.220
3,1:09,1,10,ATL 15,22,14,Kirk Cousins pass complete short left to Darnell Mooney for 11 yards (tackle by Chamarri Conner and Trent McDuffie),-0.220,0.670
3,0:40,1,10,ATL 26,22,14,Bijan Robinson left guard for -2 yards (tackle by Nick Bolton),0.670,-0.140
3,0:07,2,12,ATL 24,22,14,Kirk Cousins pass complete short right to Bijan Robinson for 17 yards (tackle by Bryan Cook),-0.140,1.660
4,15:00,1,10,ATL 41,22,14,Tyler Allgeier left end for 3 yards (tackle by Nick Bolton and Jaylen Watson),1.660,1.530
4,14:23,2,7,ATL 44,22,14,Kirk Cousins pass incomplete deep left intended for Drake London,1.530,0.830
4,14:15,3,7,ATL 44,22,14,Kirk Cousins pass complete short left to Darnell Mooney for 17 yards (tackle by Chamarri Conner),0.830,2.980
4,13:40,1,10,KAN 39,22,14,Bijan Robinson right tackle for 3 yards (tackle by Chamarri Conner and Tershawn Wharton),2.980,2.850
4,13:06,2,7,KAN 36,22,14,Kirk Cousins pass incomplete short middle,2.850,2.150
4,13:00,3,7,KAN 36,22,14,Kirk Cousins pass incomplete short middle,2.150,0.880
4,12:56,4,7,KAN 36,22,17,Younghoe Koo 54 yard field goal good,0.880,3.000
4,12:52,,,ATL 35,22,17,Bradley Pinion kicks off 65 yards touchback.,0.000,0.940
4,12:52,1,10,KAN 30,22,17,Carson Steele right tackle for 6 yards (tackle by Troy Andersen and AJ Terrell),0.940,1.200
4,12:15,2,4,KAN 36,22,17,Patrick Mahomes pass complete short left to Samaje Perine for 2 yards (tackle by DeAundre Alford),1.200,0.760
4,11:37,3,2,KAN 38,22,17,Patrick Mahomes pass incomplete short left intended for Travis Kelce (defended by Jessie Bates),0.760,-0.850
4,11:31,4,2,KAN 38,22,17,Matt Araiza punts returned by Avery Williams for 1 yard. Avery Williams fumbles (forced by Jaden Hicks) recovered by Joshua Williams at ATL-8 (tackle by Jaden Hicks) Replay Assistant challenged the runner was down by contact ruling and the original play was overturned. Matt Araiza punts 52 yards returned by Avery Williams for 1 yard (tackle by Jaden Hicks),-0.850,0.370
4,11:22,1,10,ATL 11,22,17,Kirk Cousins pass incomplete short right intended for Ray-Ray McCloud. Penalty on Chris Lindstrom: Illegal Use of Hands / Offense 5 yards (accepted) (no play),-0.370,-0.570
4,11:17,1,15,ATL 6,22,17,Tyler Allgeier left tackle for 10 yards (tackle by Tershawn Wharton),-0.570,-0.300
4,10:56,2,5,ATL 16,22,17,Tyler Allgeier left tackle for 12 yards (tackle by Chamarri Conner and Justin Reid),-0.300,0.810
4,10:32,1,10,ATL 28,22,17,Tyler Allgeier right tackle for 2 yards (tackle by Nick Bolton),0.810,0.530
4,9:59,2,8,ATL 30,22,17,Kirk Cousins pass complete short right to Kyle Pitts for 9 yards (tackle by Drue Tranquill and Jaylen Watson),0.530,1.530
4,9:26,1,10,ATL 39,22,17,Bijan Robinson right tackle for 2 yards (tackle by Chamarri Conner),1.530,1.260
4,8:49,2,8,ATL 41,22,17,Kirk Cousins pass complete short right to Drake London for 13 yards (tackle by Nick Bolton),1.260,2.520
4,8:21,1,10,KAN 46,22,17,Ray-Ray McCloud left end for 20 yards (tackle by Bryan Cook),2.520,3.840
4,7:54,1,10,KAN 26,22,17,Kirk Cousins pass complete short right to Darnell Mooney for -2 yards (tackle by Justin Reid),3.840,3.030
4,7:23,2,12,KAN 28,22,17,Kirk Cousins pass complete short left to Bijan Robinson for 4 yards (tackle by Bryan Cook),3.030,2.870
4,6:44,3,8,KAN 24,22,17,Penalty on Justin Reid: Neutral Zone Infraction 5 yards (accepted) (no play),2.870,3.570
4,6:30,3,3,KAN 19,22,17,Bijan Robinson right tackle for 1 yard (tackle by Chris Jones and Jack Cochrane),3.570,2.370
4,6:08,4,2,KAN 18,22,17,Kirk Cousins pass complete short middle to Drake London for 7 yards (tackle by Justin Reid),2.370,4.840
4,5:32,1,10,KAN 11,22,17,Bijan Robinson left end for 4 yards (tackle by Michael Danna and Bryan Cook),4.840,4.890
4,4:54,2,6,KAN 7,22,17,Tyler Allgeier right guard for 1 yard (tackle by Felix Anudike-Uzomah),4.890,4.210
4,4:13,3,5,KAN 6,22,17,Kirk Cousins pass incomplete short middle intended for Kyle Pitts (defended by Bryan Cook),4.210,2.990
4,4:08,4,5,KAN 6,22,17,Kirk Cousins pass incomplete short middle intended for Drake London,2.990,0.380
4,4:04,1,10,KAN 6,22,17,Carson Steele right tackle for 2 yards (tackle by David Onyemata),-0.380,-0.630
4,3:26,2,8,KAN 8,22,17,Patrick Mahomes scrambles left end for 6 yards (tackle by Kaden Elliss),-0.630,-0.480
4,2:39,3,2,KAN 14,22,17,Patrick Mahomes pass incomplete short left intended for Xavier Worthy,-0.480,-2.470
4,2:33,4,2,KAN 14,22,17,Matt Araiza punts 51 yards fair catch by Avery Williams at ATL-35,-2.470,-1.270
4,2:26,1,10,ATL 35,22,17,Kirk Cousins pass incomplete short right intended for Darnell Mooney. Penalty on Chamarri Conner: Illegal Use of Hands / Defense 5 yards (accepted) (no play),1.270,1.600
4,2:21,1,10,ATL 40,22,17,Kirk Cousins pass complete short right to Drake London for 12 yards (tackle by Jaylen Watson),1.600,2.390
4,2:01,1,10,KAN 48,22,17,Kirk Cousins pass incomplete short left intended for Ray-Ray McCloud. Penalty on Trent McDuffie: Defensive Pass Interference 11 yards (accepted) (no play),2.390,3.120
4,1:56,1,10,KAN 37,22,17,Kirk Cousins pass incomplete deep left intended for Drake London,3.120,2.640
4,1:51,2,10,KAN 36,22,17,Kirk Cousins pass complete short right to Darnell Mooney for 1 yard (tackle by Jaylen Watson). Penalty on Jaylen Watson: Horse Collar Tackle 15 yards (accepted) (no play),2.640,4.110
4,1:44,1,10,KAN 22,22,17,Kirk Cousins pass complete short left to Darnell Mooney for -2 yards (tackle by Nazeeh Johnson),4.110,3.290
4,1:10,2,12,KAN 24,22,17,Kirk Cousins pass complete short left to Drake London for 11 yards (tackle by Drue Tranquill),3.290,4.390
4,1:03,,,,,,Timeout #1 by Atlanta Falcons,,
4,1:03,3,1,KAN 13,22,17,Tyler Allgeier left guard for no gain (tackle by Drue Tranquill),4.390,2.720
4,0:56,,,,,,Timeout #1 by Kansas City Chiefs,,
4,0:56,4,1,KAN 13,22,17,Bijan Robinson left end for -3 yards (tackle by Nick Bolton and Leo Chenal),2.720,0.140
4,0:51,1,10,KAN 16,22,17,Patrick Mahomes kneels for -5 yards,-0.140,-1.150
4,0:45,,,,,,Timeout #2 by Atlanta Falcons,,
4,0:45,2,15,KAN 11,22,17,Patrick Mahomes kneels for -4 yards,-1.150,-2.470
4,0:42,,,,,,Timeout #3 by Atlanta Falcons,,
4,0:42,3,19,KAN 7,22,17,Patrick Mahomes kneels for -4 yards,-2.470,-2.490
