Quarter,Time,Down,ToGo,Location,CHI,IND,Detail,EPB,EPA
2,9:51,2,4,IND 27,0,0,Caleb Williams pass incomplete short right,3.650,2.940
2,9:41,3,4,IND 27,0,0,Caleb Williams pass short left intended for DeAndre Carter is intercepted by Jaylon Jones at IND-25 and returned for 5 yards,2.940,-0.940
2,9:35,1,10,IND 30,0,0,Jonathan Taylor left end for 1 yard (tackle by Tremaine Edmunds),0.940,0.530
2,9:02,2,9,IND 31,0,0,Anthony Richardson pass complete deep left to Kylen Granson for 40 yards (tackle by Jaquan Brisker),0.530,3.640
2,8:26,1,10,CHI 29,0,6,Jonathan Taylor up the middle for 29 yards touchdown,3.640,7.000
2,8:19,,,CHI 15,0,7,Matt Gay kicks extra point good,0.000,0.000
2,8:19,,,IND 35,0,7,Matt Gay kicks off 62 yards returned by DeAndre Carter for 26 yards (tackle by Adetomiwa Adebawore),0.000,0.870
2,8:14,1,10,CHI 29,0,7,D'Andre Swift left tackle for 2 yards (tackle by E.J. Speed),0.870,0.600
2,7:44,2,8,CHI 31,0,7,D'Andre Swift up the middle for -1 yards (tackle by Jaylon Jones),0.600,-0.230
2,7:05,3,9,CHI 30,0,7,Caleb Williams pass complete short left to Roschon Johnson for 11 yards (tackle by Julian Blackmon),-0.230,1.660
2,6:23,1,10,CHI 41,0,7,Caleb Williams pass complete deep left to Rome Odunze for 27 yards,1.660,3.450
2,5:46,1,10,IND 32,0,7,Caleb Williams pass incomplete short right intended for D'Andre Swift (defended by Taven Bryan),3.450,2.900
2,5:41,2,10,IND 32,0,7,Caleb Williams pass complete short right to D.J. Moore for 6 yards (tackle by Dallis Flowers),2.900,3.010
2,5:12,3,4,IND 26,0,7,Caleb Williams pass complete short left to DeAndre Carter for 7 yards (tackle by Julian Blackmon),3.010,4.310
2,4:35,1,10,IND 19,0,7,Caleb Williams pass incomplete deep left intended for Gerald Everett,4.310,3.750
2,4:28,2,10,IND 19,0,7,Caleb Williams pass incomplete short left intended for DeAndre Carter. Penalty on Jaylon Jones: Defensive Pass Interference 5 yards (accepted) (no play),3.750,4.650
2,4:28,1,10,IND 14,0,7,Caleb Williams pass complete short left to D.J. Moore for 1 yard (tackle by Julian Blackmon and Zaire Franklin),4.650,4.160
2,3:50,2,9,IND 13,0,7,D'Andre Swift left end for 4 yards (tackle by Tyquan Lewis),4.160,4.050
2,3:05,3,5,IND 9,0,7,Caleb Williams pass complete short right to Cole Kmet for 4 yards (tackle by Dallis Flowers),4.050,3.030
2,2:24,4,1,IND 5,0,7,Roschon Johnson up the middle for 1 yard (tackle by Grover Stewart and Raekwon Davis),3.030,6.280
2,2:00,1,4,IND 4,0,7,Khalil Herbert up the middle for 2 yards (tackle by Raekwon Davis),6.280,5.720
2,1:55,,,,,,Timeout #1 by Indianapolis Colts,,
2,1:55,2,2,IND 2,0,7,Khalil Herbert up the middle for 1 yard (tackle by Kwity Paye and Grover Stewart),5.720,5.170
2,1:50,,,,,,Timeout #2 by Indianapolis Colts,,
2,1:50,3,1,IND 1,0,7,Khalil Herbert up the middle for no gain (tackle by Tyquan Lewis and Kenny Moore),5.170,3.550
2,1:46,,,,,,Timeout #3 by Indianapolis Colts,,
2,1:46,4,1,IND 1,0,7,D'Andre Swift left end for -12 yards (tackle by Tyquan Lewis),3.550,0.320
2,1:40,1,10,IND 13,0,7,Jonathan Taylor right guard for 6 yards (tackle by Kevin Byard and DeMarcus Walker),-0.320,0.030
2,1:33,,,,,,Timeout #1 by Chicago Bears,,
2,1:33,2,4,IND 19,0,7,Jonathan Taylor right tackle for 5 yards (tackle by Tyrique Stevenson),0.030,0.540
2,1:13,1,10,IND 24,0,7,Anthony Richardson pass incomplete deep right,0.540,0.000
2,1:06,2,10,IND 24,0,7,Anthony Richardson pass complete short right to Josh Downs for 7 yards (tackle by T.J. Edwards),0.000,0.230
2,1:02,3,3,IND 31,0,7,Anthony Richardson pass incomplete short left intended for Josh Downs,0.230,-1.310
2,0:59,4,3,IND 31,0,7,Rigoberto Sanchez punts 51 yards fair catch by DeAndre Carter at CHI-18,-1.310,-0.040
2,0:51,1,10,CHI 18,0,7,Caleb Williams pass complete short left to D.J. Moore for 12 yards (tackle by Jaylon Jones),0.040,0.940
2,0:48,1,10,CHI 30,0,7,Caleb Williams pass incomplete short left intended for Roschon Johnson,0.940,0.390
2,0:43,2,10,CHI 30,0,7,Caleb Williams pass complete short right to Roschon Johnson for 9 yards (tackle by Zaire Franklin and E.J. Speed),0.390,0.890
2,0:37,,,,,,Timeout #2 by Chicago Bears,,
2,0:37,3,1,CHI 39,0,7,Caleb Williams up the middle for 8 yards (tackle by Zaire Franklin),0.890,2.060
2,0:31,,,,,,Timeout #3 by Chicago Bears,,
2,0:31,1,10,CHI 47,0,7,Caleb Williams pass complete deep left to D.J. Moore for no gain. Penalty on Braxton Jones: Offensive Holding 10 yards (accepted) (no play),2.060,1.400
2,0:25,1,20,CHI 37,0,7,Caleb Williams pass incomplete deep right intended for DeAndre Carter,1.400,0.170
2,0:19,2,20,CHI 37,0,7,Caleb Williams pass complete short right to Cole Kmet for 18 yards (tackle by E.J. Speed),0.170,1.880
2,0:01,3,2,IND 45,0,7,Caleb Williams spiked the ball,1.880,0.270
2,0:01,4,2,IND 45,0,7,Caleb Williams pass complete deep right to D.J. Moore for 44 yards (tackle by Julian Blackmon and E.J. Speed),0.270,-0.370
3,15:00,,,CHI 35,0,7,Cairo Santos kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,IND 30,0,7,Anthony Richardson pass deep left intended for Michael Pittman is intercepted by Jaylon Johnson at CHI-46 and returned for 2 yards (tackle by Michael Pittman),0.940,-2.130
3,14:52,1,10,CHI 48,0,7,Caleb Williams pass complete short left to Cole Kmet for 15 yards (tackle by Kenny Moore),2.130,3.120
3,14:19,1,10,IND 37,0,7,D'Andre Swift up the middle for 1 yard (tackle by Zaire Franklin),3.120,2.710
3,13:48,2,9,IND 36,0,7,Caleb Williams pass incomplete short right,2.710,2.010
3,13:41,3,9,IND 36,0,7,Caleb Williams pass complete short right to Cole Kmet for 2 yards (tackle by Kenny Moore and Nick Cross),2.010,1.060
3,12:56,4,7,IND 34,3,7,Cairo Santos 53 yard field goal good,1.060,3.000
3,12:51,,,CHI 35,3,7,Cairo Santos kicks off 69 yards returned by Dallis Flowers for 30 yards (tackle by Tyrique Stevenson and Collin Johnson),0.000,0.670
3,12:46,1,10,IND 26,3,7,Penalty on Mo Alie-Cox: False Start 5 yards (accepted) (no play),0.670,0.340
3,12:46,1,15,IND 21,3,7,Penalty on Jonathan Taylor: False Start 5 yards (accepted) (no play),0.340,-0.300
3,12:46,1,20,IND 16,3,7,Anthony Richardson pass complete short right to Michael Pittman for 10 yards (tackle by Montez Sweat and Tyrique Stevenson),-0.300,0.130
3,12:11,2,10,IND 26,3,7,Anthony Richardson pass complete short right to Michael Pittman for 6 yards (tackle by Tyrique Stevenson),0.130,0.230
3,11:35,3,4,IND 32,3,7,Anthony Richardson pass incomplete short right intended for Jonathan Taylor,0.230,-1.240
3,11:29,4,4,IND 32,3,7,Rigoberto Sanchez punts 52 yards fair catch by DeAndre Carter at CHI-16,-1.240,0.140
3,11:22,1,10,CHI 16,3,7,Rome Odunze left end for 2 yards (tackle by Nick Cross),-0.140,-0.350
3,10:52,2,8,CHI 18,3,7,Caleb Williams pass incomplete short left intended for D'Andre Swift,-0.350,-1.070
3,10:49,3,8,CHI 18,3,7,Caleb Williams sacked by and Kwity Paye for -10 yards and Kenny Moore for -10 yards,-1.070,-2.490
3,10:05,4,18,CHI 8,3,7,Tory Taylor punts returned by Anthony Gould for no gain (tackle by Elijah Hicks). Penalty on Tyler Goodson: Roughing the Kicker 15 yards (accepted) (no play),-2.490,0.480
3,9:53,1,10,CHI 23,3,7,Caleb Williams pass deep left (defended by Nick Cross) intended for Rome Odunze is intercepted by Jaylon Jones at CHI-45 and returned for no gain,0.480,-2.590
3,9:46,1,10,CHI 45,3,7,Jonathan Taylor right tackle for no gain (tackle by Austin Booker). Penalty on Kylen Granson: Illegal Shift 5 yards (accepted) (no play),2.590,2.260
3,9:28,1,15,CHI 50,3,7,Anthony Richardson pass complete short left to Josh Downs for 2 yards (tackle by Tremaine Edmunds and Kyler Gordon),2.260,1.640
3,8:35,2,13,CHI 48,3,7,Anthony Richardson scrambles right end for 8 yards (tackle by Jaylon Johnson),1.640,2.010
3,8:24,3,5,CHI 40,3,7,Jonathan Taylor up the middle for 2 yards (tackle by Gervon Dexter),2.010,0.720
3,7:39,4,3,CHI 38,3,7,Jonathan Taylor right guard for 1 yard (tackle by DeMarcus Walker),0.720,-1.400
3,7:25,1,10,CHI 37,3,7,D'Andre Swift up the middle for 4 yards (tackle by Tyquan Lewis),1.400,1.400
3,6:49,2,6,CHI 41,3,7,D'Andre Swift right end for 2 yards (tackle by Grover Stewart and Nick Cross),1.400,0.960
3,6:06,3,4,CHI 43,3,7,Caleb Williams pass incomplete deep left intended for Rome Odunze,0.960,-0.520
3,5:57,4,4,CHI 43,3,7,Tory Taylor punts 37 yards out of bounds,-0.520,-0.280
3,5:51,1,10,IND 20,3,7,Jonathan Taylor up the middle for 2 yards (tackle by Kevin Byard),0.280,0.000
3,5:11,2,8,IND 22,3,7,Jonathan Taylor right end for -1 yards (tackle by Montez Sweat),0.000,-0.820
3,4:31,3,9,IND 21,3,7,Anthony Richardson pass complete short left to Michael Pittman for 7 yards (tackle by Kyler Gordon and T.J. Edwards),-0.820,-1.500
3,3:40,4,2,IND 28,3,7,Penalty on Daniel Hardy: Neutral Zone Infraction 5 yards (accepted) (no play),-1.500,1.140
3,3:37,1,10,IND 33,3,7,Jonathan Taylor right tackle for 1 yard (tackle by Gervon Dexter and Kyler Gordon),1.140,0.730
3,3:01,2,9,IND 34,3,7,Anthony Richardson pass complete short left to Jonathan Taylor for 25 yards (tackle by Tremaine Edmunds),0.730,2.850
3,2:19,1,10,CHI 41,3,7,Jonathan Taylor left tackle for 21 yards (tackle by Tyrique Stevenson),2.850,4.240
3,1:34,1,10,CHI 20,3,7,Trey Sermon left guard for 15 yards (tackle by Tyrique Stevenson),4.240,6.060
3,0:59,1,5,CHI 5,3,7,Anthony Richardson up the middle for 4 yards (tackle by Kevin Byard),6.060,5.910
3,0:29,2,1,CHI 1,3,13,Trey Sermon up the middle for 1 yard touchdown,5.910,7.000
3,0:21,,,CHI 15,3,14,Matt Gay kicks extra point good,0.000,0.000
3,0:21,,,IND 35,3,14,Matt Gay kicks off 65 yards touchback.,0.000,0.940
3,0:21,1,10,CHI 30,3,14,Caleb Williams pass complete short left to D'Andre Swift for 11 yards (tackle by Julian Blackmon and Kenny Moore),0.940,1.660
4,15:00,1,10,CHI 41,3,14,D'Andre Swift left end for 4 yards (tackle by Chris Lammons and Dayo Odeyingbo),1.660,1.660
4,14:25,2,6,CHI 45,3,14,Caleb Williams pass complete short left to Cole Kmet for 8 yards (tackle by Chris Lammons and Zaire Franklin),1.660,2.460
4,13:46,1,10,IND 47,3,14,D.J. Moore left end for -6 yards (tackle by Raekwon Davis),2.460,1.100
4,13:12,2,16,CHI 47,3,14,Caleb Williams pass complete short right to D'Andre Swift for 11 yards (tackle by Dallis Flowers),1.100,1.880
4,12:36,3,5,IND 42,3,14,Caleb Williams pass complete short middle to Rome Odunze for 14 yards (tackle by Nick Cross and Zaire Franklin),1.880,3.710
4,12:01,1,10,IND 28,3,14,D'Andre Swift left tackle for 3 yards (tackle by E.J. Speed),3.710,3.570
4,11:24,2,7,IND 25,3,14,Caleb Williams pass incomplete deep middle intended for Rome Odunze,3.570,2.870
4,11:12,3,7,IND 25,3,14,Caleb Williams pass complete deep right to Cole Kmet for 10 yards (tackle by Nick Cross),2.870,4.580
4,10:28,1,10,IND 15,3,14,Roschon Johnson left end for 3 yards (tackle by Zaire Franklin and Jaylon Jones),4.580,4.450
4,9:47,2,7,IND 12,3,14,Caleb Williams pass complete short right to D.J. Moore for 1 yard (tackle by Kenny Moore),4.450,3.780
4,9:04,3,6,IND 11,3,14,Caleb Williams pass complete short middle to Cole Kmet for 8 yards (tackle by E.J. Speed and Zaire Franklin),3.780,6.510
4,8:45,1,3,IND 3,3,14,Penalty on Zaire Franklin: Encroachment 2 yards (accepted) (no play),6.510,6.970
4,8:25,1,1,IND 1,9,14,Caleb Williams pass complete short left to Rome Odunze for 1 yard touchdown,6.970,7.000
4,8:21,,,,,,Timeout #1 by Chicago Bears,,
4,8:21,,,IND 2,9,14,Two Point Attempt: Caleb Williams pass incomplete intended for intended for Khalil Herbert,1.000,-1.000
4,8:21,,,CHI 35,9,14,Cairo Santos kicks off 65 yards touchback.,0.000,0.940
4,8:21,1,10,IND 30,9,14,Jonathan Taylor up the middle for 6 yards (tackle by Kevin Byard). Penalty on Andrew Billings: Illegal Use of Hands / Defense 5 yards (accepted),0.940,1.660
4,7:54,1,10,IND 41,9,14,Jonathan Taylor left end for no gain (tackle by Kyler Gordon and Jaquan Brisker),1.660,1.120
4,7:21,2,10,IND 41,9,14,Anthony Richardson pass incomplete short left intended for Mo Alie-Cox (defended by Tremaine Edmunds),1.120,0.430
4,7:14,3,10,IND 41,9,14,Anthony Richardson pass incomplete deep left intended for Adonai Mitchell (defended by Kevin Byard),0.430,-0.650
4,7:03,4,10,IND 41,9,14,Rigoberto Sanchez punts 47 yards returned by DeAndre Carter for 6 yards (tackle by Chris Lammons and Andrew Ogletree),-0.650,-0.040
4,6:52,1,10,CHI 18,9,14,Caleb Williams sacked by Laiatu Latu for -6 yards. Caleb Williams fumbles (forced by Laiatu Latu) recovered by Grover Stewart at CHI-16 (tackle by Laiatu Latu),0.040,-4.510
4,6:46,1,10,CHI 16,9,14,Anthony Richardson right tackle for 13 yards (tackle by Kevin Byard),4.510,6.510
4,6:22,1,3,CHI 3,9,14,Jonathan Taylor up the middle for 1 yard (tackle by DeMarcus Walker and Gervon Dexter),6.510,5.720
4,5:42,2,2,CHI 2,9,14,Jonathan Taylor left guard for 1 yard (tackle by Gervon Dexter and DeMarcus Walker),5.720,5.170
4,5:25,,,,,,Timeout #2 by Chicago Bears,,
4,5:25,3,1,CHI 1,9,20,Jonathan Taylor left guard for 1 yard touchdown,5.170,7.000
4,5:22,,,CHI 15,9,21,Matt Gay kicks extra point good,0.000,0.000
4,5:22,,,IND 35,9,21,Matt Gay kicks off 65 yards touchback.,0.000,0.940
4,5:22,1,10,CHI 30,9,21,Caleb Williams pass complete short right to Rome Odunze for 6 yards (tackle by Dallis Flowers),0.940,1.200
4,4:58,2,4,CHI 36,9,21,Roschon Johnson left guard for no gain (tackle by Zaire Franklin and E.J. Speed). Penalty on Teven Jenkins: Offensive Holding 10 yards (offset) . Penalty on Dallis Flowers: Illegal Use of Hands / Defense 5 yards (offset) (no play),1.200,1.200
4,4:57,2,4,CHI 36,9,21,Caleb Williams pass complete deep middle to Cole Kmet for 19 yards (tackle by Zaire Franklin and Nick Cross),1.200,2.590
4,4:36,1,10,IND 45,9,21,Caleb Williams pass complete short middle to Roschon Johnson for 6 yards (tackle by E.J. Speed),2.590,2.850
4,4:11,2,4,IND 39,9,21,Caleb Williams pass incomplete deep middle intended for Rome Odunze,2.850,2.150
4,4:04,3,4,IND 39,9,21,Roschon Johnson right guard for 9 yards (tackle by Dallis Flowers and Nick Cross),2.150,3.580
4,3:40,1,10,IND 30,9,21,Caleb Williams sacked by Adetomiwa Adebawore for -8 yards,3.580,1.950
4,3:11,2,18,IND 38,9,21,Caleb Williams pass complete short right to Roschon Johnson for 6 yards (tackle by E.J. Speed),1.950,2.080
4,2:44,3,12,IND 32,9,21,Caleb Williams pass complete deep right to Rome Odunze for 17 yards (tackle by Nick Cross),2.080,4.580
4,2:36,1,10,IND 15,9,21,Caleb Williams pass incomplete short middle intended for DeAndre Carter,4.580,3.950
4,2:35,2,10,IND 15,9,21,Caleb Williams pass incomplete short left intended for D.J. Moore (defended by Kenny Moore),3.950,3.100
4,2:29,3,10,IND 15,9,21,Caleb Williams pass complete short middle to DeAndre Carter for 9 yards (tackle by Zaire Franklin),3.100,3.020
4,2:05,4,1,IND 6,15,21,Caleb Williams pass complete short right to Cole Kmet for 6 yards touchdown,3.020,7.000
4,2:01,,,IND 15,16,21,Cairo Santos kicks extra point good,0.000,0.000
4,2:01,,,CHI 35,16,21,Cairo Santos kicks off 65 yards touchback.,0.000,0.940
4,2:01,1,10,IND 30,16,21,Jonathan Taylor up the middle for 4 yards (tackle by Andrew Billings and Jaquan Brisker),0.940,0.930
4,1:57,2,6,IND 34,16,21,Jonathan Taylor right end for 13 yards (tackle by Jack Sanborn and Kevin Byard),0.930,2.060
4,1:49,,,,,,Timeout #3 by Chicago Bears,,
4,1:49,1,10,IND 47,16,21,Anthony Richardson kneels for -2 yards,2.060,1.250
4,1:04,2,12,IND 45,16,21,Anthony Richardson kneels for -1 yards,1.250,0.430
4,0:30,3,13,IND 44,16,21,Anthony Richardson kneels for -1 yards,0.430,-0.520
