Quarter,Time,Down,ToGo,Location,JAX,BUF,Detail,EPB,EPA
2,11:35,1,10,BUF 24,0,13,Trevor Lawrence pass complete short left to Luke Farrell for 1 yard (tackle by Christian Benford),3.970,3.570
2,10:53,2,9,BUF 23,0,13,Trevor Lawrence pass incomplete deep left intended for Travis Etienne,3.570,2.870
2,10:48,3,9,BUF 23,0,13,Trevor Lawrence pass incomplete deep left intended for Gabriel Davis,2.870,1.930
2,10:43,4,9,BUF 23,3,13,Cam Little 41 yard field goal good,1.930,3.000
2,10:39,,,JAX 35,3,13,Cam Little kicks off 65 yards returned by Ty Johnson for 32 yards (tackle by Caleb Johnson),0.000,1.070
2,10:33,1,10,BUF 32,3,13,Josh Allen pass complete short right to Dawson Knox for 7 yards (tackle by Andre Cisco),1.070,1.470
2,9:51,2,3,BUF 39,3,13,James Cook left guard for 2 yards (tackle by Chad Muma and Jeremiah Ledbetter),1.470,1.030
2,9:13,3,1,BUF 41,3,13,Josh Allen pass complete short right to James Cook for 8 yards (tackle by Yasir Abdullah),1.030,2.190
2,8:32,1,10,BUF 49,3,13,Josh Allen pass complete short left to James Cook for 17 yards (tackle by Montaric Brown and Chad Muma),2.190,3.310
2,7:50,1,10,JAX 34,3,13,Ray Davis up the middle for -1 yards (tackle by Travon Walker),3.310,2.640
2,7:13,2,11,JAX 35,3,13,Josh Allen pass incomplete deep right intended for Mack Hollins,2.640,1.950
2,7:08,3,11,JAX 35,3,13,Josh Allen scrambles up the middle for 11 yards (tackle by Foyesade Oluokun and Christian Braswell),1.950,3.970
2,6:25,1,10,JAX 24,3,19,Josh Allen pass complete deep right to Keon Coleman for 24 yards touchdown,3.970,7.000
2,6:19,,,JAX 15,3,20,Tyler Bass kicks extra point good,0.000,0.000
2,6:19,,,BUF 35,3,20,Tyler Bass kicks off 65 yards touchback.,0.000,0.940
2,6:19,1,10,JAX 30,3,20,Trevor Lawrence pass complete short right to Brenton Strange for 6 yards (tackle by Dorian Williams and Rasul Douglas),0.940,1.200
2,5:47,2,4,JAX 36,3,20,Travis Etienne up the middle for 3 yards (tackle by Gregory Rousseau),1.200,0.890
2,5:09,3,1,JAX 39,3,20,Trevor Lawrence pass incomplete short left,0.890,-0.780
2,5:03,4,1,JAX 39,3,20,Trevor Lawrence up the middle for 2 yards (tackle by Dorian Williams and DaQuan Jones),-0.780,1.660
2,4:28,1,10,JAX 41,3,20,Trevor Lawrence pass deep right intended for Brian Thomas is intercepted by Damar Hamlin at BUF-40 and returned for 19 yards (tackle by Luke Farrell),1.660,-2.850
2,4:13,1,10,JAX 41,3,20,James Cook right guard for 5 yards (tackle by Antonio Johnson and Travon Walker),2.850,2.980
2,3:31,2,5,JAX 36,3,20,Josh Allen pass complete short left to Khalil Shakir for 8 yards (tackle by Antonio Johnson),2.980,3.710
2,3:00,1,10,JAX 28,3,20,Josh Allen pass incomplete deep left intended for James Cook,3.710,3.170
2,2:55,2,10,JAX 28,3,20,Josh Allen pass complete short right to Ray Davis for 1 yard (tackle by Chad Muma),3.170,2.610
2,2:11,3,9,JAX 27,3,26,Josh Allen pass complete short right to Khalil Shakir for 27 yards touchdown,2.610,7.000
2,2:04,,,JAX 15,3,27,Tyler Bass kicks extra point good,0.000,0.000
2,2:04,,,BUF 35,3,27,Tyler Bass kicks off 65 yards touchback.,0.000,0.940
2,2:04,1,10,JAX 30,3,27,Trevor Lawrence pass complete short left to Parker Washington for 6 yards (tackle by Cameron Lewis),0.940,1.200
2,1:58,2,4,JAX 36,3,27,Trevor Lawrence pass complete short middle to Brian Thomas for 5 yards (tackle by Damar Hamlin),1.200,1.660
2,1:39,1,10,JAX 41,3,27,Trevor Lawrence pass incomplete short middle intended for Travis Etienne,1.660,1.120
2,1:35,2,10,JAX 41,3,27,Trevor Lawrence pass incomplete short left intended for Brenton Strange,1.120,0.430
2,1:31,3,10,JAX 41,3,27,Trevor Lawrence sacked by Ja'Marcus Ingram for -8 yards,0.430,-1.180
2,1:25,,,,,,Timeout #2 by Buffalo Bills,,
2,1:25,4,18,JAX 33,3,27,Logan Cooke punts 50 yards returned by Brandon Codrington for 19 yards (tackle by Ventrell Miller),-1.180,-1.330
2,1:12,1,10,BUF 36,3,27,intended for Khalil Shakir. Penalty on Travon Walker: Defensive Offside 5 yards (accepted) (no play),1.330,2.060
2,1:04,1,5,BUF 41,3,27,Josh Allen pass complete short middle to Ty Johnson for 8 yards (tackle by Antonio Johnson and Christian Braswell),2.060,2.190
2,0:46,1,10,BUF 49,3,27,Josh Allen pass incomplete short right,2.190,1.650
2,0:41,2,10,BUF 49,3,27,Josh Allen pass incomplete deep left intended for Marquez Valdes-Scantling. Penalty on Arik Armstead: Defensive Offside 5 yards (accepted) (no play),1.650,2.320
2,0:36,2,5,JAX 46,3,27,Josh Allen pass complete short middle to Khalil Shakir for 8 yards (tackle by Devin Lloyd and Daniel Thomas). Penalty on Daniel Thomas: Unnecessary Roughness / Defense 15 yards (accepted),2.320,4.040
2,0:32,1,10,JAX 23,3,27,Josh Allen pass complete short left to Dalton Kincaid for 7 yards (tackle by Christian Braswell and Montaric Brown),4.040,4.560
2,0:24,,,,,,Timeout #3 by Buffalo Bills,,
2,0:24,2,3,JAX 16,3,33,Josh Allen pass complete deep left to Ty Johnson for 16 yards touchdown,4.560,7.000
