Quarter,Time,Down,ToGo,Location,NYG,CLE,Detail,EPB,EPA
2,11:08,1,10,CLE 31,7,7,Jerome Ford left end for 1 yard (tackle by Rakeem Nunez-Roches and Jason Pinnock),1.000,0.600
2,10:31,2,9,CLE 32,7,7,Deshaun Watson pass incomplete deep left intended for Amari Cooper. Penalty on Deonte Banks: Defensive Pass Interference 13 yards (accepted) (no play),0.600,1.930
2,10:25,1,10,CLE 45,7,7,Deshaun Watson pass complete short right to Jordan Akins for 6 yards (tackle by Bobby Okereke and Jason Pinnock),1.930,2.190
2,9:44,2,4,NYG 49,7,7,Penalty on Ethan Pocic: False Start 5 yards (accepted) (no play),2.190,1.520
2,9:21,2,9,CLE 46,7,7,Deshaun Watson pass incomplete short right. Penalty on Deshaun Watson: Intentional Grounding 13 yards (accepted),1.520,-0.890
2,9:21,3,22,CLE 33,7,7,Deshaun Watson pass complete short middle to Elijah Moore for 12 yards (tackle by Cordale Flott),-0.890,-0.390
2,8:41,4,10,CLE 45,7,7,Corey Bojorquez punts 48 yards fair catch by Ihmir Smith-Marsette at NYG-7,-0.390,0.380
2,8:35,1,10,NYG 7,7,7,Devin Singletary up the middle for -1 yards (tackle by Jeremiah Owusu-Koramoah and Quinton Jefferson),-0.380,-0.850
2,7:53,2,11,NYG 6,7,7,Daniel Jones pass complete short left to Devin Singletary for 9 yards (tackle by Martin Emerson),-0.850,-0.480
2,7:20,3,2,NYG 15,7,7,Daniel Jones pass complete short right to Wan'Dale Robinson for 10 yards (tackle by Denzel Ward and Jordan Hicks),-0.480,0.610
2,6:35,1,10,NYG 25,7,7,Daniel Jones pass complete short left to Devin Singletary for 7 yards (tackle by Grant Delpit),0.610,1.010
2,5:57,2,3,NYG 32,7,7,Tyrone Tracy left guard for 6 yards (tackle by Martin Emerson),1.010,1.470
2,5:21,1,10,NYG 38,7,7,Daniel Jones scrambles right end for 4 yards (tackle by Greg Newsome),1.470,1.460
2,4:42,2,6,NYG 42,7,7,Devin Singletary up the middle for 1 yard (tackle by Jordan Hicks and Shelby Harris),1.460,0.890
2,3:58,3,5,NYG 43,7,7,Daniel Jones pass complete short right to Malik Nabers for 14 yards (tackle by Alex Wright),0.890,2.720
2,3:16,1,10,CLE 43,7,7,Tyrone Tracy up the middle for 2 yards (tackle by Myles Garrett),2.720,2.450
2,2:35,2,8,CLE 41,7,7,Daniel Jones pass complete deep left to Malik Nabers for 28 yards (tackle by Martin Emerson),2.450,4.710
2,2:09,1,10,CLE 13,7,7,Daniel Jones pass complete short left to Wan'Dale Robinson for 10 yards (tackle by Jordan Hicks and Rodney McLeod),4.710,6.510
2,2:00,1,3,CLE 3,7,7,Daniel Jones pass incomplete short left intended for Theo Johnson,6.510,5.530
2,1:55,2,3,CLE 3,7,7,Malik Nabers pass incomplete short right,5.530,4.720
2,1:49,3,3,CLE 3,13,7,Daniel Jones pass complete short left to Malik Nabers for 3 yards touchdown,4.720,7.000
2,1:44,,,CLE 15,14,7,Greg Joseph kicks extra point good,0.000,0.000
2,1:44,,,NYG 35,14,7,Greg Joseph kicks off 65 yards touchback.,0.000,0.940
2,1:44,1,10,CLE 30,14,7,Deshaun Watson pass complete short right to Jerry Jeudy for 3 yards (tackle by Cordale Flott),0.940,0.800
2,1:22,2,7,CLE 33,14,7,Penalty on Dexter Lawrence: Neutral Zone Infraction 5 yards (accepted) (no play),0.800,1.470
2,1:22,2,2,CLE 38,14,7,Deshaun Watson pass incomplete short middle intended for Jordan Akins,1.470,0.760
2,1:19,3,2,CLE 38,14,7,Jerome Ford up the middle for 1 yard (tackle by Elijah Chatman and Dexter Lawrence),0.760,-0.780
2,1:12,,,,,,Timeout #2 by New York Giants,,
2,1:12,4,1,CLE 39,14,7,Jameis Winston up the middle for 1 yard (tackle by Brian Burns),-0.780,1.600
2,0:37,1,10,CLE 40,14,7,Deshaun Watson sacked by Brian Burns for -10 yards. Deshaun Watson fumbles (forced by Brian Burns) recovered by Elijah Chatman at CLE-30,1.600,-3.580
2,0:32,1,10,CLE 30,14,7,Daniel Jones pass complete short left to Malik Nabers for 12 yards (tackle by Ronnie Hickman),3.580,4.370
