Quarter,Time,Down,ToGo,Location,HOU,MIN,Detail,EPB,EPA
2,12:51,1,10,MIN 42,0,14,C.J. Stroud pass incomplete short left intended for Cam Akers (defended by Jerry Tillery),2.790,2.240
2,12:48,2,10,MIN 42,0,14,Cam Akers right end for -2 yards (tackle by Jonathan Bullard and Jonathan Greenard),2.240,1.290
2,12:06,3,12,MIN 44,0,14,Stefon Diggs pass complete short right to Dare Ogunbowale for 13 yards (tackle by Byron Murphy and Harrison Smith),1.290,3.510
2,11:17,1,10,MIN 31,0,14,C.J. Stroud pass complete short right to Tank Dell for 4 yards (tackle by Stephon Gilmore),3.510,3.510
2,10:34,2,6,MIN 27,0,14,British Brooks left guard for 2 yards (tackle by Jonathan Bullard and Andrew Van Ginkel),3.510,3.070
2,9:52,3,4,MIN 25,0,14,Penalty on Tytus Howard: False Start 5 yards (accepted) (no play),3.070,2.410
2,9:40,3,9,MIN 30,0,14,Penalty on Juice Scruggs: False Start 5 yards (accepted) (no play),2.410,1.750
2,9:10,3,14,MIN 35,0,14,Penalty on Laremy Tunsil: False Start 5 yards (accepted) (no play),1.750,1.090
2,8:51,3,19,MIN 40,0,14,C.J. Stroud pass incomplete deep left intended for Nico Collins. Penalty on Laremy Tunsil: Illegal Formation 5 yards (declined),1.090,0.590
2,8:46,4,19,MIN 40,0,14,Tommy Townsend punts 40 yards touchback.,0.590,-0.280
2,8:37,1,10,MIN 20,0,14,Aaron Jones left guard for 5 yards (tackle by Jalen Pitre and Mario Edwards),0.280,0.410
2,8:14,2,5,MIN 25,0,14,Sam Darnold pass complete short left to Aaron Jones for 20 yards (tackle by Calen Bullock),0.410,1.930
2,7:41,1,10,MIN 45,0,14,Aaron Jones left guard for 6 yards (tackle by Jimmie Ward),1.930,2.190
2,7:03,2,4,HOU 49,0,14,Aaron Jones left tackle for 1 yard (tackle by Kamari Lassiter),2.190,1.620
2,6:23,3,3,HOU 48,0,14,Penalty on Garrett Bradbury: False Start 5 yards (accepted) (no play),1.620,0.960
2,6:10,3,8,MIN 47,0,14,Sam Darnold pass incomplete short middle intended for Brandon Powell (defended by Eric Murray),0.960,-0.260
2,5:58,4,8,MIN 47,0,14,Ryan Wright punts 43 yards returned by Steven Sims for 6 yards (tackle by C.J. Ham),-0.260,0.140
2,5:46,1,10,HOU 16,0,14,Cam Akers left tackle for 3 yards (tackle by Patrick Jones and Jonathan Bullard),-0.140,-0.180
2,5:02,2,7,HOU 19,0,14,C.J. Stroud pass complete short left to Nico Collins for 9 yards (tackle by Camryn Bynum and Stephon Gilmore),-0.180,0.810
2,4:21,1,10,HOU 28,0,14,C.J. Stroud pass complete short right to Stefon Diggs for 12 yards (tackle by Josh Metellus and Stephon Gilmore),0.810,1.600
2,3:52,1,10,HOU 40,0,14,Cam Akers left tackle for -3 yards (tackle by Patrick Jones),1.600,0.650
2,3:14,2,13,HOU 37,0,14,Cam Akers up the middle for 3 yards (tackle by Harrison Smith and Kamu Grugier-Hill),0.650,0.370
2,2:30,3,10,HOU 40,0,14,C.J. Stroud pass complete short left to Tank Dell for no gain (tackle by Camryn Bynum). Penalty on Laremy Tunsil: Illegal Formation 5 yards (accepted) (no play),0.370,-0.300
2,2:01,3,15,HOU 35,0,14,C.J. Stroud pass complete short middle to Stefon Diggs for 12 yards (tackle by Josh Metellus),-0.300,-0.260
2,1:58,4,3,HOU 47,0,14,Tommy Townsend punts 40 yards fair catch by Brandon Powell at MIN-13,-0.260,0.320
2,1:51,1,10,MIN 13,0,14,Sam Darnold pass complete deep middle to Justin Jefferson for 21 yards (tackle by Derek Stingley),-0.320,1.200
2,1:20,1,10,MIN 34,0,14,Sam Darnold pass complete short left to Trent Sherfield for 8 yards (tackle by Kamari Lassiter),1.200,1.740
2,1:15,2,2,MIN 42,0,14,Sam Darnold sacked by Tim Settle for -9 yards,1.740,-0.160
2,1:07,,,,,,Timeout #1 by Houston Texans,,
2,1:07,3,11,MIN 33,0,14,Sam Darnold pass complete short right to Justin Jefferson for 12 yards,-0.160,1.930
2,1:03,1,10,MIN 45,0,14,Sam Darnold pass incomplete short right,1.930,1.380
2,0:56,2,10,MIN 45,0,14,Ty Chandler left guard for 2 yards (tackle by Khalil Davis and Derek Barnett),1.380,0.960
2,0:51,,,,,,Timeout #2 by Houston Texans,,
2,0:51,3,8,MIN 47,0,14,Sam Darnold sacked by Will Anderson for -8 yards,0.960,-0.780
2,0:46,,,,,,Timeout #3 by Houston Texans,,
2,0:46,4,16,MIN 39,0,14,Ryan Wright punts 46 yards returned by Steven Sims for -2 yards (tackle by Theo Jackson),-0.780,0.320
2,0:34,1,10,HOU 13,0,14,C.J. Stroud pass complete short middle to Stefon Diggs for 16 yards (tackle by Harrison Smith),-0.320,0.870
2,0:22,1,10,HOU 29,0,14,C.J. Stroud spiked the ball,0.870,0.330
2,0:21,,,,,,Timeout #1 by Minnesota Vikings,,
2,0:21,2,10,HOU 29,0,14,C.J. Stroud sacked by Andrew Van Ginkel for -12 yards,0.330,-2.270
3,15:00,,,HOU 35,0,14,Ka'imi Fairbairn kicks off no gain returned by Myles Gaskin for no gain (tackle by Zeke Turner and Jake Hansen). Penalty on Neville Hewitt: Illegal Formation 5 yards (offset) . Penalty on Kamu Grugier-Hill: Offensive Holding 10 yards (offset) (no play),0.000,0.000
3,14:52,,,HOU 35,0,14,Ka'imi Fairbairn kicks off 61 yards returned by Myles Gaskin for 19 yards (tackle by Jake Hansen),0.000,0.480
3,14:47,1,10,MIN 23,0,14,Aaron Jones right end for 3 yards (tackle by Azeez Al-Shaair and Jalen Pitre),0.480,0.340
3,14:09,2,7,MIN 26,0,14,Sam Darnold pass complete deep left to Jalen Nailor for 18 yards,0.340,1.860
3,13:41,1,10,MIN 44,0,14,Aaron Jones up the middle for 8 yards (tackle by Henry To'oTo'o),1.860,2.400
3,13:18,2,2,HOU 48,0,14,Sam Darnold pass complete short right to Jalen Nailor for 9 yards (tackle by Jalen Pitre),2.400,2.980
3,12:49,1,10,HOU 39,0,14,Sam Darnold sacked by Derek Barnett for no gain. Sam Darnold fumbles (forced by Derek Barnett) recovered by Brandon Powell at HOU-39 and returned for 7 yards (tackle by Calen Bullock),2.980,3.390
3,11:56,2,3,HOU 32,0,14,Aaron Jones left tackle for 3 yards (tackle by Azeez Al-Shaair),3.390,3.640
3,11:16,1,10,HOU 29,0,14,Sam Darnold pass incomplete deep right intended for Johnny Mundt. Penalty on Jalen Pitre: Defensive Pass Interference 28 yards (accepted) (no play),3.640,6.970
3,11:09,1,1,HOU 1,0,14,Aaron Jones right guard for -3 yards (tackle by Danielle Hunter and Will Anderson),6.970,5.340
3,10:26,2,4,HOU 4,0,20,Sam Darnold pass complete short right to Jalen Nailor for 4 yards touchdown,5.340,7.000
3,10:22,,,HOU 15,0,21,Will Reichard kicks extra point good,0.000,0.000
3,10:22,,,MIN 35,0,21,Will Reichard kicks off 65 yards touchback.,0.000,0.940
3,10:22,1,10,HOU 30,0,21,C.J. Stroud sacked by Jonathan Greenard for -6 yards,0.940,-0.420
3,9:56,2,16,HOU 24,0,21,C.J. Stroud pass incomplete short left intended for Cam Akers (defended by Harrison Smith),-0.420,-1.090
3,9:53,3,16,HOU 24,0,21,C.J. Stroud pass complete short right to Dalton Schultz for 8 yards (tackle by Camryn Bynum and Blake Cashman),-1.090,-1.240
3,9:13,4,8,HOU 32,0,21,Tommy Townsend punts 45 yards returned by Brandon Powell for 10 yards (tackle by D'Angelo Ross),-1.240,-1.140
3,9:02,1,10,MIN 33,0,21,Ty Chandler right end for -2 yards (tackle by Azeez Al-Shaair),1.140,0.320
3,8:26,2,12,MIN 31,0,21,Sam Darnold sacked by Tim Settle for -8 yards,0.320,-1.420
3,7:42,3,20,MIN 23,0,21,Sam Darnold pass incomplete short right intended for Johnny Mundt,-1.420,-1.830
3,7:32,4,20,MIN 23,0,21,Ryan Wright punts 49 yards fair catch by Steven Sims at HOU-28,-1.830,-0.810
3,7:27,1,10,HOU 28,0,21,Cam Akers left end for 2 yards (tackle by Andrew Van Ginkel),0.810,0.530
3,6:43,2,8,HOU 30,0,21,C.J. Stroud pass incomplete short right intended for Cam Akers. Penalty on Jonathan Bullard: Illegal Use of Hands / Defense 5 yards (accepted) (no play),0.530,1.270
3,6:37,1,10,HOU 35,0,21,C.J. Stroud pass complete short middle to Tank Dell for 19 yards (tackle by Andrew Van Ginkel),1.270,2.520
3,5:58,1,10,MIN 46,0,21,Cam Akers right end for -1 yards (tackle by Jonathan Bullard),2.520,1.840
3,5:23,2,11,MIN 47,0,21,C.J. Stroud pass incomplete short right intended for Xavier Hutchinson,1.840,1.160
3,5:20,3,11,MIN 47,0,21,C.J. Stroud pass complete deep left to Nico Collins for 34 yards (tackle by Byron Murphy),1.160,4.710
3,4:52,1,10,MIN 13,0,21,C.J. Stroud pass complete short right to Tank Dell for 5 yards (tackle by Josh Metellus and Shaquill Griffin),4.710,4.960
3,4:00,2,5,MIN 8,6,21,C.J. Stroud pass complete short right to Cam Akers for 8 yards touchdown,4.960,7.000
3,3:56,,,MIN 15,7,21,Ka'imi Fairbairn kicks extra point good,0.000,0.000
3,3:56,,,HOU 35,7,21,Ka'imi Fairbairn kicks off 25 yards out of bounds. Penalty on Ka'imi Fairbairn: Kickoff Out of Bounds (accepted),0.000,1.600
3,3:56,1,10,MIN 40,7,21,Sam Darnold pass incomplete short left intended for Jalen Nailor (defended by Jalen Pitre),1.600,1.050
3,3:43,2,10,MIN 40,7,21,Sam Darnold pass complete short right to Aaron Jones for 9 yards (tackle by Jimmie Ward and Henry To'oTo'o). Penalty on Danielle Hunter: Roughing the Passer 15 yards (accepted),1.050,3.180
3,3:43,1,10,HOU 36,7,21,Aaron Jones left guard for 1 yard (tackle by Azeez Al-Shaair),3.180,2.770
3,3:08,2,9,HOU 35,7,21,Sam Darnold pass complete short middle to Aaron Jones for 5 yards (tackle by Henry To'oTo'o),2.770,2.740
3,2:25,3,4,HOU 30,7,21,Sam Darnold pass complete deep left to Jalen Nailor for no gain touchdown. Penalty on Aaron Jones: Offensive Pass Interference 10 yards (accepted) (no play),2.740,1.420
3,2:15,3,14,HOU 40,7,21,Sam Darnold pass complete short middle to Brandon Powell for 13 yards (tackle by Jalen Pitre),1.420,1.820
3,1:31,4,1,HOU 27,7,21,Jalen Nailor left end for 3 yards (tackle by Kamari Lassiter),1.820,3.970
3,0:55,1,10,HOU 24,7,21,Ty Chandler up the middle for 5 yards (tackle by Danielle Hunter and Henry To'oTo'o),3.970,4.120
3,0:30,2,5,HOU 19,7,21,Ty Chandler left guard for 2 yards (tackle by Folorunso Fatukasi and Jimmie Ward),4.120,3.750
4,15:00,3,3,HOU 17,7,21,Sam Darnold pass incomplete short right intended for Justin Jefferson,3.750,2.410
4,14:57,4,3,HOU 17,7,24,Will Reichard 35 yard field goal good,2.410,3.000
4,14:53,,,MIN 35,7,24,Will Reichard kicks off 65 yards touchback.,0.000,0.940
4,14:53,1,10,HOU 30,7,24,C.J. Stroud pass incomplete deep middle intended for Dalton Schultz,0.940,0.390
4,14:48,2,10,HOU 30,7,24,C.J. Stroud pass complete short right to Stefon Diggs for 3 yards (tackle by Kamu Grugier-Hill),0.390,0.100
