,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,-additional
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL,-9999
Justin Fields,PIT,17,23,156,0,0,2,23,40,91.9,14,57,0,12,0,0,0,0,0,1,0,FielJu00
Najee Harris,PIT,0,0,0,0,0,0,0,0,,20,70,0,20,2,1,9,0,9,0,0,HarrNa00
Cordarrelle Patterson,PIT,0,0,0,0,0,0,0,0,,4,13,0,5,0,0,0,0,0,0,0,PattCo00
Jaylen Warren,PIT,0,0,0,0,0,0,0,0,,2,7,0,8,2,2,13,0,9,0,0,WarrJa01
Pat Freiermuth,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,27,0,10,0,0,FreiPa00
MyCole Pruitt,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,9,0,9,0,0,PruiMy00
Calvin Austin,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,7,0,7,0,0,AustCa00
Darnell Washington,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0,WashDa03
Van Jefferson,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,1,0,1,0,0,JeffVa00
George Pickens,PIT,0,0,0,0,0,0,0,0,,1,-10,0,-10,7,6,85,0,40,0,0,PickGe00
Kirk Cousins,ATL,16,26,155,1,2,2,18,20,59.0,1,0,0,0,0,0,0,0,0,0,0,CousKi00
Bijan Robinson,ATL,0,0,0,0,0,0,0,0,,18,68,0,13,5,5,43,0,14,0,0,RobiBi01
Tyler Allgeier,ATL,0,0,0,0,0,0,0,0,,3,21,0,13,0,0,0,0,0,0,0,AllgTy00
Ray-Ray McCloud,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,52,0,20,0,0,McClRa00
Kyle Pitts,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,26,1,12,0,0,PittKy00
Darnell Mooney,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,15,0,15,0,0,MoonDa00
Drake London,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,15,0,8,0,0,LondDr00
Charlie Woerner,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,4,0,4,0,0,WoerCh00
