,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,-additional
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL,-9999
Dak Prescott,DAL,19,32,179,1,0,3,16,34,85.3,1,3,0,3,0,0,0,0,0,1,0,PresDa01
Ezekiel Elliott,DAL,0,0,0,0,0,0,0,0,,10,40,1,9,2,2,9,0,9,0,0,ElliEz00
Rico Dowdle,DAL,0,0,0,0,0,0,0,0,,8,26,0,10,1,1,6,0,6,0,0,DowdRi01
CeeDee Lamb,DAL,0,0,0,0,0,0,0,0,,3,25,0,12,10,5,61,0,34,0,0,LambCe00
Brandin Cooks,DAL,0,0,0,0,0,0,0,0,,1,5,0,5,7,4,40,1,21,0,0,CookBr00
Deuce Vaughn,DAL,0,0,0,0,0,0,0,0,,1,4,0,4,0,0,0,0,0,0,0,VaugDe00
Jalen Brooks,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,18,0,18,0,0,BrooJa03
Hunter Luepke,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,18,0,12,0,0,LuepHu00
Jake Ferguson,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,15,0,7,0,0,FergJa00
Jalen Tolbert,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,12,0,12,0,0,TolbJa00
KaVontae Turpin,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,TurpKa00
Cooper Rush,DAL,0,0,0,0,0,0,0,0,,1,-1,0,-1,0,0,0,0,0,0,0,RushCo00
Deshaun Watson,CLE,24,45,169,1,2,6,32,29,51.1,5,39,0,16,0,0,0,0,0,1,0,WatsDe00
Jerome Ford,CLE,0,0,0,0,0,0,0,0,,12,44,1,11,7,6,25,0,8,0,0,FordJe00
Pierre Strong,CLE,0,0,0,0,0,0,0,0,,2,10,0,6,3,2,20,0,20,0,0,StroPi00
David Njoku,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,44,0,29,0,0,NjokDa00
Jordan Akins,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,27,0,13,0,0,AkinJo00
Jerry Jeudy,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,25,1,15,0,0,JeudJe00
Amari Cooper,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,9,2,16,0,10,0,0,CoopAm00
Elijah Moore,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,9,0,4,0,0,MoorEl00
Cedric Tillman,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,0,TillCe01
