Quarter,Time,Down,ToGo,Location,BUF,IND,Detail,EPB,EPA
2,12:47,2,2,BUF 27,10,3,Jonathan Taylor up the middle for 13 yards (tackle by Taylor Rapp),3.780,4.650
2,12:12,1,10,BUF 14,10,3,Jonathan Taylor right tackle for 3 yards (tackle by Terrel Bernard),4.650,4.520
2,11:33,2,7,BUF 11,10,3,Jonathan Taylor right tackle for no gain (tackle by Christian Benford and Terrel Bernard),4.520,3.620
2,10:53,3,7,BUF 11,10,3,Joe Flacco pass incomplete short right intended for Adonai Mitchell. Penalty on Rasul Douglas: Illegal Contact 5 yards (accepted) (no play),3.620,5.830
2,10:47,1,6,BUF 6,10,3,Joe Flacco pass complete short right to Kylen Granson for 3 yards (tackle by Rasul Douglas),5.830,5.530
2,10:01,,,,,,Timeout #1 by Indianapolis Colts,,
2,10:01,2,3,BUF 3,10,3,Jonathan Taylor up the middle for 1 yard (tackle by Dorian Williams and Taylor Rapp),5.530,4.950
2,9:26,3,2,BUF 2,10,9,Joe Flacco pass complete short left to Tyler Goodson for 2 yards touchdown,4.950,7.000
2,9:22,,,BUF 15,10,10,Matt Gay kicks extra point good,0.000,0.000
2,9:22,,,IND 35,10,10,Matt Gay kicks off 65 yards touchback.,0.000,0.940
2,9:22,1,10,BUF 30,10,10,Josh Allen pass short left intended for Khalil Shakir is intercepted by E.J. Speed at BUF-45 and returned for 12 yards (tackle by Mack Hollins),0.940,-3.380
2,9:12,1,10,BUF 33,10,10,Jonathan Taylor up the middle for 22 yards (tackle by Taylor Rapp and Dorian Williams),3.380,4.840
2,8:44,1,10,BUF 11,10,10,Jonathan Taylor right guard for 2 yards (tackle by A.J. Epenesa and DaQuan Jones),4.840,4.510
2,8:11,2,8,BUF 9,10,10,Jonathan Taylor left end for 2 yards (tackle by Terrel Bernard),4.510,3.980
2,7:35,3,6,BUF 7,10,10,Penalty on Braden Smith: False Start 5 yards (accepted) (no play),3.980,3.110
2,7:13,3,11,BUF 12,10,10,Joe Flacco pass complete short middle to Josh Downs for 7 yards (tackle by Cameron Lewis),3.110,3.010
2,6:35,4,4,BUF 5,10,13,Matt Gay 23 yard field goal good,3.010,3.000
2,6:32,,,IND 35,10,13,Matt Gay kicks off 67 yards returned by Brandon Codrington for 23 yards. Brandon Codrington fumbles (forced by Ronnie Harrison) recovered by Alec Anderson at BUF-30 (tackle by Ronnie Harrison),0.000,0.940
2,6:25,1,10,BUF 30,10,13,James Cook left tackle for -1 yards (tackle by Kwity Paye and Grover Stewart),0.940,0.260
2,5:53,2,11,BUF 29,10,13,Penalty on Dion Dawkins: False Start 5 yards (accepted) (no play),0.260,-0.420
2,5:41,2,16,BUF 24,10,13,Josh Allen pass complete deep left to Mack Hollins for 16 yards (tackle by E.J. Speed),-0.420,1.600
2,5:03,1,10,BUF 40,10,13,James Cook right guard for 6 yards (tackle by Zaire Franklin and Kenny Moore),1.600,1.860
2,4:26,2,4,BUF 46,10,13,Josh Allen pass incomplete short right intended for Dawson Knox,1.860,1.160
2,4:22,3,4,BUF 46,10,13,Josh Allen pass complete short left to Khalil Shakir for 6 yards (tackle by Jaylon Jones),1.160,2.390
2,3:41,1,10,IND 48,10,13,James Cook left guard for 1 yard (tackle by Laiatu Latu and DeForest Buckner),2.390,1.980
2,3:02,2,9,IND 47,10,13,Josh Allen pass complete deep left to Dawson Knox for 34 yards (tackle by Jaylon Jones),1.980,4.710
2,2:21,1,10,IND 13,16,13,Josh Allen left guard for 13 yards touchdown,4.710,7.000
2,2:14,,,IND 15,16,13,Penalty on Spencer Brown: Unsportsmanlike Conduct / Offense 15 yards (accepted) (no play),0.000,0.000
2,2:14,,,IND 30,17,13,Tyler Bass kicks extra point good,0.000,0.000
2,2:14,,,BUF 35,17,13,Tyler Bass kicks off 65 yards touchback.,0.000,0.940
2,2:14,1,10,IND 30,17,13,Jonathan Taylor left tackle for 4 yards (tackle by Dorian Williams),0.940,0.930
2,2:00,2,6,IND 34,17,13,Joe Flacco pass complete short left to Josh Downs for 5 yards (tackle by Dorian Williams),0.930,0.890
2,1:25,3,1,IND 39,17,13,Jonathan Taylor left guard for no gain (tackle by Gregory Rousseau),0.890,-0.780
2,1:16,,,,,,Timeout #1 by Buffalo Bills,,
2,1:16,4,1,IND 39,17,13,Penalty on Joe Flacco: Delay of Game 5 yards (accepted) (no play),-0.780,-1.110
2,1:16,4,6,IND 34,17,13,Rigoberto Sanchez punts 55 yards fair catch by Brandon Codrington at BUF-11,-1.110,0.370
2,1:10,1,10,BUF 11,17,13,Josh Allen pass complete short middle to Dawson Knox for 6 yards (tackle by Kenny Moore),-0.370,-0.160
2,0:56,2,4,BUF 17,17,13,Penalty on Dion Dawkins: False Start 5 yards (accepted) (no play),-0.160,-0.710
