Quarter,Time,Down,ToGo,Location,TEN,LAC,Detail,EPB,EPA
2,10:38,1,10,LAC 49,7,6,Tony Pollard left end for 15 yards (tackle by Alohi Gilman),2.320,3.310
2,9:58,1,10,LAC 34,7,6,Will Levis pass complete short left to Tony Pollard for 1 yard (tackle by Daiyan Henley),3.310,2.910
2,9:14,2,9,LAC 33,7,6,Tyjae Spears left end for 10 yards (tackle by Derwin James),2.910,4.040
2,8:27,1,10,LAC 23,7,6,Tyjae Spears left end for 2 yards (tackle by Otito Ogbonnia),4.040,3.770
2,7:50,2,8,LAC 21,7,6,Will Levis pass complete short left to Calvin Ridley for 2 yards (tackle by Daiyan Henley),3.770,3.340
2,7:09,3,6,LAC 19,7,6,Will Levis pass incomplete short left intended for Nick Westbrook-Ikhine. Penalty on Leroy Watson: Offensive Facemask 15 yards (accepted) (no play),3.340,1.350
2,7:02,3,21,LAC 34,7,6,Penalty on Leroy Watson: False Start 5 yards (accepted) (no play),1.350,0.690
2,7:02,3,26,LAC 39,7,6,Tyjae Spears left end for 8 yards (tackle by Derwin James and Elijah Molden),0.690,1.320
2,6:23,4,18,LAC 31,7,6,Nick Folk 49 yard field goal no good,1.320,-1.530
2,6:19,1,10,LAC 39,7,6,Justin Herbert pass complete deep right to Josh Palmer for 36 yards (tackle by Amani Hooker),1.530,3.910
2,5:50,1,10,TEN 25,7,6,Gus Edwards up the middle for 4 yards (tackle by Jack Gibbens),3.910,3.900
2,5:16,2,6,TEN 21,7,6,Gus Edwards right tackle for 5 yards (tackle by Jeffery Simmons),3.900,4.060
2,4:35,3,1,TEN 16,7,6,Hassan Haskins left tackle for 3 yards (tackle by Jack Gibbens),4.060,4.710
2,3:58,1,10,TEN 13,7,6,Gus Edwards right guard for 5 yards (tackle by Mike Brown),4.710,4.960
2,3:16,2,5,TEN 8,7,6,Gus Edwards right end for 3 yards (tackle by Jarvis Brownlee),4.960,4.780
2,2:34,3,2,TEN 5,7,6,J.K. Dobbins up the middle for 1 yard (tackle by Jeffery Simmons and Kenneth Murray),4.780,3.040
2,2:00,4,1,TEN 4,7,12,Justin Herbert right tackle for 4 yards touchdown,3.040,7.000
2,1:55,,,TEN 15,7,13,Cameron Dicker kicks extra point good,0.000,0.000
2,1:55,,,LAC 35,7,13,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
2,1:55,1,10,TEN 30,7,13,Tyjae Spears left guard for 5 yards (tackle by Tuli Tuipulotu and Derwin James),0.940,1.070
2,1:31,2,5,TEN 35,7,13,Will Levis sacked by Poona Ford for -7 yards,1.070,-0.560
2,0:50,3,12,TEN 28,7,13,Will Levis pass complete short right to Nick Westbrook-Ikhine for 7 yards (tackle by Elijah Molden and Ja'Sir Taylor),-0.560,-1.040
2,0:43,,,,,,Timeout #1 by Los Angeles Chargers,,
2,0:43,4,5,TEN 35,7,13,Ryan Stonehouse punts 52 yards fair catch by Derius Davis at LAC-13,-1.040,0.320
2,0:36,1,10,LAC 13,7,13,J.K. Dobbins up the middle for 10 yards (tackle by Jack Gibbens and Amani Hooker),-0.320,0.480
2,0:31,,,,,,Timeout #2 by Los Angeles Chargers,,
2,0:31,1,10,LAC 23,7,13,Justin Herbert pass incomplete deep right intended for Josh Palmer (defended by Darrell Baker),0.480,-0.070
2,0:25,2,10,LAC 23,7,13,Justin Herbert sacked by Jeffery Simmons for no gain. Justin Herbert fumbles (forced by Jeffery Simmons) recovered by Roger McCreary at LAC-20 touchdown Replay Assistant challenged the fumble ruling and the original play was overturned. Justin Herbert pass incomplete short right intended for Jalen Reagor (defended by Jeffery Simmons),-0.070,-0.760
2,0:21,3,10,LAC 23,7,13,J.K. Dobbins up the middle for no gain (tackle by Sebastian Joseph-Day),-0.760,-1.830
2,0:18,,,,,,Timeout #1 by Tennessee Titans,,
2,0:18,4,10,LAC 23,7,13,JK Scott punts 29 yards downed by Josh Harris,-1.830,-2.130
