Quarter,Time,Down,ToGo,Location,NWE,CHI,Detail,EPB,EPA
2,9:17,2,2,NWE 23,3,0,D'Andre Swift right tackle for 9 yards (tackle by Jahlani Tavai),4.050,4.650
2,8:55,1,10,NWE 14,3,0,D'Andre Swift left guard for -1 yards (tackle by Jeremiah Pharms),4.650,3.850
2,8:14,2,11,NWE 15,3,0,D'Andre Swift left guard for no gain (tackle by Jeremiah Pharms and Keion White),3.850,3.060
2,7:27,,,,,,Timeout #2 by Chicago Bears,,
2,7:27,3,11,NWE 15,3,0,Caleb Williams pass incomplete short right,3.060,2.440
2,7:21,4,11,NWE 15,3,3,Cairo Santos 33 yard field goal good,2.440,3.000
2,7:17,,,CHI 35,3,3,Cairo Santos kicks off 65 yards touchback.,0.000,0.940
2,7:17,1,10,NWE 30,3,3,Rhamondre Stevenson right guard for 3 yards (tackle by Zacch Pickens),0.940,0.800
2,6:39,2,7,NWE 33,3,3,Drake Maye pass complete short left to Kayshon Boutte for 4 yards (tackle by Tyrique Stevenson and T.J. Edwards),0.800,0.630
2,6:01,3,3,NWE 37,3,3,Drake Maye pass complete short right to Demario Douglas for 17 yards (tackle by Kevin Byard),0.630,2.520
2,5:21,1,10,CHI 46,3,3,Drake Maye pass complete short right to Demario Douglas for 7 yards (tackle by T.J. Edwards),2.520,2.920
2,4:40,2,3,CHI 39,3,3,Jamycal Hasty right tackle for 2 yards (tackle by Chris Williams),2.920,2.480
2,4:00,3,1,CHI 37,3,3,Drake Maye pass complete short left to Austin Hooper for 24 yards (tackle by Elijah Hicks),2.480,4.710
2,3:13,1,10,CHI 13,3,3,Rhamondre Stevenson right tackle for 9 yards (tackle by Kevin Byard and Montez Sweat),4.710,5.730
2,2:31,2,1,CHI 4,3,3,Rhamondre Stevenson right guard for no gain (tackle by Gervon Dexter and Jack Sanborn),5.730,5.010
2,2:00,3,1,CHI 4,3,3,Rhamondre Stevenson left tackle for 2 yards (tackle by T.J. Edwards),5.010,6.740
2,1:51,,,,,,Timeout #3 by Chicago Bears,,
2,1:51,1,2,CHI 2,9,3,Drake Maye pass complete short left to Ja'Lynn Polk for 2 yards touchdown,6.740,7.000
2,1:46,,,CHI 15,10,3,Joey Slye kicks extra point good,0.000,0.000
2,1:46,,,NWE 35,10,3,Joey Slye kicks off 65 yards touchback.,0.000,0.940
2,1:46,1,10,CHI 30,10,3,Caleb Williams pass incomplete short right,0.940,0.390
2,1:41,2,10,CHI 30,10,3,Caleb Williams scrambles right guard for 10 yards (tackle by Christian Gonzalez),0.390,1.600
2,1:19,1,10,CHI 40,10,3,Roschon Johnson right guard for -4 yards (tackle by Jeremiah Pharms),1.600,0.510
2,0:55,2,14,CHI 36,10,3,Caleb Williams pass incomplete short right intended for Rome Odunze,0.510,-0.160
2,0:51,3,14,CHI 36,10,3,Caleb Williams pass incomplete short middle intended for Roschon Johnson (defended by Keion White),-0.160,-0.980
2,0:47,4,14,CHI 36,10,3,Tory Taylor punts 48 yards returned by Marcus Jones for 24 yards (tackle by Tarvarius Moore and Scott Daly),-0.980,-1.600
2,0:35,1,10,NWE 40,10,3,Drake Maye pass incomplete deep middle intended for Kayshon Boutte (defended by Elijah Hicks),1.600,1.050
2,0:26,2,10,NWE 40,10,3,Drake Maye pass complete short middle to Demario Douglas for 9 yards (tackle by Kevin Byard),1.050,1.550
2,0:21,,,,,,Timeout #2 by New England Patriots,,
2,0:21,3,1,NWE 49,10,3,Jamycal Hasty left guard for 4 yards (tackle by Elijah Hicks),1.550,2.460
2,0:16,,,,,,Timeout #3 by New England Patriots,,
2,0:16,1,10,CHI 47,10,3,Drake Maye pass complete deep middle to Kayshon Boutte for 23 yards (tackle by Jaylon Johnson),2.460,3.970
2,0:01,1,10,CHI 24,10,3,Drake Maye spiked the ball. Penalty on Montez Sweat: Defensive Offside 5 yards (accepted) (no play),3.970,4.840
2,0:01,1,4,CHI 19,13,3,Joey Slye 37 yard field goal good,4.840,3.000
3,15:00,,,NWE 35,13,3,Joey Slye kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,CHI 30,13,3,Caleb Williams pass complete short left to D.J. Moore for 18 yards (tackle by Christian Gonzalez),0.940,2.130
3,14:14,1,10,CHI 48,13,3,D'Andre Swift up the middle for 5 yards (tackle by Daniel Ekuale),2.130,2.260
3,13:41,2,5,NWE 47,13,3,Caleb Williams sacked by Jeremiah Pharms for -3 yards,2.260,1.160
3,12:56,3,8,CHI 50,13,3,Caleb Williams sacked by Deatrich Wise for no gain,1.160,-0.060
3,12:22,4,8,CHI 50,13,3,Tory Taylor punts 36 yards downed by Scott Daly,-0.060,0.280
3,12:07,1,10,NWE 14,13,3,Rhamondre Stevenson left end for 11 yards (tackle by Kevin Byard),-0.280,0.610
3,11:33,1,10,NWE 25,13,3,Rhamondre Stevenson left tackle for 4 yards (tackle by Austin Booker),0.610,0.600
3,10:41,2,6,NWE 29,13,3,Drake Maye pass complete short right to Kayshon Boutte for 17 yards (tackle by Kevin Byard). Penalty on Michael Onwenu: Ineligible Downfield Pass 5 yards (accepted) (no play),0.600,-0.070
3,10:26,2,11,NWE 24,13,3,Drake Maye pass complete short left to Kayshon Boutte for 13 yards (tackle by Tyrique Stevenson),-0.070,1.400
3,9:48,1,10,NWE 37,13,3,Jamycal Hasty right end for 3 yards (tackle by Tyrique Stevenson and Byron Cowart),1.400,1.260
3,9:09,2,7,NWE 40,13,3,Penalty on Demontrey Jacobs: False Start 5 yards (accepted) (no play),1.260,0.590
3,8:45,2,12,NWE 35,13,3,Drake Maye pass complete short right to Jamycal Hasty for 4 yards (tackle by T.J. Edwards and Tremaine Edmunds),0.590,0.430
3,8:03,3,8,NWE 39,13,3,Drake Maye pass incomplete short middle intended for Hunter Henry (defended by Tremaine Edmunds),0.430,-0.780
3,7:59,4,8,NWE 39,13,3,Bryce Baringer punts 61 yards touchback.,-0.780,-0.280
3,7:50,1,10,CHI 20,13,3,Caleb Williams pass incomplete short right intended for Cole Kmet,0.280,-0.270
3,7:46,2,10,CHI 20,13,3,Caleb Williams pass complete short right to Cole Kmet for 7 yards (tackle by Jahlani Tavai),-0.270,-0.030
3,7:08,3,3,CHI 27,13,3,Caleb Williams pass complete short middle to Cole Kmet for 6 yards (tackle by Marte Mapu),-0.030,1.140
3,6:25,,,,,,Timeout #1 by New England Patriots,,
3,6:25,1,10,CHI 33,13,3,D.J. Moore left end for 3 yards (tackle by Marcus Jones),1.140,1.000
3,5:41,2,7,CHI 36,13,3,Caleb Williams pass incomplete short middle intended for D.J. Moore (defended by Jahlani Tavai),1.000,0.300
3,5:37,3,7,CHI 36,13,3,Caleb Williams sacked by Brenden Schooler for -9 yards,0.300,-1.570
3,4:57,4,16,CHI 27,13,3,Tory Taylor punts 52 yards fair catch by Marcus Jones at NE-21,-1.570,-0.340
3,4:49,1,10,NWE 21,13,3,Rhamondre Stevenson right end for 1 yard (tackle by T.J. Edwards),0.340,-0.070
3,4:17,2,9,NWE 22,13,3,Drake Maye pass complete short right to Kayshon Boutte for 7 yards (tackle by Terell Smith),-0.070,0.170
3,3:40,3,2,NWE 29,13,3,Rhamondre Stevenson right tackle for 1 yard (tackle by Gervon Dexter),0.170,-1.370
3,3:00,4,1,NWE 30,13,3,Penalty on Joe Giles-Harris: Illegal Formation 5 yards (accepted) (no play),-1.370,-1.700
3,2:50,4,6,NWE 25,13,3,Bryce Baringer punts 75 yards touchback.,-1.700,-0.280
3,2:42,1,10,CHI 20,13,3,D'Andre Swift right end for 7 yards (tackle by Anfernee Jennings),0.280,0.680
3,2:06,2,3,CHI 27,13,3,D'Andre Swift right guard for -3 yards (tackle by Keion White),0.680,-0.430
3,1:24,3,6,CHI 24,13,3,Caleb Williams pass incomplete short left intended for Cole Kmet (defended by Dell Pettus),-0.430,-1.770
3,1:20,4,6,CHI 24,13,3,Tory Taylor punts 50 yards recovered by Marcus Jones at NE-28 (tackle by Travis Homer),-1.770,-1.470
3,1:07,1,10,NWE 38,13,3,Drake Maye pass incomplete deep middle intended for Kayshon Boutte (defended by Kevin Byard),1.470,0.920
3,0:58,2,10,NWE 38,13,3,Drake Maye pass incomplete short left,0.920,0.230
3,0:52,3,10,NWE 38,13,3,Drake Maye pass complete short right to Rhamondre Stevenson for 3 yards (tackle by DeMarcus Walker),0.230,-0.650
3,0:15,4,7,NWE 41,13,3,Bryce Baringer punts 50 yards downed by Isaiah Bolden,-0.650,0.380
3,0:05,1,10,CHI 9,13,3,D'Andre Swift right guard for 4 yards (tackle by Dell Pettus),-0.380,-0.480
4,15:00,2,6,CHI 13,13,3,D'Andre Swift left end for 2 yards (tackle by Marcus Jones),-0.480,-0.720
4,14:19,3,4,CHI 15,13,3,Penalty on Larry Borom: False Start 5 yards (accepted) (no play),-0.720,-1.300
4,14:19,3,9,CHI 10,13,3,Caleb Williams sacked by Dell Pettus for -7 yards,-1.300,-2.490
4,13:46,4,16,CHI 3,13,3,Tory Taylor punts 62 yards returned by Marcus Jones for 11 yards (tackle by Amen Ogbongbemiga),-2.490,-1.990
4,13:33,1,10,NWE 46,13,3,Rhamondre Stevenson left end for no gain (tackle by T.J. Edwards and Kevin Byard),1.990,1.450
4,12:54,2,10,NWE 46,13,3,Drake Maye scrambles left end for 19 yards (tackle by T.J. Edwards),1.450,3.250
4,12:14,1,10,CHI 35,13,3,Antonio Gibson right tackle for 4 yards (tackle by Kyler Gordon),3.250,3.240
