Quarter,Time,Down,ToGo,Location,SFO,TAM,Detail,EPB,EPA
1,6:31,1,10,SFO 37,0,0,Christian McCaffrey left tackle for 5 yards (tackle by Jordan Whitehead),1.400,1.530
1,5:53,2,5,SFO 42,0,0,Brock Purdy pass complete short right to Christian McCaffrey for 7 yards (tackle by Jordan Whitehead and Lavonte David),1.530,2.190
1,5:04,1,10,SFO 49,0,0,Jordan Mason left end for 5 yards (tackle by J.J. Russell),2.190,2.320
1,4:25,2,5,TAM 46,6,0,Brock Purdy pass complete deep middle to Ricky Pearsall for 46 yards touchdown Replay Assistant challenged the runner was in bounds ruling and the play was upheld.,2.320,7.000
1,4:15,,,TAM 15,7,0,Jake Moody kicks extra point good,0.000,0.000
1,4:15,,,SFO 35,7,0,Jake Moody kicks off 65 yards touchback.,0.000,0.940
1,4:15,1,10,TAM 30,7,0,Baker Mayfield pass complete short middle to Bucky Irving for 12 yards (tackle by Fred Warner and Malik Mustapha),0.940,1.730
1,3:37,1,10,TAM 42,7,0,Baker Mayfield pass incomplete short middle intended for Ryan Miller (defended by De'Vondre Campbell),1.730,1.190
1,3:30,2,10,TAM 42,7,0,Bucky Irving left end for 5 yards (tackle by De'Vondre Campbell),1.190,1.160
1,2:52,3,5,TAM 47,7,0,Baker Mayfield sacked by Maliek Collins for -1 yards,1.160,-0.320
1,2:13,4,6,TAM 46,7,0,Trenton Gill punts 41 yards fair catch by Jacob Cowing at SF-13,-0.320,0.320
1,2:07,1,10,SFO 13,7,0,Penalty on Eric Saubert: False Start 5 yards (accepted) (no play),-0.320,-0.570
1,2:07,1,15,SFO 8,7,0,Christian McCaffrey up the middle for 7 yards (tackle by Antoine Winfield and K.J. Britt),-0.570,-0.570
1,1:31,2,8,SFO 15,7,0,Christian McCaffrey left end for 2 yards (tackle by Josh Hayes),-0.570,-0.940
1,0:45,3,6,SFO 17,7,0,Brock Purdy pass complete short middle to George Kittle for 13 yards (tackle by Joe Tryon-Shoyinka),-0.940,0.940
