Quarter,Time,Down,ToGo,Location,MIN,JAX,Detail,EPB,EPA
2,10:44,1,10,JAX 46,3,7,Cam Akers up the middle for 3 yards (tackle by Jordan Jefferson and Devin Lloyd),2.520,2.380
2,10:02,2,7,JAX 43,3,7,Sam Darnold pass incomplete deep left intended for Aaron Jones (defended by Ventrell Miller),2.380,1.680
2,9:53,3,7,JAX 43,3,7,Sam Darnold pass complete short left to T.J. Hockenson for 8 yards (tackle by Montaric Brown),1.680,3.250
2,9:09,1,10,JAX 35,3,7,Sam Darnold scrambles left end for 11 yards (tackle by Antonio Johnson). Penalty on Foyesade Oluokun: Defensive Holding 5 yards (accepted),3.250,4.310
2,8:44,1,10,JAX 19,3,7,Aaron Jones left tackle for 5 yards (tackle by DaVon Hamilton and Devin Lloyd),4.310,4.530
2,8:03,2,5,JAX 14,3,7,Penalty on Jalen Nailor: False Start 5 yards (accepted) (no play),4.530,3.750
2,7:41,2,10,JAX 19,3,7,Aaron Jones left guard for 5 yards (tackle by Devin Lloyd and Tyson Campbell),3.750,3.760
2,7:00,3,5,JAX 14,3,7,Sam Darnold pass complete short left to T.J. Hockenson for 6 yards (tackle by Tyson Campbell),3.760,5.370
2,6:16,1,8,JAX 8,3,7,Aaron Jones up the middle for 1 yard (tackle by DaVon Hamilton and Jeremiah Ledbetter),5.370,4.760
2,5:35,2,7,JAX 7,3,7,Sam Darnold pass short middle intended for Justin Jefferson is intercepted by Montaric Brown in end zone and returned for no gain touchback. Replay Assistant challenged the pass interception ruling and the play was upheld.,4.760,-0.280
2,5:24,1,10,JAX 20,3,7,Travis Etienne up the middle for 4 yards (tackle by Jonathan Greenard and Harrison Phillips),0.280,0.270
2,4:46,2,6,JAX 24,3,7,Mac Jones scrambles right end for 2 yards (tackle by Ivan Pace and Stephon Gilmore),0.270,-0.160
2,4:04,3,4,JAX 26,3,7,Mac Jones scrambles left end for no gain. Mac Jones fumbles (forced by Andrew Van Ginkel) recovered by Blake Cashman at JAC-30 touchdown Replay Assistant challenged the fumble ruling and the original play was overturned. Mac Jones scrambles left end for 5 yards (tackle by Shaquill Griffin),-0.160,1.000
2,3:47,1,10,JAX 31,3,7,Travis Etienne left guard for 2 yards (tackle by Harrison Phillips and Josh Metellus),1.000,0.800
2,3:15,2,7,JAX 33,3,7,Mac Jones pass complete short right to Evan Engram for -1 yards (tackle by Josh Metellus and Patrick Jones),0.800,-0.030
2,2:34,3,8,JAX 32,3,7,Mac Jones pass complete short right to Evan Engram for 15 yards,-0.030,2.060
2,2:00,1,10,JAX 47,3,7,Tank Bigsby up the middle for 1 yard (tackle by Stephon Gilmore),2.060,1.650
2,1:55,,,,,,Timeout #1 by Minnesota Vikings,,
2,1:55,2,9,JAX 48,3,7,Mac Jones sacked by Blake Cashman for -8 yards,1.650,-0.100
2,1:52,,,,,,Timeout #2 by Minnesota Vikings,,
2,1:52,3,17,JAX 40,3,7,Travis Etienne up the middle for 3 yards (tackle by Jihad Ward),-0.100,-0.520
2,1:49,,,,,,Timeout #3 by Minnesota Vikings,,
2,1:49,4,14,JAX 43,3,7,Logan Cooke punts 39 yards out of bounds,-0.520,-0.040
2,1:42,1,10,MIN 18,3,7,Sam Darnold pass incomplete deep middle intended for Jordan Addison,0.040,-0.490
2,1:37,2,10,MIN 18,3,7,Sam Darnold pass complete short middle to Aaron Jones for 8 yards (tackle by Andre Cisco),-0.490,-0.140
2,1:29,3,2,MIN 26,3,7,Sam Darnold pass incomplete short right intended for Jalen Nailor,-0.140,-1.630
2,1:24,4,2,MIN 26,3,7,Ryan Wright punts 43 yards fair catch by Devin Duvernay at JAC-31,-1.630,-1.000
2,1:17,1,10,JAX 31,3,7,Mac Jones sacked by Ivan Pace for -8 yards,1.000,-0.620
2,0:49,2,18,JAX 23,3,7,Mac Jones pass incomplete short right. Penalty on Blake Hance: Ineligible Downfield Pass 5 yards (declined),-0.620,-1.290
2,0:45,3,18,JAX 23,3,7,Travis Etienne up the middle for 5 yards (tackle by Blake Cashman),-1.290,-1.500
3,15:00,,,JAX 35,3,7,Cam Little kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,MIN 30,3,7,Jordan Addison right end for 4 yards (tackle by Devin Lloyd),0.940,0.930
3,14:24,2,6,MIN 34,3,7,Sam Darnold pass complete deep left to Jordan Addison for 21 yards (tackle by Ronald Darby),0.930,2.590
3,13:59,1,10,JAX 45,3,7,Aaron Jones right guard for 8 yards (tackle by Darnell Savage and Devin Lloyd),2.590,3.120
3,13:48,2,2,JAX 37,3,7,Aaron Jones right end for 13 yards (tackle by Ventrell Miller),3.120,3.970
3,13:09,1,10,JAX 24,3,7,Sam Darnold pass incomplete short left,3.970,3.430
3,13:00,2,10,JAX 24,3,7,Sam Darnold pass complete short left to Justin Jefferson for 6 yards (tackle by Devin Lloyd),3.430,3.660
3,12:23,3,3,JAX 18,3,7,Sam Darnold pass deep right intended for Justin Jefferson is intercepted by Darnell Savage in end zone and returned for 16 yards (tackle by Cam Robinson). Penalty on Arik Armstead: Defensive Illegal Blindside Block 15 yards (offset) . Penalty on Cam Robinson: Unsportsmanlike Conduct / Offense 15 yards (offset),3.660,0.140
3,12:10,1,10,JAX 16,3,7,Travis Etienne up the middle for 15 yards (tackle by Camryn Bynum and Blake Cashman),-0.140,1.000
3,11:34,1,10,JAX 31,3,7,Travis Etienne up the middle for -1 yards (tackle by Blake Cashman),1.000,0.320
3,10:55,2,11,JAX 30,3,7,Travis Etienne up the middle for 1 yard (tackle by Jonathan Greenard),0.320,-0.230
3,10:14,3,10,JAX 31,3,7,Mac Jones pass incomplete short right intended for Gabriel Davis,-0.230,-1.310
3,10:09,4,10,JAX 31,3,7,Logan Cooke punts 55 yards fair catch by Brandon Powell at MIN-14,-1.310,0.280
3,10:01,1,10,MIN 14,3,7,Cam Akers up the middle for 4 yards (tackle by Jordan Jefferson),-0.280,-0.210
3,9:20,2,6,MIN 18,3,7,Sam Darnold pass complete short left to Justin Jefferson for 9 yards (tackle by Tyson Campbell),-0.210,0.740
3,8:41,1,10,MIN 27,3,7,Sam Darnold pass deep middle is intercepted by Ronald Darby at JAC-20 and returned for no gain. Ronald Darby fumbles (forced by Jalen Nailor) recovered by Garrett Bradbury at MIN-23 (tackle by Jalen Nailor). Penalty on Tyson Campbell: Illegal Use of Hands / Defense 5 yards (accepted) (no play),0.740,1.070
3,8:15,1,10,MIN 32,3,7,Cam Akers up the middle for 3 yards (tackle by Devin Lloyd and Yasir Abdullah),1.070,0.930
3,7:38,2,7,MIN 35,3,7,Sam Darnold pass complete short right to Jalen Nailor for 11 yards (tackle by Darnell Savage),0.930,1.990
3,7:02,1,10,MIN 46,3,7,Sam Darnold pass complete short left to Aaron Jones for 5 yards (tackle by Josh Hines-Allen and Tyson Campbell),1.990,2.130
3,6:23,2,5,JAX 49,3,7,Sam Darnold pass complete short middle to Josh Oliver for 9 yards (tackle by Foyesade Oluokun),2.130,2.920
3,5:58,1,10,JAX 40,3,7,Aaron Jones right tackle for 4 yards (tackle by Devin Lloyd),2.920,2.910
3,5:16,2,6,JAX 36,3,7,Penalty on Brian O'Neill: False Start 5 yards (accepted) (no play),2.910,2.240
3,5:03,2,11,JAX 41,3,7,Sam Darnold pass complete short middle to Justin Jefferson for 13 yards (tackle by Jarrian Jones). Penalty on Tyson Campbell: Defensive Holding 5 yards (declined),2.240,3.710
3,4:42,1,10,JAX 28,3,7,Aaron Jones up the middle for 7 yards (tackle by Travon Walker and Foyesade Oluokun),3.710,4.110
3,4:28,2,3,JAX 21,3,7,Cam Akers up the middle for 6 yards (tackle by DaVon Hamilton),4.110,4.580
3,3:44,1,10,JAX 15,3,7,Cam Akers left end for -3 yards (tackle by Jeremiah Ledbetter and Tyson Campbell),4.580,3.560
3,3:02,2,13,JAX 18,3,7,Sam Darnold pass incomplete deep middle intended for Jalen Nailor,3.560,2.890
3,2:56,3,13,JAX 18,3,7,Sam Darnold pass complete short right to Jordan Addison for no gain (tackle by Jarrian Jones). Penalty on Cam Robinson: Illegal Formation 5 yards (accepted) (no play),2.890,2.280
3,2:30,3,18,JAX 23,3,7,Sam Darnold pass complete short right to Cam Akers for 9 yards (tackle by Montaric Brown),2.280,2.510
3,1:45,4,9,JAX 14,6,7,John Parker Romo 33 yard field goal good,2.510,3.000
3,1:42,,,MIN 35,6,7,John Parker Romo kicks off 65 yards touchback.,0.000,0.940
3,1:42,1,10,JAX 30,6,7,Mac Jones sacked by Andrew Van Ginkel for -8 yards,0.940,-0.690
3,1:03,2,18,JAX 22,6,7,Mac Jones pass incomplete short left intended for Brian Thomas,-0.690,-1.350
