Quarter,Time,Down,ToGo,Location,PHI,DAL,Detail,EPB,EPA
2,10:54,2,9,DAL 47,7,3,Jalen Hurts sacked by DeMarvion Overshown for -8 yards,1.980,0.230
2,10:06,,,,,,Timeout #1 by Philadelphia Eagles,,
2,10:06,3,17,PHI 45,7,3,Jalen Hurts sacked by Micah Parsons for no gain,0.230,-0.390
2,9:28,4,17,PHI 45,7,3,Braden Mann punts 55 yards touchback.,-0.390,-0.280
2,9:21,1,10,DAL 20,7,3,Cooper Rush pass complete short right to CeeDee Lamb for no gain (tackle by Darius Slay). Penalty on Quinyon Mitchell: Illegal Use of Hands / Defense 5 yards (accepted) (no play),0.280,0.610
2,8:59,1,10,DAL 25,7,3,Ezekiel Elliott up the middle for -1 yards (tackle by Zack Baun),0.610,-0.070
2,8:24,2,11,DAL 24,7,3,Ezekiel Elliott right end for 8 yards (tackle by Reed Blankenship),-0.070,0.300
2,7:45,3,3,DAL 32,7,3,Cooper Rush pass incomplete short right intended for Jalen Tolbert (defended by Darius Slay). Penalty on Darius Slay: Defensive Pass Interference 9 yards (accepted) (no play),0.300,1.660
2,7:40,1,10,DAL 41,7,3,Rico Dowdle right guard for no gain (tackle by Zack Baun),1.660,1.120
2,7:07,2,10,DAL 41,7,3,Cooper Rush pass incomplete short left intended for CeeDee Lamb,1.120,0.430
2,7:03,3,10,DAL 41,7,3,Cooper Rush pass complete short middle to Jalen Tolbert for 9 yards (tackle by Quinyon Mitchell),0.430,-0.060
2,6:33,4,1,DAL 50,7,3,Cooper Rush up the middle for 2 yards (tackle by Moro Ojomo),-0.060,2.390
2,5:54,1,10,PHI 48,7,3,Cooper Rush pass incomplete short right intended for CeeDee Lamb (defended by Jalyx Hunt),2.390,1.850
2,5:49,2,10,PHI 48,7,3,Rico Dowdle up the middle for 19 yards (tackle by Brandon Graham),1.850,3.640
2,5:27,1,10,PHI 29,7,3,Cooper Rush pass complete short right to Jake Ferguson for 10 yards (tackle by Reed Blankenship),3.640,4.310
2,4:55,1,10,PHI 19,7,3,Rico Dowdle left guard for 5 yards (tackle by Nakobe Dean),4.310,4.530
2,4:35,2,5,PHI 14,7,3,CeeDee Lamb left end for 3 yards (tackle by Cooper DeJean and C.J. Gardner-Johnson),4.530,4.430
