Quarter,Time,Down,ToGo,Location,DET,HOU,Detail,EPB,EPA
2,9:19,2,10,DET 35,7,10,C.J. Stroud pass incomplete short left intended for Tank Dell (defended by Brian Branch),2.700,2.010
2,9:13,3,10,DET 35,7,10,Joe Mixon left guard for -3 yards (tackle by Alim McNeill),2.010,0.720
2,8:30,4,13,DET 38,7,13,Ka'imi Fairbairn 56 yard field goal good,0.720,3.000
2,8:25,,,HOU 35,7,13,Ka'imi Fairbairn kicks off 65 yards touchback.,0.000,0.940
2,8:25,1,10,DET 30,7,13,David Montgomery right guard for no gain (tackle by Folorunso Fatukasi),0.940,0.390
2,7:48,2,10,DET 30,7,13,Jared Goff pass incomplete short middle intended for Tim Patrick. Penalty on Danielle Hunter: Illegal Use of Hands / Defense 5 yards (accepted) (no play),0.390,1.270
2,7:42,1,10,DET 35,7,13,Jared Goff pass short middle (defended by Denico Autry) intended for Sam LaPorta is intercepted by Henry To'oTo'o at DET-36 and returned for no gain (tackle by Sam LaPorta),1.270,-3.180
2,7:34,1,10,DET 36,7,13,C.J. Stroud pass complete short left to Tank Dell for 1 yard (tackle by Brian Branch),3.180,2.770
2,6:50,2,9,DET 35,7,13,C.J. Stroud pass complete short right to Xavier Hutchinson for 10 yards (tackle by Brian Branch),2.770,3.910
2,6:09,1,10,DET 25,7,13,C.J. Stroud pass complete short middle to Joe Mixon for 8 yards (tackle by Trevor Nowaske),3.910,4.550
2,5:45,2,2,DET 17,7,13,Joe Mixon left guard for 6 yards (tackle by Kerby Joseph),4.550,4.840
2,5:06,1,10,DET 11,7,13,Joe Mixon right end for no gain (tackle by Josh Paschal),4.840,4.140
2,4:22,2,10,DET 11,7,13,C.J. Stroud pass incomplete short left intended for Joe Mixon,4.140,3.130
2,4:18,3,10,DET 11,7,13,C.J. Stroud pass incomplete short right intended for Robert Woods,3.130,2.700
2,4:10,4,10,DET 11,7,16,Ka'imi Fairbairn 29 yard field goal good,2.700,3.000
2,4:07,,,HOU 35,7,16,Ka'imi Fairbairn kicks off 65 yards touchback.,0.000,0.940
2,4:07,1,10,DET 30,7,16,David Montgomery right guard for 2 yards (tackle by Azeez Al-Shaair and Danielle Hunter),0.940,0.660
2,3:33,2,8,DET 32,7,16,Jared Goff pass incomplete short right,0.660,-0.030
2,3:28,3,8,DET 32,7,16,Jared Goff pass incomplete short left intended for Amon-Ra St. Brown,-0.030,-1.240
2,3:24,4,8,DET 32,7,16,Jack Fox punts 46 yards returned by Steven Sims for 11 yards (tackle by Sione Vaki),-1.240,-1.140
2,3:15,1,10,HOU 33,7,16,C.J. Stroud sacked by Pat O'Connor for -12 yards,1.140,-1.030
