Quarter,Time,Down,ToGo,Location,BAL,CIN,Detail,EPB,EPA
2,9:45,2,5,CIN 28,7,7,Derrick Henry right end for 7 yards (tackle by Geno Stone and Kris Jenkins),3.510,4.170
2,9:01,1,10,CIN 21,7,7,Lamar Jackson pass incomplete short right intended for Mark Andrews,4.170,3.630
2,8:55,2,10,CIN 21,7,7,Lamar Jackson left end for 5 yards (tackle by Trey Hendrickson),3.630,3.630
2,8:16,3,5,CIN 16,13,7,Lamar Jackson pass complete short right to Rashod Bateman for 16 yards touchdown,3.630,7.000
2,8:09,,,CIN 15,14,7,Justin Tucker kicks extra point good,0.000,0.000
2,8:09,,,BAL 35,14,7,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
2,8:09,1,10,CIN 30,14,7,Chase Brown left guard for 1 yard (tackle by Travis Jones and Roquan Smith),0.940,0.530
2,7:31,2,9,CIN 31,14,7,Joe Burrow pass complete short left to Tee Higgins for 8 yards (tackle by Brandon Stephens),0.530,0.890
2,6:52,3,1,CIN 39,14,7,Joe Burrow sacked by Tavius Robinson for -7 yards,0.890,-1.240
2,6:05,4,8,CIN 32,14,7,Ryan Rehkow punts 66 yards downed by Daijahn Anthony,-1.240,0.380
2,5:52,1,10,BAL 2,14,9,Derrick Henry right tackle for -2 yards (tackle by Sam Hubbard) safety.,-0.380,-2.000
2,5:47,,,BAL 20,14,9,Justin Tucker kicks off 74 yards returned by Charlie Jones for 27 yards (tackle by Chris Board),0.000,1.140
2,5:41,1,10,CIN 33,14,9,Zack Moss right guard for 4 yards (tackle by Tavius Robinson and Brent Urban),1.140,1.130
2,5:02,2,6,CIN 37,14,9,Joe Burrow pass complete short middle to Ja'Marr Chase for 8 yards (tackle by Brandon Stephens),1.130,1.930
2,4:24,1,10,CIN 45,14,9,Joe Burrow pass incomplete short left intended for Zack Moss (defended by Kyle Hamilton),1.930,1.380
2,4:17,2,10,CIN 45,14,9,Joe Burrow pass complete short right to Erick All for 5 yards (tackle by Roquan Smith and Ar'Darius Washington),1.380,1.360
2,3:34,3,5,CIN 50,14,9,Joe Burrow pass incomplete short right intended for Ja'Marr Chase (defended by Nate Wiggins),1.360,-0.060
2,3:30,4,5,CIN 50,14,9,Ryan Rehkow punts 36 yards fair catch by Tylan Wallace at BAL-14,-0.060,0.280
2,3:23,1,10,BAL 14,14,9,Derrick Henry left end for 1 yard (tackle by Trey Hendrickson and B.J. Hill),-0.280,-0.640
2,2:53,2,9,BAL 15,14,9,Lamar Jackson pass complete short left to Nelson Agholor for 4 yards (tackle by Logan Wilson),-0.640,-0.800
2,2:04,3,5,BAL 19,14,9,Lamar Jackson scrambles left end for 4 yards (tackle by Germaine Pratt and Joseph Ossai),-0.800,-1.830
2,1:54,4,1,BAL 23,14,9,Charlie Kolar right guard for 2 yards (tackle by Logan Wilson and B.J. Hill),-1.830,0.610
2,1:05,1,10,BAL 25,14,9,Lamar Jackson pass incomplete short right intended for Nelson Agholor,0.610,0.060
2,0:55,2,10,BAL 25,14,9,Justice Hill left guard for no gain (tackle by Logan Wilson),0.060,-0.620
2,0:49,,,,,,Timeout #1 by Baltimore Ravens,,
2,0:49,3,10,BAL 25,14,9,Lamar Jackson pass incomplete deep middle intended for Zay Flowers,-0.620,-1.700
2,0:44,4,10,BAL 25,14,9,Jordan Stout punts 67 yards returned by Charlie Jones for 13 yards (tackle by Nate Wiggins),-1.700,-0.340
2,0:34,1,10,CIN 21,14,9,Joe Burrow pass complete short right to Tee Higgins for 11 yards (tackle by Marlon Humphrey),0.340,1.070
2,0:28,1,10,CIN 32,14,9,Joe Burrow pass complete short left to Zack Moss for 9 yards (tackle by Roquan Smith and Ar'Darius Washington),1.070,1.740
2,0:21,,,,,,Timeout #1 by Cincinnati Bengals,,
2,0:21,2,1,CIN 41,14,9,Joe Burrow pass complete short right to Ja'Marr Chase for 18 yards (tackle by Roquan Smith),1.740,2.850
2,0:15,,,,,,Timeout #2 by Cincinnati Bengals,,
2,0:15,1,10,BAL 41,14,15,Joe Burrow pass complete deep right to Ja'Marr Chase for 41 yards touchdown,2.850,7.000
2,0:09,,,BAL 15,14,15,Penalty on Nnamdi Madubuike: Roughing the Passer 1 yard (accepted) (no play),0.000,1.000
2,0:09,,,BAL 2,14,15,Two Point Attempt: Joe Burrow pass incomplete. Interception by Kyle Hamilton. Penalty on Kyle Hamilton: Defensive Pass Interference (accepted) (no play),1.000,1.000
2,0:09,,,,,,Timeout #3 by Cincinnati Bengals,,
2,0:09,,,,,,Timeout #2 by Baltimore Ravens,,
2,0:09,,,BAL 1,14,17,Two Point Attempt: Chase Brown rushes conversion succeeds.,1.000,1.000
2,0:09,,,CIN 35,14,17,Evan McPherson kicks off 65 yards touchback.,0.000,0.940
2,0:09,1,10,BAL 30,14,17,Lamar Jackson kneels for -1 yards,0.940,0.260
3,15:00,,,BAL 35,14,17,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,CIN 30,14,17,Joe Burrow pass complete short right to Ja'Marr Chase for -4 yards (tackle by Trenton Simpson),0.940,-0.150
3,14:24,2,14,CIN 26,14,17,Joe Burrow pass incomplete short right intended for Tee Higgins (defended by Trenton Simpson),-0.150,-0.820
3,14:20,3,14,CIN 26,14,17,Joe Burrow pass complete deep right to Tee Higgins for 17 yards (tackle by Marlon Humphrey). Penalty on Marlon Humphrey: Defensive Holding 5 yards (declined),-0.820,1.800
3,14:09,1,10,CIN 43,14,17,Zack Moss left guard for 7 yards (tackle by Marcus Williams and Trenton Simpson),1.800,2.200
3,13:24,2,3,CIN 50,14,17,Chase Brown up the middle for -3 yards (tackle by Kyle Van Noy),2.200,1.090
3,13:04,3,6,CIN 47,14,17,Joe Burrow pass complete short right to Ja'Marr Chase for 12 yards (tackle by Nate Wiggins),1.090,2.850
3,12:17,1,10,BAL 41,14,17,Zack Moss left guard for no gain (tackle by Kyle Hamilton and Roquan Smith),2.850,2.310
3,11:29,2,10,BAL 41,14,17,Joe Burrow pass incomplete short middle intended for Tee Higgins,2.310,1.620
3,11:21,3,10,BAL 41,14,17,Joe Burrow pass complete deep right to Andrei Iosivas for 39 yards (tackle by Marcus Williams),1.620,6.740
3,10:43,1,2,BAL 2,14,17,Zack Moss up the middle for 1 yard (tackle by Brent Urban and Trenton Simpson),6.740,5.910
3,10:02,2,1,BAL 1,14,17,Joe Burrow left guard for no gain (tackle by Nnamdi Madubuike and Roquan Smith),5.910,5.170
3,9:10,3,1,BAL 1,14,17,Penalty on Joe Burrow: Delay of Game 4 yards (accepted) (no play),5.170,4.260
3,8:53,3,5,BAL 5,14,23,Joe Burrow pass complete short right to Tee Higgins for 5 yards touchdown,4.260,7.000
3,8:51,,,BAL 15,14,24,Evan McPherson kicks extra point good,0.000,0.000
3,8:51,,,CIN 35,14,24,Evan McPherson kicks off 61 yards returned by Chris Collier for 22 yards (tackle by Maema Njongmeta and Akeem Davis-Gaither),0.000,0.670
3,8:45,1,10,BAL 26,14,24,Lamar Jackson pass complete short right to Zay Flowers for 15 yards (tackle by Logan Wilson),0.670,1.660
3,8:06,1,10,BAL 41,14,24,Lamar Jackson pass complete deep right to Charlie Kolar for 55 yards (tackle by Geno Stone),1.660,6.280
3,7:24,1,4,CIN 4,14,24,Derrick Henry right guard for 3 yards (tackle by B.J. Hill),6.280,5.910
3,6:41,2,1,CIN 1,20,24,Lamar Jackson pass complete short left to Isaiah Likely for 1 yard touchdown,5.910,7.000
3,6:38,,,CIN 15,21,24,Justin Tucker kicks extra point good,0.000,0.000
3,6:38,,,BAL 35,21,24,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
3,6:38,1,10,CIN 30,21,24,Chase Brown left tackle for 4 yards (tackle by David Ojabo and Roquan Smith),0.940,0.930
3,5:54,2,6,CIN 34,21,24,Joe Burrow pass complete short left to Zack Moss for 5 yards (tackle by Michael Pierce),0.930,0.890
3,5:11,3,1,CIN 39,21,24,Joe Burrow pass complete short left to Ja'Marr Chase for 4 yards (tackle by Brandon Stephens),0.890,1.800
3,4:34,1,10,CIN 43,21,24,Penalty on Orlando Brown: False Start 5 yards (accepted) (no play),1.800,1.470
3,4:24,1,15,CIN 38,21,24,Joe Burrow pass complete short right to Tee Higgins for 8 yards (tackle by Kyle Hamilton),1.470,1.660
3,3:49,2,7,CIN 46,21,24,Joe Burrow pass complete short left to Erick All for 5 yards (tackle by Brandon Stephens),1.660,1.620
3,3:02,3,2,BAL 49,21,24,Joe Burrow pass complete short left to Ja'Marr Chase for 16 yards (tackle by Brandon Stephens),1.620,3.380
3,2:23,1,10,BAL 33,21,24,Chase Brown right tackle for no gain (tackle by Roquan Smith),3.380,2.840
3,1:42,2,10,BAL 33,21,24,Joe Burrow pass complete short left to Chase Brown for 3 yards (tackle by Ar'Darius Washington),2.840,2.540
