Quarter,Time,Down,ToGo,Location,IND,JAX,Detail,EPB,EPA
2,8:26,2,7,IND 33,7,3,Joe Flacco pass incomplete short left intended for Josh Downs,0.800,0.100
2,8:14,3,7,IND 33,7,3,Joe Flacco pass complete short middle to Trey Sermon for no gain (tackle by Antonio Johnson and Montaric Brown) JAX challenged the first down ruling and the original play was overturned. Joe Flacco pass complete short middle to Trey Sermon for 6 yards (tackle by Antonio Johnson and Montaric Brown),0.100,-0.780
2,7:37,4,1,IND 39,7,3,Penalty on Will Fries: False Start 4 yards (accepted) (no play),-0.780,-1.040
2,7:24,4,5,IND 35,7,3,Rigoberto Sanchez punts 60 yards returned by Devin Duvernay for 10 yards (tackle by Segun Olubi and Andrew Ogletree),-1.040,0.220
2,7:12,1,10,JAX 15,7,9,Trevor Lawrence pass complete deep right to Brian Thomas for 85 yards touchdown,-0.220,7.000
2,7:02,,,IND 15,7,10,Cam Little kicks extra point good,0.000,0.000
2,7:02,,,JAX 35,7,10,Cam Little kicks off 65 yards touchback.,0.000,0.940
2,7:02,1,10,IND 30,7,10,Trey Sermon left end for 4 yards (tackle by DaVon Hamilton),0.940,0.930
2,6:23,2,6,IND 34,7,10,Tyler Goodson right end for 3 yards (tackle by Antonio Johnson),0.930,0.630
2,5:42,3,3,IND 37,7,10,Joe Flacco pass complete short middle to Will Mallory for 7 yards (tackle by Andre Cisco),0.630,1.860
2,5:18,1,10,IND 44,7,10,Joe Flacco pass complete short middle to Josh Downs for 2 yards (tackle by Montaric Brown),1.860,1.590
2,4:39,2,8,IND 46,7,10,Joe Flacco pass complete short middle to Tyler Goodson for 5 yards (tackle by Montaric Brown and Devin Lloyd),1.590,1.550
2,3:59,3,3,JAX 49,7,10,Tyler Goodson up the middle for 17 yards (tackle by Antonio Johnson),1.550,3.450
2,3:34,1,10,JAX 32,7,10,Joe Flacco sacked by Josh Hines-Allen for -4 yards,3.450,2.360
2,3:00,2,14,JAX 36,7,10,Adonai Mitchell pass complete short left to Tyler Goodson for 24 yards (tackle by Montaric Brown),2.360,4.780
2,2:11,1,10,JAX 12,7,10,Tyler Goodson left end for no gain (tackle by Darnell Savage and DaVon Hamilton),4.780,4.100
2,2:00,2,10,JAX 12,7,10,Joe Flacco pass complete short right to Trey Sermon for no gain (tackle by Travon Walker and Maason Smith),4.100,3.120
2,1:51,3,10,JAX 12,7,10,Joe Flacco pass incomplete short middle intended for Adonai Mitchell,3.120,2.630
2,1:47,4,10,JAX 12,10,10,Matt Gay 30 yard field goal good,2.630,3.000
2,1:44,,,IND 35,10,10,Matt Gay kicks off 65 yards touchback.,0.000,0.940
2,1:44,1,10,JAX 30,10,10,Trevor Lawrence pass complete short left to Travis Etienne for 4 yards (tackle by Jaylon Jones),0.940,0.930
2,1:14,2,6,JAX 34,10,10,Trevor Lawrence pass incomplete short left intended for Travis Etienne,0.930,0.230
2,1:07,3,6,JAX 34,10,10,Trevor Lawrence pass complete short middle to Brenton Strange for 12 yards (tackle by Chris Lammons and Zaire Franklin),0.230,1.990
2,0:43,1,10,JAX 46,10,10,Trevor Lawrence pass incomplete short middle intended for D'Ernest Johnson (defended by Zaire Franklin),1.990,1.450
2,0:42,2,10,JAX 46,10,10,Trevor Lawrence pass complete short right to Travis Etienne for -1 yards (tackle by Dallis Flowers),1.450,0.630
2,0:35,,,,,,Timeout #1 by Indianapolis Colts,,
2,0:35,3,11,JAX 45,10,10,Trevor Lawrence pass complete deep left to Gabriel Davis for 21 yards. Gabriel Davis fumbles (forced by Jaylon Jones) recovered by Chris Lammons at IND-34 (tackle by Travis Etienne). Penalty on Gabriel Davis: Offensive Pass Interference 10 yards (declined),0.630,-1.200
2,0:27,1,10,IND 34,10,10,Joe Flacco pass complete short right to Josh Downs for 12 yards (tackle by Jarrian Jones and Antonio Johnson),1.200,1.990
2,0:18,,,,,,Timeout #2 by Indianapolis Colts,,
2,0:18,1,10,IND 46,10,10,Joe Flacco pass incomplete short right intended for Michael Pittman (defended by Travon Walker),1.990,1.450
2,0:15,2,10,IND 46,10,10,Joe Flacco sacked by Travon Walker for -11 yards. Joe Flacco fumbles (forced by Travon Walker) recovered by Josh Hines-Allen at IND-25 and returned for 13 yards (tackle by Joe Flacco and Tyler Goodson),1.450,-4.780
2,0:06,1,10,IND 12,10,13,Cam Little 30 yard field goal good,4.780,3.000
2,0:04,,,JAX 35,10,13,Cam Little kicks off 65 yards touchback.,0.000,0.940
2,0:04,1,10,IND 30,10,13,Joe Flacco kneels for -1 yards,0.940,0.260
3,15:00,,,IND 35,10,13,Matt Gay kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,JAX 30,10,13,Travis Etienne left end for 2 yards (tackle by Jaylon Carlies),0.940,0.660
3,14:26,2,8,JAX 32,10,13,Trevor Lawrence pass complete short left to Brian Thomas for 13 yards (tackle by Jaylon Jones and Jaylon Carlies),0.660,1.930
3,13:48,1,10,JAX 45,10,13,Trevor Lawrence pass complete short middle to Brian Thomas for 4 yards (tackle by Zaire Franklin),1.930,1.920
3,13:09,2,6,JAX 49,10,13,Tank Bigsby up the middle for 4 yards (tackle by Laiatu Latu),1.920,1.750
3,12:30,3,2,IND 47,10,13,Tank Bigsby left end for -3 yards (tackle by E.J. Speed and Taven Bryan),1.750,-0.060
3,11:45,4,5,JAX 50,10,13,Logan Cooke punts 44 yards fair catch by Josh Downs at IND-6,-0.060,0.380
3,11:37,1,10,IND 6,10,13,Joe Flacco pass incomplete short left intended for Alec Pierce (defended by Josh Hines-Allen). Penalty on Ventrell Miller: Illegal Contact 5 yards (accepted) (no play),-0.380,-0.370
3,11:30,1,10,IND 11,10,13,Tyler Goodson right end for 4 yards (tackle by Ronald Darby),-0.370,-0.430
3,10:56,2,6,IND 15,10,13,Joe Flacco pass incomplete short left intended for Adonai Mitchell,-0.430,-0.950
3,10:50,3,6,IND 15,10,13,Joe Flacco pass complete short right to Michael Pittman for 2 yards (tackle by Travon Walker). Penalty on Braden Smith: Illegal Formation 5 yards (declined),-0.950,-2.320
3,10:37,4,4,IND 17,10,13,Rigoberto Sanchez punts 44 yards returned by Devin Duvernay for 5 yards (tackle by Kylen Granson),-2.320,-1.860
3,10:22,1,10,JAX 44,10,13,Trevor Lawrence pass complete short middle to Brian Thomas for 12 yards (tackle by Julian Blackmon),1.860,2.650
3,9:53,1,10,IND 44,10,13,Travis Etienne left end for 3 yards (tackle by E.J. Speed),2.650,2.520
3,9:18,2,7,IND 41,10,13,Trevor Lawrence pass deep left intended for Brian Thomas is intercepted by Nick Cross at IND-2 and returned for no gain (tackle by Brian Thomas),2.520,0.380
3,9:03,1,10,IND 2,10,13,Trey Sermon up the middle for 3 yards (tackle by Josh Hines-Allen and Chad Muma),-0.380,-0.560
3,8:24,2,7,IND 5,10,13,Joe Flacco pass complete short left to Tyler Goodson for 2 yards (tackle by Ventrell Miller),-0.560,-0.840
3,7:47,3,5,IND 7,10,13,Joe Flacco pass incomplete short middle intended for Josh Downs,-0.840,-2.490
3,7:40,4,5,IND 7,10,13,Rigoberto Sanchez punts 65 yards returned by Devin Duvernay for 53 yards (tackle by Ashton Dulin),-2.490,-4.310
3,7:21,1,10,IND 19,10,19,Tank Bigsby up the middle for 19 yards. Tank Bigsby fumbles (forced by Laiatu Latu) recovered by Tank Bigsby in end zone touchdown,4.310,7.000
3,7:13,,,IND 15,10,20,Cam Little kicks extra point good,0.000,0.000
3,7:13,,,JAX 35,10,20,Cam Little kicks off 65 yards touchback.,0.000,0.940
3,7:13,1,10,IND 30,10,20,Joe Flacco pass complete short left to Michael Pittman for 5 yards (tackle by Roy Robertson-Harris and Chad Muma),0.940,1.070
3,6:39,2,5,IND 35,10,20,Joe Flacco pass complete short left to Trey Sermon for 8 yards (tackle by Chad Muma and Montaric Brown),1.070,1.800
3,5:57,1,10,IND 43,10,20,Ashton Dulin right end for 9 yards (tackle by Darnell Savage and Antonio Johnson),1.800,2.470
3,5:35,2,1,JAX 48,10,20,Trey Sermon up the middle for 2 yards (tackle by Ventrell Miller),2.470,2.520
3,5:09,1,10,JAX 46,10,20,Joe Flacco pass incomplete deep right intended for Adonai Mitchell,2.520,1.980
3,4:51,2,10,JAX 46,10,20,Joe Flacco pass complete short right to Adonai Mitchell for 10 yards (tackle by Ronald Darby),1.980,3.180
3,4:12,1,10,JAX 36,10,20,Joe Flacco pass complete short left to Michael Pittman for 2 yards (tackle by Ventrell Miller),3.180,2.910
3,3:36,2,8,JAX 34,10,20,Joe Flacco pass complete short right to Josh Downs for 4 yards (tackle by Darnell Savage),2.910,2.740
3,2:57,3,4,JAX 30,10,20,Joe Flacco pass complete short right to Josh Downs for 6 yards (tackle by Antonio Johnson),2.740,3.970
3,2:19,1,10,JAX 24,10,20,Joe Flacco pass complete short left to Trey Sermon for 5 yards (tackle by Montaric Brown),3.970,4.120
3,1:37,2,5,JAX 19,10,20,Adonai Mitchell left end for 4 yards (tackle by Ronald Darby),4.120,4.170
3,0:52,3,1,JAX 15,10,20,Joe Flacco up the middle for 2 yards (tackle by Tyler Lacy),4.170,4.710
3,0:13,1,10,JAX 13,10,20,Joe Flacco pass incomplete short left intended for Mo Alie-Cox (defended by Andre Cisco),4.710,4.050
