Quarter,Time,Down,ToGo,Location,MIA,NWE,Detail,EPB,EPA
2,11:22,2,20,MIA 22,3,7,Tyler Huntley pass complete short left to Tyreek Hill for 4 yards (tackle by Marcus Jones) Penalty on MIA: Illegal Shift 5 yards (declined),-0.820,-0.960
2,10:56,3,16,MIA 26,3,7,Tyler Huntley pass complete short middle to Jaylen Waddle for 5 yards (tackle by Marcus Jones and Josh Uche). Penalty on Malik Washington: Illegal Blindside Block 15 yards (declined),-0.960,-1.310
2,10:40,4,11,MIA 31,3,7,blocked by Brenden Schooler. Jake Bailey fumbles (tackle by Dell Pettus recovered by Isaiah Bolden at MIA-23,-1.310,-4.040
2,10:31,1,10,MIA 23,3,7,Rhamondre Stevenson left guard for 4 yards (tackle by Da'Shawn Hand and Jordyn Brooks),4.040,4.050
2,9:51,2,6,MIA 19,3,7,Jacoby Brissett pass complete short right to Hunter Henry for 5 yards (tackle by Emmanuel Ogbah). Penalty on Rhamondre Stevenson: Offensive Holding 10 yards (accepted) (no play),4.050,2.690
2,9:21,2,16,MIA 29,3,7,Jacoby Brissett pass complete short middle to Demario Douglas for 18 yards (tackle by Jevon Holland),2.690,4.840
2,8:44,1,10,MIA 11,3,7,Rhamondre Stevenson left tackle for 1 yard (tackle by Anthony Walker). Penalty on Nick Leverett: Offensive Holding 10 yards (accepted),4.840,4.240
2,8:18,1,19,MIA 20,3,7,Jacoby Brissett pass complete short left to Hunter Henry for 7 yards (tackle by Marcus Maye),4.240,3.830
2,7:38,2,12,MIA 13,3,7,Jacoby Brissett pass complete short right to Rhamondre Stevenson for -3 yards (tackle by Kader Kohou),3.830,2.890
2,6:54,,,,,,Timeout #1 by New England Patriots,,
2,6:54,3,15,MIA 16,3,7,Rhamondre Stevenson right end for 1 yard (tackle by Jevon Holland),2.890,2.440
2,6:12,4,14,MIA 15,3,7,Joey Slye 33 yard field goal no good,2.440,-0.480
2,6:09,1,10,MIA 23,3,7,Tyler Huntley pass complete short left to Jonnu Smith for 17 yards (tackle by Marcus Jones),0.480,1.600
2,5:38,1,10,MIA 40,3,7,Jaylen Wright up the middle for 3 yards (tackle by Davon Godchaux),1.600,1.460
2,5:02,2,7,MIA 43,3,7,Tyler Huntley pass complete short middle to Jaylen Waddle for 10 yards (tackle by Dell Pettus and Jaylinn Hawkins),1.460,2.460
2,4:27,1,10,NWE 47,3,7,Jaylen Wright left tackle for 5 yards (tackle by Jaquelin Roy and Jahlani Tavai),2.460,2.590
2,3:50,2,5,NWE 42,3,7,Tyler Huntley pass incomplete deep right intended for Jonnu Smith,2.590,1.880
2,3:42,3,5,NWE 42,3,7,Tyler Huntley pass complete short middle to Raheem Mostert for 10 yards (tackle by Raekwon McMillan),1.880,3.450
2,3:09,1,10,NWE 32,3,7,Raheem Mostert right guard for 5 yards (tackle by Anfernee Jennings and Dell Pettus),3.450,3.580
2,2:38,2,5,NWE 27,3,7,Raheem Mostert left end for 2 yards (tackle by Marcus Jones),3.580,3.140
2,2:08,3,3,NWE 25,3,7,Penalty on MIA: Illegal Shift 5 yards (declined),3.140,0.130
2,2:00,4,25,NWE 47,3,7,Jake Bailey punts 42 yards out of bounds,0.130,0.380
2,1:50,1,10,NWE 5,3,7,Rhamondre Stevenson up the middle for 8 yards (tackle by Emmanuel Ogbah and Jevon Holland),-0.380,-0.190
2,1:19,2,2,NWE 13,3,7,Jacoby Brissett pass incomplete deep right intended for Ja'Lynn Polk (defended by Kader Kohou),-0.190,-0.480
2,1:09,3,2,NWE 13,3,7,Jacoby Brissett pass incomplete deep right,-0.480,-2.490
2,1:02,4,2,NWE 13,3,7,Bryce Baringer punts 43 yards returned by Braxton Berrios for 12 yards (tackle by Christian Elliss),-2.490,-2.650
2,0:55,1,10,NWE 44,3,7,Tyler Huntley pass incomplete short right intended for Jaylen Waddle,2.650,2.110
2,0:52,2,10,NWE 44,3,7,Tyler Huntley pass complete short left to Jonnu Smith for 16 yards (tackle by Jaylinn Hawkins),2.110,3.710
2,0:46,1,10,NWE 28,3,7,Tyler Huntley pass incomplete short left intended for Jonnu Smith (defended by Keion White),3.710,3.170
2,0:43,2,10,NWE 28,3,7,Tyler Huntley pass incomplete short left intended for Jaylen Waddle,3.170,2.480
2,0:40,3,10,NWE 28,3,7,Tyler Huntley pass incomplete deep left intended for Tyreek Hill (defended by Marte Mapu),2.480,1.590
2,0:32,4,10,NWE 28,3,7,Penalty on Austin Jackson: False Start 5 yards (accepted) (no play),1.590,1.150
2,0:32,4,15,NWE 33,3,7,Blake Ferguson aborted snap recovered by Jason Sanders at NE-41 and returned for -1 yards (tackle by Jaylinn Hawkins),1.150,-1.730
2,0:28,1,10,NWE 42,3,7,Jacoby Brissett pass incomplete short middle intended for Demario Douglas (defended by Anthony Walker),1.730,1.190
2,0:23,2,10,NWE 42,3,7,Jacoby Brissett pass complete short left to Demario Douglas for 5 yards (tackle by Jalen Ramsey),1.190,1.160
2,0:20,3,5,NWE 47,3,7,Jacoby Brissett pass incomplete short left,1.160,-0.260
2,0:16,4,5,NWE 47,3,7,Bryce Baringer punts 53 yards touchback.,-0.260,-0.280
2,0:08,1,10,MIA 20,3,7,Raheem Mostert left end for no gain (tackle by Jonathan Jones),0.280,-0.270
2,0:03,2,10,MIA 20,3,7,Raheem Mostert up the middle for 2 yards (tackle by Davon Godchaux),-0.270,-0.690
3,15:00,,,MIA 35,3,7,Jason Sanders kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,NWE 30,3,7,Rhamondre Stevenson left guard for 16 yards (tackle by Jevon Holland),0.940,1.990
3,14:23,1,10,NWE 46,3,7,Rhamondre Stevenson left guard for 2 yards (tackle by Kendall Fuller and David Long),1.990,1.720
3,13:58,2,8,NWE 48,3,7,Jacoby Brissett pass complete short left to Demario Douglas for 7 yards (tackle by Storm Duck). Penalty on Ja'Lynn Polk: Offensive Holding 10 yards (accepted) (no play),1.720,0.370
3,13:40,2,18,NWE 38,3,7,Jacoby Brissett pass complete short left to Rhamondre Stevenson for 6 yards (tackle by Emmanuel Ogbah). Penalty on Jalen Ramsey: Roughing the Passer 15 yards (accepted),0.370,2.850
3,13:17,1,10,MIA 41,3,7,Jacoby Brissett pass incomplete deep left intended for Demario Douglas (defended by Marcus Maye),2.850,2.310
3,13:10,2,10,MIA 41,3,7,Antonio Gibson left tackle for 6 yards (tackle by Marcus Maye and Kader Kohou),2.310,2.410
3,12:25,3,4,MIA 35,3,7,Jacoby Brissett pass complete short right to Kayshon Boutte for 13 yards (tackle by Jalen Ramsey),2.410,4.110
3,11:48,1,10,MIA 22,3,7,Antonio Gibson up the middle for 2 yards (tackle by Jordyn Brooks),4.110,3.830
3,11:10,2,8,MIA 20,3,7,Jacoby Brissett pass incomplete short middle intended for Demario Douglas,3.830,3.140
3,11:07,3,8,MIA 20,3,7,Jacoby Brissett pass incomplete short middle intended for Austin Hooper,3.140,2.120
3,11:04,4,8,MIA 20,3,10,Joey Slye 38 yard field goal good,2.120,3.000
3,11:01,,,NWE 35,3,10,Joey Slye kicks off 65 yards touchback.,0.000,0.940
3,11:01,1,10,MIA 30,3,10,Tyler Huntley pass complete short right to Raheem Mostert for 8 yards (tackle by Keion White). Penalty on Keion White: Horse Collar Tackle 15 yards (accepted),0.940,2.460
3,10:42,1,10,NWE 47,3,10,Raheem Mostert left tackle for 5 yards (tackle by Deatrich Wise),2.460,2.590
3,10:03,2,5,NWE 42,3,10,Jonnu Smith right tackle for -1 yards (tackle by Jahlani Tavai and Jaquelin Roy),2.590,1.750
3,9:19,3,6,NWE 43,3,10,Tyler Huntley pass incomplete deep right intended for Jaylen Waddle. Penalty on Keion White: Roughing the Passer 15 yards (accepted) (no play),1.750,3.710
3,9:14,1,10,NWE 28,3,10,Jaylen Wright left end for 12 yards (tackle by Dell Pettus),3.710,4.510
3,8:39,1,10,NWE 16,3,10,Jaylen Wright up the middle for 2 yards (tackle by Jaquelin Roy and Marte Mapu),4.510,4.210
3,8:01,2,8,NWE 14,3,10,Tyler Huntley pass incomplete short right intended for Tyreek Hill (defended by Christian Gonzalez),4.210,3.370
3,7:55,3,8,NWE 14,3,10,Tyler Huntley pass incomplete deep left intended for Tyreek Hill,3.370,2.510
3,7:50,4,8,NWE 14,6,10,Jason Sanders 32 yard field goal good,2.510,3.000
3,7:47,,,MIA 35,6,10,Jason Sanders kicks off 65 yards touchback.,0.000,0.940
3,7:47,1,10,NWE 30,6,10,Rhamondre Stevenson left end for 2 yards (tackle by Jordyn Brooks),0.940,0.660
3,7:09,2,8,NWE 32,6,10,Rhamondre Stevenson right guard for 6 yards (tackle by Jordyn Brooks and Chop Robinson),0.660,0.760
3,6:30,3,2,NWE 38,6,10,Jacoby Brissett pass complete short right to Rhamondre Stevenson for -1 yards (tackle by Kader Kohou and Jordyn Brooks),0.760,-0.910
3,5:53,4,3,NWE 37,6,10,Bryce Baringer punts 49 yards fair catch by Braxton Berrios at MIA-14,-0.910,0.280
3,5:45,1,10,MIA 14,6,10,Tyler Huntley pass complete short right to Tyreek Hill for 4 yards (tackle by Christian Gonzalez),-0.280,-0.210
3,5:06,2,6,MIA 18,6,10,Tyler Huntley scrambles right end for 6 yards (tackle by Christian Gonzalez),-0.210,0.540
3,4:32,1,10,MIA 24,6,10,Jaylen Wright left tackle for 6 yards (tackle by Marte Mapu),0.540,0.810
3,4:00,2,4,MIA 30,6,10,Jaylen Wright up the middle for 17 yards (tackle by Dell Pettus),0.810,2.060
3,3:22,1,10,MIA 47,6,10,Tyler Huntley pass complete deep left to Tyreek Hill for 16 yards (tackle by Christian Gonzalez),2.060,3.120
3,2:45,1,10,NWE 37,6,10,Raheem Mostert right tackle for 2 yards (tackle by Marte Mapu and Christian Elliss),3.120,2.840
3,2:07,2,8,NWE 35,6,10,Tyler Huntley sacked by Jaquelin Roy for -5 yards,2.840,1.490
3,1:24,3,13,NWE 40,6,10,Tyler Huntley pass complete short right to Jaylen Waddle for 11 yards (tackle by Christian Gonzalez),1.490,1.600
3,0:35,4,2,NWE 29,9,10,Jason Sanders 47 yard field goal good,1.600,3.000
3,0:30,,,MIA 35,9,10,Jason Sanders kicks off 70 yards returned by Antonio Gibson for 24 yards (tackle by Duke Riley and Nik Needham),0.000,0.150
3,0:26,1,10,NWE 19,9,10,Antonio Gibson right end for 3 yards (tackle by Chop Robinson and David Long),0.150,0.070
4,15:00,2,7,NWE 22,9,10,Jacoby Brissett pass complete short left to Antonio Gibson for 4 yards (tackle by Marcus Maye and David Long),0.070,-0.160
4,14:18,3,4,NWE 26,9,10,Jacoby Brissett pass complete short left to Demario Douglas for 5 yards (tackle by Marcus Maye),-0.160,1.000
4,13:38,1,10,NWE 31,9,10,Antonio Gibson left end for 24 yards (tackle by Marcus Maye),1.000,2.590
4,12:56,1,10,MIA 45,9,10,Rhamondre Stevenson right tackle for 2 yards (tackle by Jalen Ramsey),2.590,2.310
4,12:14,2,8,MIA 43,9,10,Jacoby Brissett pass incomplete short right intended for Ja'Lynn Polk,2.310,1.620
4,12:11,3,8,MIA 43,9,10,Jacoby Brissett pass incomplete short left intended for Ja'Lynn Polk (defended by Jalen Ramsey) (defended by Jevon Holland),1.620,0.400
4,12:06,4,8,MIA 43,9,10,Penalty on NWE: Delay of Game 5 yards (declined),0.400,0.400
4,12:06,4,8,MIA 43,9,10,Bryce Baringer punts 43 yards touchback.,0.400,-0.280
4,12:00,1,10,MIA 20,9,10,Jaylen Wright right end for 2 yards (tackle by Daniel Ekuale). Penalty on Liam Eichenberg: Offensive Holding 10 yards (accepted),0.280,-0.600
4,11:39,1,18,MIA 12,9,10,Tyler Huntley pass complete deep middle to Tyreek Hill for 21 yards (tackle by Dell Pettus),-0.600,1.140
4,11:02,1,10,MIA 33,9,10,Tyler Huntley scrambles up the middle for 1 yard (tackle by Anfernee Jennings),1.140,0.730
4,10:18,2,9,MIA 34,9,10,Jaylen Wright up the middle for 4 yards (tackle by Daniel Ekuale and Davon Godchaux),0.730,0.560
