Quarter,Time,Down,ToGo,Location,TAM,ATL,Detail,EPB,EPA
2,12:04,3,13,TAM 24,10,13,Kirk Cousins pass complete deep middle to Darnell Mooney for 24 yards touchdown,2.540,7.000
2,11:58,,,TAM 15,10,14,Younghoe Koo kicks extra point good,0.000,0.000
2,11:58,,,ATL 35,10,14,Younghoe Koo kicks off 62 yards returned by Sean Tucker for 53 yards (tackle by Micah Abernathy and Kevin King),0.000,2.650
2,11:46,1,10,ATL 44,10,14,Baker Mayfield pass complete short right to Cade Otton for 22 yards (tackle by Kaden Elliss),2.650,4.110
2,11:06,1,10,ATL 22,10,14,Rachaad White right end for -1 yards (tackle by Kaden Elliss and Zach Harrison),4.110,3.430
2,10:22,2,11,ATL 23,16,14,Baker Mayfield pass complete deep left to Mike Evans for 23 yards touchdown,3.430,7.000
2,10:17,,,ATL 15,17,14,Chase McLaughlin kicks extra point good,0.000,0.000
2,10:17,,,TAM 35,17,14,Trenton Gill kicks off 65 yards touchback.,0.000,0.940
2,10:17,1,10,ATL 30,17,14,Bijan Robinson left end for no gain (tackle by Lavonte David),0.940,0.390
2,9:33,2,10,ATL 30,17,14,Kirk Cousins pass complete short left to Kyle Pitts for 18 yards (tackle by Jordan Whitehead),0.390,2.130
2,8:54,1,10,ATL 48,17,14,Bijan Robinson right tackle for 6 yards (tackle by Zyon McCollum and Tykee Smith),2.130,2.390
2,8:22,2,4,TAM 46,17,14,Kirk Cousins pass complete short right to Kyle Pitts for 8 yards (tackle by Lavonte David),2.390,3.050
2,7:41,1,10,TAM 38,17,14,Kirk Cousins pass incomplete short middle. Penalty on Kirk Cousins: Intentional Grounding 10 yards (accepted) TAM challenged the fumble ruling and the play was upheld.,3.050,1.160
2,7:35,2,20,TAM 48,17,14,Kirk Cousins pass complete short left to Bijan Robinson for 6 yards (tackle by Joe Tryon-Shoyinka),1.160,1.290
2,7:08,3,14,TAM 42,17,14,Kirk Cousins pass complete short left to Tyler Allgeier for 6 yards (tackle by Lavonte David),1.290,0.880
2,6:22,4,8,TAM 36,17,17,Younghoe Koo 54 yard field goal good,0.880,3.000
2,6:17,,,ATL 35,17,17,Younghoe Koo kicks off 68 yards returned by Cody Thompson for 21 yards (tackle by Richie Grant),0.000,0.040
2,6:10,1,10,TAM 18,17,17,Bucky Irving left tackle for 11 yards (tackle by Kaden Elliss and Ruke Orhorhoro),0.040,0.870
2,5:29,1,10,TAM 29,17,17,Rachaad White right guard for 56 yards (tackle by AJ Terrell),0.870,4.580
2,4:47,1,10,ATL 15,17,17,Baker Mayfield pass complete short right to Bucky Irving for 9 yards (tackle by James Smith-Williams and Jessie Bates),4.580,5.600
2,4:04,2,1,ATL 6,17,17,Bucky Irving right tackle for 4 yards (tackle by JD Bertrand and Jessie Bates),5.600,6.740
2,3:21,1,2,ATL 2,17,17,Bucky Irving right guard for no gain (tackle by Ruke Orhorhoro and Grady Jarrett),6.740,5.720
2,2:37,2,2,ATL 2,17,17,Baker Mayfield pass complete short left to Rachaad White for -2 yards (tackle by Clark Phillips),5.720,4.490
2,2:00,3,4,ATL 4,23,17,Baker Mayfield pass complete short right to Sterling Shepard for 4 yards touchdown,4.490,7.000
2,1:56,,,ATL 15,24,17,Chase McLaughlin kicks extra point good,0.000,0.000
2,1:56,,,TAM 35,24,17,Trenton Gill kicks off 65 yards touchback.,0.000,0.940
2,1:56,1,10,ATL 30,24,17,Kirk Cousins pass incomplete short middle intended for Ray-Ray McCloud (defended by Joe Tryon-Shoyinka),0.940,0.390
2,1:51,2,10,ATL 30,24,17,Kirk Cousins pass complete short right to Drake London for 11 yards (tackle by Zyon McCollum and K.J. Britt) Replay Assistant challenged the runner was down by contact ruling and the play was upheld.,0.390,1.660
2,1:29,1,10,ATL 41,24,17,Kirk Cousins pass complete short left to Drake London for 7 yards (tackle by Tykee Smith),1.660,2.070
2,1:10,2,3,ATL 48,24,17,Kirk Cousins pass complete short left to Bijan Robinson for 5 yards (tackle by Jamel Dean),2.070,2.460
2,1:00,1,10,TAM 47,24,17,Kirk Cousins pass complete short right to Ray-Ray McCloud for 8 yards (tackle by K.J. Britt and Lavonte David),2.460,2.990
2,0:38,2,2,TAM 39,24,17,Kirk Cousins pass complete short right to Drake London for 8 yards (tackle by Zyon McCollum),2.990,3.510
2,0:34,1,10,TAM 31,24,17,Kirk Cousins pass incomplete short middle intended for Drake London (defended by Jordan Whitehead),3.510,2.970
2,0:30,2,10,TAM 31,24,17,Kirk Cousins sacked by Logan Hall for -8 yards,2.970,1.220
2,0:24,,,,,,Timeout #1 by Atlanta Falcons,,
2,0:24,3,18,TAM 39,24,17,Kirk Cousins pass incomplete short right intended for Darnell Mooney,1.220,0.660
2,0:19,4,18,TAM 39,24,17,Bradley Pinion punts 35 yards fair catch by Kameron Johnson at TB-4,0.660,0.380
2,0:12,1,10,TAM 4,24,17,Baker Mayfield kneels for -1 yards,-0.380,-0.850
