Quarter,Time,Down,ToGo,Location,NYG,SEA,Detail,EPB,EPA
1,2:09,1,10,NYG 24,0,7,Daniel Jones pass complete short right to Tyrone Tracy for 1 yard (tackle by Devon Witherspoon),0.540,0.130
1,1:26,2,9,NYG 25,0,7,Daniel Jones right end for 1 yard (tackle by Jerome Baker),0.130,-0.430
1,0:49,3,8,NYG 26,0,7,Daniel Jones pass complete short left to Wan'Dale Robinson for 6 yards (tackle by Rayshawn Jenkins),-0.430,-1.240
1,0:03,4,2,NYG 32,0,7,Jamie Gillan punts 46 yards fair catch by Dee Williams at SEA-22,-1.240,-0.410
2,15:00,1,10,SEA 22,0,7,Kenneth Walker right end for -1 yards (tackle by Tyler Nubin),0.410,-0.270
2,14:20,2,11,SEA 21,0,7,Geno Smith pass complete short left to Jaxon Smith-Njigba for 3 yards (tackle by Nick McCloud),-0.270,-0.560
2,13:47,3,8,SEA 24,0,7,Geno Smith pass incomplete short right,-0.560,-1.770
2,13:43,4,8,SEA 24,0,7,Michael Dickson punts 55 yards returned by Ihmir Smith-Marsette for -2 yards (tackle by Tre Brown),-1.770,-0.150
2,13:35,1,10,NYG 19,0,7,Tyrone Tracy up the middle for 2 yards (tackle by Tyrel Dodson and Jerome Baker),0.150,-0.060
2,12:58,2,8,NYG 21,0,7,Daniel Jones pass complete short left to Darius Slayton for 7 yards (tackle by Tre Brown),-0.060,0.100
2,12:32,3,1,NYG 28,0,7,Daniel Jones left guard for 3 yards (tackle by Derick Hall),0.100,1.000
2,11:52,1,10,NYG 31,0,7,Tyrone Tracy left tackle for 27 yards (tackle by Riq Woolen),1.000,2.790
2,11:16,1,10,SEA 42,0,7,Eric Gray right guard for 2 yards (tackle by Uchenna Nwosu),2.790,2.510
2,10:38,2,8,SEA 40,0,7,Daniel Jones pass complete deep left to Theo Johnson for 22 yards (tackle by Julian Love),2.510,4.370
2,9:52,1,10,SEA 18,0,7,Daniel Jones right guard for 11 yards (tackle by Devon Witherspoon),4.370,5.600
2,9:15,1,7,SEA 7,6,7,Daniel Jones pass complete short left to Wan'Dale Robinson for 7 yards touchdown,5.600,7.000
2,9:09,,,SEA 15,7,7,Greg Joseph kicks extra point good,0.000,0.000
2,9:09,,,NYG 35,7,7,Greg Joseph kicks off 66 yards returned by Laviska Shenault for 29 yards (tackle by Matthew Adams),0.000,0.810
2,9:04,1,10,SEA 28,7,7,Geno Smith pass complete short middle to Zach Charbonnet for 7 yards (tackle by Rakeem Nunez-Roches),0.810,1.210
2,8:25,2,3,SEA 35,7,7,Geno Smith pass incomplete short right intended for Tyler Lockett (defended by Brian Burns) (defended by Deonte Banks),1.210,0.500
2,8:22,3,3,SEA 35,7,7,Geno Smith pass complete short left to Kenneth Walker for 4 yards (tackle by Adoree' Jackson),0.500,1.530
2,7:53,1,10,SEA 39,7,7,Geno Smith pass complete short middle to AJ Barner for 13 yards (tackle by Jason Pinnock),1.530,2.390
2,7:09,1,10,NYG 48,7,7,Geno Smith pass incomplete short left intended for Zach Charbonnet,2.390,1.850
2,7:06,2,10,NYG 48,7,7,Geno Smith pass complete short middle to Jake Bobo for 3 yards (tackle by Bobby Okereke),1.850,1.550
2,6:21,3,7,NYG 45,7,7,Geno Smith sacked by Dexter Lawrence for -9 yards,1.550,-0.320
2,5:44,4,16,SEA 46,7,7,Michael Dickson punts 40 yards returned by Ihmir Smith-Marsette for 8 yards (tackle by Jake Bobo and Pharaoh Brown),-0.320,-0.410
2,5:34,1,10,NYG 22,7,7,Tyrone Tracy right end for 3 yards (tackle by Riq Woolen and Tyrel Dodson),0.410,0.270
2,5:07,2,7,NYG 25,7,7,Daniel Jones pass complete short right to Wan'Dale Robinson for 8 yards (tackle by Tyrel Dodson),0.270,1.140
2,4:24,1,10,NYG 33,7,7,Daniel Jones pass incomplete short left intended for Tyrone Tracy,1.140,0.590
2,4:21,2,10,NYG 33,7,7,Wan'Dale Robinson left end for 4 yards (tackle by Dre'Mont Jones),0.590,0.430
2,3:38,3,6,NYG 37,7,7,Daniel Jones scrambles right tackle for 1 yard (tackle by Derick Hall). Penalty on Tre Brown: Defensive Holding 5 yards (accepted),0.430,1.800
2,3:07,1,10,NYG 43,7,7,Daniel Jones pass complete short left to Darius Slayton for 16 yards (tackle by Devon Witherspoon),1.800,2.850
2,2:30,1,10,SEA 41,7,7,Daniel Jones pass complete short right to Theo Johnson for 6 yards (tackle by Tyrel Dodson and Derick Hall),2.850,3.120
2,2:00,2,4,SEA 35,7,7,Tyrone Tracy left end for 7 yards (tackle by Julian Love),3.120,3.710
2,1:18,1,10,SEA 28,7,7,Daniel Jones pass incomplete short right,3.710,3.170
2,1:13,2,10,SEA 28,7,7,Daniel Jones up the middle for 8 yards (tackle by Riq Woolen and Julian Love),3.170,3.530
2,0:27,3,2,SEA 20,7,7,Daniel Jones pass incomplete short middle intended for Wan'Dale Robinson,3.530,2.250
2,0:25,4,2,SEA 20,10,7,Greg Joseph 38 yard field goal good,2.250,3.000
2,0:22,,,NYG 35,10,7,Greg Joseph kicks off 65 yards touchback.,0.000,0.940
2,0:22,1,10,SEA 30,10,7,Geno Smith pass complete short middle to Kenneth Walker for 17 yards (tackle by Deonte Banks),0.940,2.060
2,0:14,1,10,SEA 47,10,7,Geno Smith pass complete deep middle to Tyler Lockett for 28 yards (tackle by Tyler Nubin). Penalty on Adoree' Jackson: Defensive Pass Interference 15 yards (declined),2.060,3.910
2,0:06,,,,,,Timeout #1 by Seattle Seahawks,,
2,0:06,1,10,NYG 25,10,10,Jason Myers 43 yard field goal good,3.910,3.000
2,0:02,,,SEA 35,10,10,Jason Myers kicks off 65 yards touchback.,0.000,0.940
2,0:02,1,10,NYG 30,10,10,Daniel Jones kneels for -1 yards,0.940,0.260
3,15:00,,,SEA 35,10,10,Jason Myers kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,NYG 30,10,10,Tyrone Tracy left guard for 1 yard (tackle by Jerome Baker),0.940,0.530
3,14:18,2,9,NYG 31,10,10,Daniel Jones pass complete short left to Wan'Dale Robinson for 4 yards (tackle by Tyrel Dodson and Devon Witherspoon),0.530,0.370
3,13:37,3,5,NYG 35,10,10,Daniel Jones pass incomplete short left intended for Wan'Dale Robinson,0.370,-1.040
3,13:30,4,5,NYG 35,10,10,Jamie Gillan punts 36 yards fair catch by Dee Williams at SEA-29,-1.040,-0.870
3,13:23,1,10,SEA 29,10,10,Geno Smith pass complete deep left to Tyler Lockett for 33 yards (tackle by Micah McFadden),0.870,3.050
3,12:39,1,10,NYG 38,10,10,Kenneth Walker right end for 7 yards (tackle by Tyler Nubin),3.050,3.450
3,12:16,2,3,NYG 31,10,10,Geno Smith pass complete short right to D.K. Metcalf for 10 yards. D.K. Metcalf fumbles (tackle by Bobby Okereke recovered by Tyler Nubin at NYG-21 and returned for 2 yards (tackle by Kenneth Walker),3.450,-0.480
3,12:11,1,10,NYG 23,10,10,Daniel Jones pass complete deep right to Darius Slayton for 41 yards (tackle by Tre Brown). Penalty on Darius Slayton: Unsportsmanlike Conduct / Offense 15 yards (accepted),0.480,2.190
3,11:51,1,10,NYG 49,10,10,Daniel Jones scrambles right end for 5 yards (tackle by Jerome Baker and Derick Hall). Penalty on Tre Brown: Defensive Holding 5 yards (accepted),2.190,2.850
3,11:30,1,10,SEA 41,10,10,Tyrone Tracy left tackle for 11 yards (tackle by Devon Witherspoon and Jerome Baker),2.850,3.580
3,10:47,1,10,SEA 30,16,10,Daniel Jones pass complete deep left to Darius Slayton for 30 yards touchdown,3.580,7.000
3,10:41,,,SEA 15,17,10,Greg Joseph kicks extra point good,0.000,0.000
3,10:41,,,NYG 35,17,10,Greg Joseph kicks off 65 yards touchback.,0.000,0.940
3,10:41,1,10,SEA 30,17,10,Geno Smith pass complete short left to Kenneth Walker for 7 yards (tackle by Deonte Banks),0.940,1.340
3,9:53,2,3,SEA 37,17,10,Penalty on SEA: Delay of Game 5 yards (accepted) (no play),1.340,0.660
3,9:38,2,8,SEA 32,17,10,Geno Smith scrambles right end for 21 yards (tackle by Tyler Nubin),0.660,2.460
