Quarter,Time,Down,ToGo,Location,NYJ,MIN,Detail,EPB,EPA
1,0:43,3,1,NYJ 48,0,10,Sam Darnold up the middle for 3 yards (tackle by Quinnen Williams),1.750,2.590
1,0:15,1,10,NYJ 45,0,10,Penalty on Javon Kinlaw: Neutral Zone Infraction 5 yards (accepted) (no play),2.590,3.320
2,15:00,1,5,NYJ 40,0,10,Ty Chandler right tackle for -1 yards (tackle by Takkarist McKinley and Jamien Sherwood),3.320,2.580
2,14:23,2,6,NYJ 41,0,10,Sam Darnold sacked by Isaiah Oliver for -6 yards,2.580,1.090
2,13:44,3,12,NYJ 47,0,10,Sam Darnold pass incomplete deep middle intended for Justin Jefferson. Penalty on Sauce Gardner: Illegal Contact 6 yards (accepted) (no play),1.090,2.850
2,13:37,1,10,NYJ 41,0,10,Ty Chandler left guard for 3 yards (tackle by Jamien Sherwood),2.850,2.780
2,13:05,2,6,NYJ 38,0,10,Ty Chandler left tackle for 5 yards (tackle by Jamien Sherwood),2.780,2.740
2,12:27,3,1,NYJ 33,0,10,Sam Darnold pass incomplete short right intended for Justin Jefferson (defended by Tony Adams),2.740,1.210
2,12:20,4,1,NYJ 33,0,10,Sam Darnold pass incomplete deep left intended for Jordan Addison (defended by D.J. Reed),1.210,-1.140
2,12:15,1,10,NYJ 33,0,10,Breece Hall left end for 1 yard (tackle by Jonathan Greenard),1.140,0.790
2,11:39,2,9,NYJ 35,0,10,Aaron Rodgers pass complete short middle to Breece Hall for 6 yards (tackle by Kamu Grugier-Hill and Blake Cashman),0.790,0.890
2,10:57,3,3,NYJ 41,0,10,Aaron Rodgers pass complete deep middle to Tyler Conklin for 25 yards (tackle by Camryn Bynum),0.890,3.310
2,10:18,1,10,MIN 34,0,10,Aaron Rodgers pass incomplete short left,3.310,2.770
2,10:11,2,10,MIN 34,0,10,Aaron Rodgers pass complete short right to Mike Williams for 7 yards (tackle by Kamu Grugier-Hill),2.770,3.010
2,9:32,3,3,MIN 27,0,10,Braelon Allen right guard for 1 yard (tackle by Ivan Pace),3.010,1.860
