Quarter,Time,Down,ToGo,Location,NOR,DAL,Detail,EPB,EPA
2,9:41,2,7,NOR 43,20,6,Derek Carr pass complete short left to Alvin Kamara for 57 yards touchdown,1.460,7.000
2,9:30,,,DAL 15,21,6,Blake Grupe kicks extra point good,0.000,0.000
2,9:30,,,NOR 35,21,6,Blake Grupe kicks off 56 yards returned by Juanyeh Thomas for 13 yards (tackle by Ugo Amadi and Isaiah Stalbird),0.000,0.410
2,9:25,1,10,DAL 22,21,6,KaVontae Turpin left end for 2 yards (tackle by Paulson Adebo),0.410,0.140
2,8:59,2,8,DAL 24,21,6,Rico Dowdle right end for 6 yards (tackle by Will Harris and Paulson Adebo),0.140,0.230
2,8:25,3,2,DAL 30,21,6,Rico Dowdle right tackle for 5 yards (tackle by Will Harris),0.230,1.270
2,7:54,1,10,DAL 35,21,12,Dak Prescott pass complete short right to CeeDee Lamb for 65 yards touchdown,1.270,7.000
2,7:43,,,NOR 15,21,13,Brandon Aubrey kicks extra point good,0.000,0.000
2,7:43,,,DAL 35,21,13,Brandon Aubrey kicks off 65 yards touchback.,0.000,0.940
2,7:43,1,10,NOR 30,21,13,Alvin Kamara left tackle for 11 yards (tackle by Linval Joseph),0.940,1.660
2,7:01,1,10,NOR 41,21,13,Alvin Kamara right end for 4 yards (tackle by Eric Kendricks and Chauncey Golston),1.660,1.660
2,6:21,2,6,NOR 45,21,13,Derek Carr pass incomplete short right,1.660,0.960
2,6:16,3,6,NOR 45,21,13,Derek Carr pass complete short left to Chris Olave for 10 yards (tackle by DeMarvion Overshown). Penalty on Donovan Wilson: Defensive Holding 5 yards (declined),0.960,2.590
2,6:01,1,10,DAL 45,21,13,Alvin Kamara left guard for 6 yards (tackle by DeMarvion Overshown),2.590,2.850
2,5:27,2,4,DAL 39,21,13,Derek Carr pass complete short right to Taysom Hill for 1 yard (tackle by DeMarvion Overshown),2.850,2.280
2,4:46,3,3,DAL 38,21,13,Alvin Kamara left end for 15 yards (tackle by Caelen Carson),2.280,4.040
2,4:09,1,10,DAL 23,21,13,Jamaal Williams left end for 8 yards (tackle by Donovan Wilson),4.040,4.750
2,3:33,2,2,DAL 15,21,13,Jamaal Williams up the middle for 3 yards (tackle by Chauncey Golston),4.750,4.780
2,2:57,1,10,DAL 12,21,13,Derek Carr pass incomplete short middle intended for Alvin Kamara,4.780,4.100
2,2:54,2,10,DAL 12,27,13,Alvin Kamara left end for 12 yards touchdown,4.100,7.000
2,2:48,,,DAL 15,28,13,Blake Grupe kicks extra point good,0.000,0.000
2,2:48,,,NOR 35,28,13,Blake Grupe kicks off 59 yards returned by Juanyeh Thomas for 26 yards (tackle by Anfernee Orji),0.000,1.070
2,2:44,1,10,DAL 32,28,13,Dak Prescott pass complete short right to Ezekiel Elliott for 1 yard (tackle by Pete Werner and Demario Davis),1.070,0.660
2,2:03,2,9,DAL 33,28,13,Dak Prescott pass incomplete deep left intended for CeeDee Lamb. Penalty on Paulson Adebo: Defensive Holding 5 yards (accepted) (no play),0.660,1.470
2,1:58,1,10,DAL 38,28,13,Dak Prescott pass complete short left to Jalen Tolbert for 5 yards (tackle by Demario Davis),1.470,1.600
2,1:38,2,5,DAL 43,28,13,Dak Prescott pass incomplete short left intended for Ezekiel Elliott. Penalty on Cooper Beebe: Ineligible Downfield Pass 5 yards (accepted) (no play),1.600,0.920
2,1:34,2,10,DAL 38,28,13,Dak Prescott pass incomplete deep right intended for Jalen Tolbert (defended by Tyrann Mathieu),0.920,0.230
2,1:27,,,,,,Timeout #2 by New Orleans Saints,,
2,1:27,3,10,DAL 38,28,13,Dak Prescott pass complete short right to Brandin Cooks for 11 yards (tackle by Alontae Taylor),0.230,2.190
2,1:20,1,10,DAL 49,28,13,Dak Prescott pass deep right intended for Jalen Brooks is intercepted by Paulson Adebo at NO-33 and returned for 47 yards (tackle by Ezekiel Elliott and Dak Prescott),2.190,-4.240
2,1:02,1,10,DAL 20,28,13,Derek Carr pass complete short left to Rashid Shaheed for no gain (tackle by Trevon Diggs),4.240,3.690
2,0:52,,,,,,Timeout #1 by Dallas Cowboys,,
2,0:52,2,10,DAL 20,28,13,Derek Carr pass complete deep right to Chris Olave for 19 yards (tackle by Caelen Carson),3.690,6.970
2,0:41,,,,,,Timeout #2 by Dallas Cowboys,,
2,0:41,1,1,DAL 1,34,13,Derek Carr up the middle for 1 yard touchdown,6.970,7.000
