Quarter,Time,Down,ToGo,Location,SEA,NWE,Detail,EPB,EPA
2,9:48,3,4,SEA 36,7,10,Geno Smith pass complete short left to Jaxon Smith-Njigba for 19 yards (tackle by Kyle Dugger),0.500,2.590
2,9:22,1,10,NWE 45,7,10,Geno Smith pass incomplete deep middle intended for D.K. Metcalf (defended by Deatrich Wise),2.590,2.040
2,9:16,2,10,NWE 45,7,10,Zach Charbonnet left tackle for 5 yards (tackle by Keion White),2.040,2.010
2,8:35,3,5,NWE 40,7,10,Geno Smith pass complete short right to Zach Charbonnet for 4 yards (tackle by Christian Gonzalez),2.010,0.890
2,8:04,4,1,NWE 36,7,10,Geno Smith right guard for 2 yards (tackle by Anfernee Jennings),0.890,3.310
2,7:17,1,10,NWE 34,7,10,Geno Smith pass complete deep right to Jaxon Smith-Njigba for 16 yards (tackle by Marco Wilson),3.310,4.370
2,6:49,1,10,NWE 18,7,10,Zach Charbonnet up the middle for 2 yards (tackle by Davon Godchaux),4.370,4.090
2,6:11,2,8,NWE 16,7,10,Geno Smith pass complete short left to D.K. Metcalf for 3 yards (tackle by Daniel Ekuale and Raekwon McMillan). Penalty on Laken Tomlinson: Ineligible Downfield Pass 5 yards (declined),4.090,3.820
2,6:09,3,5,NWE 13,7,10,Geno Smith pass incomplete short right intended for Tyler Lockett. Penalty on Marco Wilson: Defensive Pass Interference 12 yards (accepted) (no play),3.820,6.970
2,5:52,1,1,NWE 1,13,10,Zach Charbonnet up the middle for 1 yard touchdown,6.970,7.000
2,5:47,,,NWE 15,14,10,Jason Myers kicks extra point good,0.000,0.000
2,5:47,,,SEA 35,14,10,Jason Myers kicks off 65 yards touchback.,0.000,0.940
2,5:47,1,10,NWE 30,14,10,Rhamondre Stevenson right guard for 1 yard (tackle by Tyrel Dodson and Derick Hall),0.940,0.530
2,5:13,2,9,NWE 31,14,10,Jacoby Brissett pass incomplete short right intended for Demario Douglas. Penalty on Devon Witherspoon: Defensive Pass Interference 10 yards (accepted) (no play),0.530,1.660
2,5:05,1,10,NWE 41,14,10,Jacoby Brissett pass complete short right to Hunter Henry for 35 yards (tackle by Rayshawn Jenkins),1.660,3.970
2,4:33,1,10,SEA 24,14,10,Jacoby Brissett pass incomplete short right intended for Ja'Lynn Polk,3.970,3.430
2,4:27,2,10,SEA 24,14,10,Rhamondre Stevenson right guard for 7 yards (tackle by Tyrice Knight),3.430,3.750
2,3:48,3,3,SEA 17,14,10,Jacoby Brissett scrambles up the middle for 1 yard (tackle by Jarran Reed and Rayshawn Jenkins). Penalty on Devon Witherspoon: Illegal Contact 5 yards (accepted),3.750,4.840
2,3:36,1,10,SEA 11,14,10,Jacoby Brissett pass incomplete short right,4.840,4.140
2,3:16,2,10,SEA 11,14,10,Rhamondre Stevenson up the middle for 1 yard (tackle by Devon Witherspoon and Tyrice Knight),4.140,3.300
2,2:39,3,9,SEA 10,14,10,Jacoby Brissett pass incomplete short right intended for Rhamondre Stevenson,3.300,2.760
2,2:34,4,9,SEA 10,14,13,Joey Slye 28 yard field goal good,2.760,3.000
2,2:31,,,NWE 35,14,13,Joey Slye kicks off 65 yards touchback.,0.000,0.940
2,2:31,1,10,SEA 30,14,13,Geno Smith pass complete short right to Jaxon Smith-Njigba for 9 yards. Penalty on D.K. Metcalf: Offensive Pass Interference 10 yards (offset) . Penalty on Christian Gonzalez: Face Mask (15 Yards) 15 yards (offset) (no play),0.940,0.940
2,2:08,1,10,SEA 30,14,13,Zach Charbonnet left end for 5 yards (tackle by Jonathan Jones). Penalty on Anthony Bradford: Unnecessary Roughness / Defense 15 yards (accepted),0.940,-0.960
2,2:00,2,20,SEA 20,14,13,Geno Smith pass complete short middle to D.K. Metcalf for 10 yards (tackle by Jabrill Peppers),-0.960,-0.300
2,1:53,3,10,SEA 30,14,13,Geno Smith pass complete short right to Zach Charbonnet for 4 yards (tackle by Kyle Dugger and Jonathan Jones),-0.300,-1.110
2,1:43,,,,,,Timeout #2 by New England Patriots,,
2,1:43,4,6,SEA 34,14,13,Michael Dickson punts 58 yards out of bounds,-1.110,0.380
2,1:37,1,10,NWE 8,14,13,Jamycal Hasty left end for 2 yards (tackle by Boye Mafe and Tyrice Knight),-0.380,-0.630
2,0:59,2,8,NWE 10,14,13,Jacoby Brissett pass incomplete short right intended for Hunter Henry (defended by Julian Love),-0.630,-1.190
2,0:54,3,8,NWE 10,14,13,Jacoby Brissett pass incomplete short right intended for Hunter Henry,-1.190,-2.490
2,0:41,4,8,NWE 10,14,13,Bryce Baringer punts 64 yards returned by Dee Williams for 23 yards (tackle by Joe Cardona),-2.490,-2.190
2,0:35,1,10,SEA 49,14,13,Geno Smith pass complete short middle to Zach Charbonnet for 7 yards (tackle by Josh Uche),2.190,2.590
2,0:27,2,3,NWE 44,14,13,Geno Smith sacked by Kyle Dugger for -4 yards,2.590,1.360
2,0:23,,,,,,Timeout #1 by Seattle Seahawks,,
2,0:23,3,7,NWE 48,14,13,Geno Smith pass complete short middle to Noah Fant for 14 yards (tackle by Jahlani Tavai),1.360,3.310
2,0:16,,,,,,Timeout #2 by Seattle Seahawks,,
2,0:16,1,10,NWE 34,14,13,Geno Smith pass complete short middle to D.K. Metcalf for 9 yards (tackle by Kyle Dugger),3.310,3.990
2,0:07,2,1,NWE 25,14,13,Geno Smith spiked the ball,3.990,3.270
2,0:04,3,1,NWE 25,17,13,Jason Myers 44 yard field goal good,3.270,3.000
3,15:00,,,NWE 35,17,13,Joey Slye kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,SEA 30,17,13,Geno Smith pass incomplete short middle intended for D.K. Metcalf (defended by Raekwon McMillan),0.940,0.390
3,14:56,2,10,SEA 30,17,13,Geno Smith pass complete short right to D.K. Metcalf for 3 yards (tackle by Jonathan Jones),0.390,0.100
3,14:08,3,7,SEA 33,17,13,Geno Smith pass complete deep middle to Jaxon Smith-Njigba for 24 yards (tackle by Keion White and Christian Gonzalez),0.100,2.720
3,13:54,,,,,,Timeout #1 by New England Patriots,,
3,13:54,1,10,NWE 43,17,13,Geno Smith pass complete short middle to Jake Bobo for 9 yards (tackle by Raekwon McMillan and Jahlani Tavai),2.720,3.390
3,13:30,2,1,NWE 34,17,13,Zach Charbonnet up the middle for no gain (tackle by Jabrill Peppers and Anfernee Jennings),3.390,2.680
3,12:57,3,1,NWE 34,17,13,Geno Smith up the middle for 2 yards (tackle by Anfernee Jennings and Keion White),2.680,3.450
3,12:14,1,10,NWE 32,17,13,Geno Smith pass complete short right to D.K. Metcalf for no gain (tackle by Christian Gonzalez and Jabrill Peppers),3.450,2.900
3,11:32,2,10,NWE 32,17,13,Penalty on Anthony Bradford: False Start 5 yards (accepted) (no play),2.900,2.230
3,11:11,2,15,NWE 37,17,13,Geno Smith pass incomplete deep left intended for Jaxon Smith-Njigba (defended by Marcus Jones),2.230,1.550
3,11:05,3,15,NWE 37,17,13,Geno Smith pass complete short middle to Jaxon Smith-Njigba for 14 yards (tackle by Marcus Jones and Jabrill Peppers),1.550,2.080
3,10:27,4,1,NWE 23,17,13,Zach Charbonnet left guard for -1 yards (tackle by Kyle Dugger),2.080,-0.610
3,10:21,1,10,NWE 25,17,13,Jacoby Brissett scrambles left end for 5 yards (tackle by Rayshawn Jenkins),0.610,0.740
3,9:52,2,5,NWE 30,17,13,Rhamondre Stevenson left end for no gain (tackle by K'Von Wallace). Penalty on Vederian Lowe: Offensive Holding 10 yards (accepted) (no play),0.740,-0.610
3,9:31,2,15,NWE 20,17,13,Rhamondre Stevenson up the middle for 12 yards (tackle by Devon Witherspoon and Rayshawn Jenkins),-0.610,0.300
3,8:34,3,3,NWE 32,17,13,Rhamondre Stevenson up the middle for 2 yards (tackle by Rayshawn Jenkins and Leonard Williams),0.300,-1.110
3,8:06,4,1,NWE 34,17,13,Bryce Baringer punts 56 yards fair catch by Dee Williams at SEA-10,-1.110,0.380
3,7:35,1,10,SEA 10,17,13,Zach Charbonnet up the middle for 3 yards (tackle by Raekwon McMillan and Jeremiah Pharms),-0.380,-0.560
3,6:56,2,7,SEA 13,17,13,Geno Smith pass incomplete short middle intended for D.K. Metcalf,-0.560,-1.070
3,6:51,3,7,SEA 13,17,13,Geno Smith pass incomplete short middle intended for Noah Fant,-1.070,-2.490
3,6:48,4,7,SEA 13,17,13,Michael Dickson punts 57 yards returned by Marcus Jones for 9 yards (tackle by K'Von Wallace),-2.490,-1.530
3,6:36,1,10,NWE 39,17,13,Jacoby Brissett pass incomplete short middle,1.530,0.990
3,6:30,2,10,NWE 39,17,13,Jacoby Brissett pass incomplete short middle,0.990,0.300
3,6:25,3,10,NWE 39,17,13,Jacoby Brissett sacked by Leonard Williams for -6 yards,0.300,-1.180
3,5:45,4,16,NWE 33,17,13,Bryce Baringer punts 67 yards touchback.,-1.180,-0.280
3,5:36,1,10,SEA 20,17,13,Geno Smith pass incomplete deep left intended for D.K. Metcalf (defended by Christian Gonzalez),0.280,-0.270
3,5:29,2,10,SEA 20,17,13,Zach Charbonnet left end for no gain (tackle by Anfernee Jennings and Deatrich Wise),-0.270,-0.960
3,4:49,3,10,SEA 20,17,13,Geno Smith pass complete short right to Jake Bobo for 6 yards (tackle by Marcus Jones),-0.960,-1.630
3,4:11,4,4,SEA 26,17,13,Michael Dickson punts 40 yards fair catch by Marcus Jones at NE-34,-1.630,-1.200
3,4:03,1,10,NWE 34,17,13,Rhamondre Stevenson left tackle for 18 yards (tackle by K'Von Wallace and Devon Witherspoon),1.200,2.390
3,3:21,1,10,SEA 48,17,13,Rhamondre Stevenson right tackle for 7 yards (tackle by Julian Love),2.390,2.790
3,2:46,2,3,SEA 41,17,13,Antonio Gibson left guard for -1 yards (tackle by Byron Murphy),2.790,1.950
3,2:01,3,4,SEA 42,17,13,Jacoby Brissett pass complete short left to Antonio Gibson for 7 yards (tackle by Tyrice Knight),1.950,3.250
3,1:30,1,10,SEA 35,17,13,Antonio Gibson left tackle for 9 yards (tackle by Julian Love),3.250,3.920
3,0:52,2,1,SEA 26,17,13,Antonio Gibson right end for 4 yards (tackle by Devon Witherspoon),3.920,4.110
3,0:08,1,10,SEA 22,17,13,Jacoby Brissett pass complete short right to Hunter Henry for 11 yards (tackle by Tyrel Dodson and Byron Murphy),4.110,4.840
4,15:00,1,10,SEA 11,17,13,Rhamondre Stevenson right guard for 5 yards (tackle by Johnathan Hankins),4.840,5.080
4,14:03,2,5,SEA 6,17,13,Rhamondre Stevenson up the middle for 3 yards. Rhamondre Stevenson fumbles (forced by Tyrel Dodson) recovered by Michael Onwenu at SEA-3,5.080,4.890
4,13:30,,,,,,Timeout #2 by New England Patriots,,
4,13:30,3,2,SEA 3,17,13,Rhamondre Stevenson right guard for 2 yards (tackle by Byron Murphy and Tyrice Knight),4.890,6.970
4,12:46,1,1,SEA 1,17,19,Rhamondre Stevenson left guard for 1 yard touchdown,6.970,7.000
4,12:43,,,SEA 15,17,20,Joey Slye kicks extra point good,0.000,0.000
4,12:43,,,NWE 35,17,20,Joey Slye kicks off 65 yards touchback.,0.000,0.940
4,12:43,1,10,SEA 30,17,20,Geno Smith pass complete short right to Jaxon Smith-Njigba for 6 yards (tackle by Jonathan Jones),0.940,1.200
4,12:05,2,4,SEA 36,17,20,Geno Smith scrambles right end for 5 yards (tackle by Jahlani Tavai),1.200,1.660
4,11:22,1,10,SEA 41,17,20,Geno Smith pass complete short right to Noah Fant for no gain. Penalty on AJ Barner: Offensive Holding 10 yards (accepted) (no play),1.660,1.000
4,11:16,1,20,SEA 31,17,20,Geno Smith pass incomplete deep left intended for Jaxon Smith-Njigba,1.000,-0.230
4,10:47,,,,,,Timeout #1 by Seattle Seahawks,,
4,10:47,2,20,SEA 31,17,20,Geno Smith sacked by Keion White for -7 yards,-0.230,-1.810
4,10:05,3,27,SEA 24,17,20,Geno Smith pass complete short middle to D.K. Metcalf for 15 yards (tackle by Jabrill Peppers and Keion White),-1.810,-0.780
4,9:19,4,13,SEA 39,17,20,Michael Dickson punts 61 yards touchback.,-0.780,-0.280
