Quarter,Time,Down,ToGo,Location,BUF,MIA,Detail,EPB,EPA
2,10:54,1,10,BUF 15,10,7,Josh Allen pass complete short right to Ray Davis for -1 yards (tackle by Chop Robinson and Jalen Ramsey),-0.220,-0.820
2,10:13,2,11,BUF 14,10,7,Josh Allen pass complete deep middle to Khalil Shakir for 21 yards (tackle by Jordan Poyer). Penalty on Jordan Poyer: Unnecessary Roughness / Defense 15 yards (accepted),-0.820,2.260
2,9:53,1,10,BUF 50,10,7,Ray Davis up the middle for 8 yards (tackle by Kader Kohou),2.260,2.790
2,9:25,2,2,MIA 42,10,7,Ray Davis up the middle for 10 yards (tackle by Jordan Poyer and Jevon Holland),2.790,3.450
2,8:46,1,10,MIA 32,10,7,Ray Davis right tackle for -1 yards (tackle by David Long),3.450,2.770
2,8:01,2,11,MIA 33,10,7,Penalty on Spencer Brown: False Start 5 yards (accepted) (no play),2.770,2.090
2,7:51,2,16,MIA 38,10,7,Josh Allen pass complete short middle to Khalil Shakir for 4 yards (tackle by David Long),2.090,1.950
2,7:09,3,12,MIA 34,10,7,Josh Allen pass complete deep right to Ty Johnson for 33 yards (tackle by Jalen Ramsey),1.950,6.970
2,6:28,1,1,MIA 1,16,7,James Cook up the middle for 1 yard touchdown,6.970,7.000
2,6:25,,,MIA 15,17,7,Tyler Bass kicks extra point good,0.000,0.000
2,6:25,,,BUF 35,17,7,Tyler Bass kicks off 65 yards touchback.,0.000,0.940
2,6:25,1,10,MIA 30,17,7,De'Von Achane up the middle for 17 yards (tackle by Damar Hamlin and Taylor Rapp),0.940,2.060
2,5:45,1,10,MIA 47,17,7,De'Von Achane up the middle for 5 yards (tackle by Baylon Spector),2.060,2.190
2,5:08,2,5,BUF 48,17,7,De'Von Achane right guard for 4 yards (tackle by Austin Johnson),2.190,2.020
2,4:27,3,1,BUF 44,17,7,Alec Ingold left guard for -1 yards (tackle by Dorian Williams and Baylon Spector),2.020,0.270
