Quarter,Time,Down,ToGo,Location,TAM,DET,Detail,EPB,EPA
2,9:58,2,9,TAM 48,6,6,Baker Mayfield pass complete short right to Chris Godwin for 11 yards (tackle by Carlton Davis),1.650,2.850
2,9:15,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
2,9:15,1,10,DET 41,12,6,Baker Mayfield pass complete deep left to Chris Godwin for 41 yards touchdown,2.850,7.000
2,9:08,,,DET 15,13,6,Chase McLaughlin kicks extra point good,0.000,0.000
2,9:08,,,TAM 35,13,6,Jake Camarda kicks off 65 yards returned by Tom Kennedy for 22 yards (tackle by Tavierre Thomas),0.000,0.410
2,9:04,1,10,DET 22,13,6,David Montgomery right tackle for -2 yards (tackle by YaYa Diaby and Jordan Whitehead),0.410,-0.400
2,8:22,2,12,DET 20,13,6,Jared Goff pass incomplete short left intended for Amon-Ra St. Brown (defended by Jamel Dean),-0.400,-1.090
2,8:17,3,12,DET 20,13,6,Jared Goff pass incomplete deep right intended for Tim Patrick (defended by Zyon McCollum),-1.090,-2.030
2,8:11,4,12,DET 20,13,6,Jack Fox pass complete short middle to Sione Vaki for 17 yards (tackle by SirVocea Dennis),-2.030,1.400
2,7:24,1,10,DET 37,13,6,Jared Goff pass incomplete deep middle intended for Amon-Ra St. Brown (defended by Jordan Whitehead),1.400,0.860
2,7:23,2,10,DET 37,13,6,Jared Goff pass complete short left to David Montgomery for 8 yards (tackle by Lavonte David and Christian Izien),0.860,1.220
2,6:39,3,2,DET 45,13,6,Jared Goff pass incomplete deep right intended for Amon-Ra St. Brown,1.220,-0.390
2,6:37,4,2,DET 45,13,6,David Montgomery right end for 3 yards (tackle by Joe Tryon-Shoyinka and Lavonte David),-0.390,2.130
2,5:56,1,10,DET 48,13,6,David Montgomery left end for 4 yards (tackle by Chris Braswell),2.130,2.120
2,5:19,2,6,TAM 48,13,6,Jared Goff pass incomplete short left intended for Amon-Ra St. Brown,2.120,1.420
2,5:14,3,6,TAM 48,13,6,Jared Goff pass incomplete short right intended for Amon-Ra St. Brown (defended by Christian Izien),1.420,0.070
2,5:09,4,6,TAM 48,13,6,Jack Fox punts 35 yards fair catch by Trey Palmer at TB-13,0.070,0.320
2,5:02,1,10,TAM 13,13,6,Bucky Irving right tackle for 3 yards (tackle by Jack Campbell and Alex Anzalone),-0.320,-0.440
2,4:22,2,7,TAM 16,13,6,Baker Mayfield pass complete short left to Chris Godwin for 10 yards (tackle by Brian Branch),-0.440,0.670
2,3:42,1,10,TAM 26,13,6,Baker Mayfield pass complete short left to Mike Evans for 16 yards (tackle by Terrion Arnold),0.670,1.730
2,2:57,1,10,TAM 42,13,6,Bucky Irving right end for 2 yards (tackle by Alex Anzalone),1.730,1.460
2,2:09,2,8,TAM 44,13,6,Baker Mayfield scrambles up the middle for 1 yard (tackle by Josh Paschal),1.460,0.890
2,2:00,3,7,TAM 45,13,6,Baker Mayfield pass short right intended for Mike Evans is intercepted by Brian Branch at DET-43 and returned for 1 yard (tackle by Chris Godwin),0.890,-1.860
2,1:52,1,10,DET 44,13,6,David Montgomery left end for 9 yards (tackle by Anthony Nelson and Jordan Whitehead),1.860,2.530
2,1:16,2,1,TAM 47,13,6,Jared Goff pass complete short left to Amon-Ra St. Brown for 9 yards (tackle by Jamel Dean),2.530,3.050
2,1:10,,,,,,Timeout #1 by Detroit Lions,,
2,1:10,1,10,TAM 38,13,6,Jared Goff pass incomplete short middle intended for Sam LaPorta (defended by Vita Vea),3.050,2.510
2,1:06,2,10,TAM 38,13,6,Jared Goff pass complete short middle to Tim Patrick for 10 yards (tackle by Jordan Whitehead),2.510,3.710
2,0:49,,,,,,Timeout #2 by Detroit Lions,,
2,0:49,1,10,TAM 28,13,6,Jahmyr Gibbs left end for 6 yards (tackle by SirVocea Dennis),3.710,3.980
2,0:34,,,,,,Timeout #2 by Tampa Bay Buccaneers,,
2,0:34,2,4,TAM 22,13,6,Jared Goff scrambles up the middle for 2 yards (tackle by SirVocea Dennis),3.980,3.530
2,0:28,3,2,TAM 20,13,6,Jared Goff scrambles right end for 3 yards (tackle by Zyon McCollum),3.530,4.440
2,0:22,1,10,TAM 17,13,6,Jared Goff pass incomplete deep left intended for Jameson Williams,4.440,3.850
2,0:18,2,10,TAM 17,13,6,Jared Goff pass complete short middle to Amon-Ra St. Brown for 8 yards (tackle by Zyon McCollum and Christian Izien),3.850,4.570
2,0:03,3,2,TAM 9,13,6,Penalty on DET: Offensive Too Many Men on Field 5 yards (accepted) (no play),4.570,2.950
3,15:00,,,TAM 35,13,6,Jake Camarda kicks off 63 yards returned by Tom Kennedy for 28 yards (tackle by J.J. Russell and SirVocea Dennis),0.000,0.940
3,14:52,1,10,DET 30,13,6,Jared Goff pass complete deep left to Amon-Ra St. Brown for 20 yards (tackle by Jamel Dean). Penalty on William Gholston: Roughing the Passer 15 yards (accepted),0.940,3.250
3,14:37,1,10,TAM 35,13,6,Jameson Williams right end for 15 yards (tackle by Jordan Whitehead),3.250,4.240
3,13:53,1,10,TAM 20,13,6,Jared Goff pass complete short left to Kalif Raymond for 1 yard (tackle by K.J. Britt and William Gholston),4.240,3.820
3,13:12,2,9,TAM 19,13,6,David Montgomery up the middle for 3 yards (tackle by Lavonte David and K.J. Britt),3.820,3.520
3,12:40,3,6,TAM 16,13,6,Jared Goff pass complete short middle to David Montgomery for 3 yards (tackle by Lavonte David and SirVocea Dennis),3.520,2.670
3,11:57,4,3,TAM 13,13,9,Jake Bates 32 yard field goal good,2.670,3.000
3,11:53,,,DET 35,13,9,Jake Bates kicks off 65 yards touchback.,0.000,0.940
3,11:53,1,10,TAM 30,13,9,Baker Mayfield pass complete short right to Rachaad White for 5 yards (tackle by Jack Campbell),0.940,1.070
3,11:11,2,5,TAM 35,13,9,Rachaad White up the middle for -1 yards (tackle by Jack Campbell),1.070,0.230
3,10:27,3,6,TAM 34,13,9,Baker Mayfield sacked by Aidan Hutchinson for -7 yards,0.230,-1.570
3,9:43,4,13,TAM 27,13,9,Jake Camarda punts 51 yards returned by Kalif Raymond for 10 yards (tackle by Tykee Smith),-1.570,-1.070
3,9:33,1,10,DET 32,13,9,Jared Goff pass incomplete deep middle intended for Amon-Ra St. Brown (defended by Zyon McCollum),1.070,0.530
3,9:30,2,10,DET 32,13,9,Jared Goff pass incomplete short right intended for Amon-Ra St. Brown,0.530,-0.160
3,9:22,3,10,DET 32,13,9,Jared Goff pass complete short middle to Jameson Williams for 13 yards (tackle by SirVocea Dennis),-0.160,1.930
3,8:52,1,10,DET 45,13,9,Jared Goff pass complete short middle to Amon-Ra St. Brown for 6 yards (tackle by K.J. Britt),1.930,2.190
3,8:15,2,4,TAM 49,13,9,Jahmyr Gibbs right tackle for 16 yards (tackle by Zyon McCollum),2.190,3.380
3,7:26,1,10,TAM 33,13,9,Jared Goff pass complete short left to Tim Patrick for 2 yards (tackle by Jamel Dean),3.380,3.110
3,6:50,2,8,TAM 31,13,9,Jahmyr Gibbs right tackle for 4 yards (tackle by C.J. Brewer and Mike Greene),3.110,2.940
3,6:09,3,4,TAM 27,13,9,Jared Goff pass complete short left to Sam LaPorta for 7 yards (tackle by Tykee Smith and Jamel Dean),2.940,4.240
3,5:24,1,10,TAM 20,13,9,Jahmyr Gibbs left end for -4 yards (tackle by Jordan Whitehead),4.240,3.150
3,4:41,2,14,TAM 24,13,9,Jared Goff pass complete short left to Jahmyr Gibbs for 6 yards (tackle by SirVocea Dennis and Jamel Dean),3.150,3.220
3,4:10,3,8,TAM 18,13,9,Jared Goff pass complete short right to Amon-Ra St. Brown for 17 yards (tackle by Christian Izien and Tykee Smith),3.220,6.970
3,3:32,1,1,TAM 1,13,15,David Montgomery up the middle for 1 yard touchdown,6.970,7.000
3,3:26,,,TAM 15,13,16,Jake Bates kicks extra point good,0.000,0.000
3,3:26,,,DET 35,13,16,Jake Bates kicks off 65 yards touchback.,0.000,0.940
3,3:26,1,10,TAM 30,13,16,Bucky Irving left end for 6 yards (tackle by Derrick Barnes). Penalty on Terrion Arnold: Face Mask (15 Yards) 15 yards (accepted),0.940,2.320
3,2:56,1,10,DET 49,13,16,Baker Mayfield pass complete deep left to Jalen McMillan for 21 yards (tackle by Jack Campbell),2.320,3.710
