Quarter,Time,Down,ToGo,Location,PIT,DEN,Detail,EPB,EPA
2,7:49,3,23,PIT 38,7,0,Justin Fields pass complete short middle to Pat Freiermuth for 11 yards (tackle by Cody Barton and P.J. Locke),-0.630,-0.130
2,7:13,4,12,PIT 49,7,0,Corliss Waitman punts 51 yards touchback.,-0.130,-0.280
2,7:04,1,10,DEN 20,7,0,Bo Nix pass complete short left to Lil'Jordan Humphrey for 4 yards (tackle by Alex Highsmith),0.280,0.270
2,6:27,2,6,DEN 24,7,0,Tyler Badie left tackle for 16 yards (tackle by Montravius Adams and Minkah Fitzpatrick),0.270,1.600
2,5:42,1,10,DEN 40,7,0,Penalty on Alex Highsmith: Neutral Zone Infraction 5 yards (accepted) (no play),1.600,2.330
2,5:21,1,5,DEN 45,7,0,Bo Nix pass incomplete short right,2.330,1.730
2,5:15,,,,,,Timeout #1 by Denver Broncos,,
2,5:15,2,5,DEN 45,7,0,Bo Nix left guard for 13 yards (tackle by Damontae Kazee),1.730,2.790
2,4:32,1,10,PIT 42,7,0,Javonte Williams left tackle for 3 yards (tackle by Keeanu Benton and DeShon Elliott),2.790,2.650
2,3:56,2,7,PIT 39,7,0,Bo Nix sacked by T.J. Watt for -8 yards,2.650,0.890
2,3:17,3,15,PIT 47,7,0,Bo Nix pass complete short middle to Marvin Mims for 8 yards (tackle by Minkah Fitzpatrick),0.890,0.660
2,2:32,,,,,,Timeout #1 by Pittsburgh Steelers,,
2,2:32,4,7,PIT 39,7,0,Bo Nix pass incomplete short middle intended for Troy Franklin (defended by Patrick Queen),0.660,-1.530
2,2:28,1,10,PIT 39,7,0,Justin Fields pass complete short right to Van Jefferson for no gain (tackle by Alex Singleton). Penalty on Patrick Surtain: Defensive Holding 5 yards (accepted) (no play),1.530,1.860
2,2:00,1,10,PIT 44,7,0,Justin Fields sacked by Zach Allen for -1 yards,1.860,1.180
2,1:21,2,11,PIT 43,7,0,Najee Harris right tackle for 7 yards (tackle by Nik Bonitto),1.180,1.420
2,0:53,3,4,PIT 50,7,0,Justin Fields pass complete short right to Calvin Austin for 6 yards,1.420,2.650
2,0:49,1,10,DEN 44,7,0,Jaylen Warren right guard for 4 yards (tackle by Alex Singleton),2.650,2.650
2,0:26,2,6,DEN 40,7,0,Justin Fields pass incomplete deep right intended for Van Jefferson (defended by Riley Moss). Penalty on Riley Moss: Defensive Pass Interference 27 yards (accepted) (no play),2.650,4.710
2,0:21,1,10,DEN 13,7,0,Justin Fields pass complete short right to Jaylen Warren for 7 yards (tackle by Levi Wallace and Alex Singleton),4.710,5.340
2,0:14,,,,,,Timeout #2 by Pittsburgh Steelers,,
2,0:14,2,3,DEN 6,7,0,Justin Fields pass complete short left to George Pickens for no gain touchdown. Penalty on Van Jefferson: Offensive Pass Interference 10 yards (accepted) (no play),5.340,3.620
2,0:10,,,,,,Timeout #3 by Denver Broncos,,
2,0:10,2,13,DEN 16,7,0,Justin Fields pass complete short left to Van Jefferson for 12 yards (tackle by Jonathon Cooper),3.620,5.010
2,0:02,,,,,,Timeout #3 by Pittsburgh Steelers,,
2,0:02,3,1,DEN 4,10,0,Chris Boswell 22 yard field goal good,5.010,3.000
3,15:00,,,DEN 35,10,0,Wil Lutz kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,PIT 30,10,0,Najee Harris right end for 3 yards (tackle by Brandon Jones),0.940,0.800
3,14:22,2,7,PIT 33,10,0,Justin Fields pass complete short middle to Pat Freiermuth for 9 yards (tackle by Riley Moss),0.800,1.730
3,13:43,1,10,PIT 42,10,0,Cordarrelle Patterson right tackle for no gain (tackle by Jordan Jackson and Jonathon Cooper),1.730,1.190
3,13:04,2,10,PIT 42,10,0,Justin Fields pass incomplete short right,1.190,0.500
3,12:59,3,10,PIT 42,10,0,Justin Fields pass incomplete short left intended for George Pickens,0.500,-0.590
3,12:53,4,10,PIT 42,10,0,Corliss Waitman punts 58 yards touchback.,-0.590,-0.280
3,12:44,1,10,DEN 20,10,0,Javonte Williams left guard for 5 yards (tackle by DeShon Elliott and Cameron Heyward),0.280,0.410
3,12:07,2,5,DEN 25,10,0,Bo Nix pass complete short middle to Courtland Sutton for no gain (tackle by Payton Wilson and Alex Highsmith). Penalty on Garett Bolles: Illegal Formation 5 yards (accepted) (no play),0.410,-0.270
3,11:38,2,10,DEN 20,10,0,Bo Nix pass complete short left to Josh Reynolds for 9 yards (tackle by DeShon Elliott),-0.270,0.230
3,10:51,3,1,DEN 29,10,0,Javonte Williams up the middle for -4 yards (tackle by DeShon Elliott),0.230,-1.700
3,10:19,4,5,DEN 25,10,0,Riley Dixon punts 47 yards returned by Calvin Austin for -4 yards (tackle by Justin Strnad),-1.700,-0.540
3,10:08,1,10,PIT 24,10,0,Najee Harris up the middle for no gain (tackle by Malcolm Roach and Zach Allen),0.540,0.000
3,9:35,2,10,PIT 24,10,0,Justin Fields pass complete short left to Van Jefferson for 2 yards (tackle by Riley Moss),0.000,-0.430
3,9:07,3,8,PIT 26,10,0,Justin Fields pass incomplete deep left intended for Van Jefferson,-0.430,-1.630
3,8:54,4,8,PIT 26,10,0,Corliss Waitman punts 49 yards fair catch by Marvin Mims at DEN-25. Penalty on Patrick Surtain: Offensive Holding 10 yards (accepted),-1.630,0.220
3,8:54,1,10,DEN 15,10,0,Javonte Williams right guard for 3 yards (tackle by Cameron Heyward and Donte Jackson),-0.220,-0.280
3,8:09,,,,,,Timeout #1 by Denver Broncos,,
3,8:09,2,7,DEN 18,10,0,Bo Nix pass incomplete short left intended for Greg Dulcich,-0.280,-1.000
3,8:02,3,7,DEN 18,10,0,Bo Nix pass complete deep middle to Courtland Sutton for 26 yards (tackle by Joey Porter). Penalty on Joey Porter: Defensive Holding 5 yards (declined),-1.000,1.860
3,7:42,1,10,DEN 44,10,0,Bo Nix pass complete deep middle to Josh Reynolds for 49 yards (tackle by Minkah Fitzpatrick),1.860,5.600
3,6:56,1,7,PIT 7,10,0,Javonte Williams up the middle for 1 yard (tackle by Elandon Roberts),5.600,4.950
3,6:17,2,6,PIT 6,10,0,Bo Nix pass short middle intended for Courtland Sutton is intercepted by Cory Trice in end zone and returned for no gain,4.950,-0.280
3,6:10,1,10,PIT 20,10,0,Justin Fields pass incomplete deep right intended for George Pickens (defended by Patrick Surtain). Penalty on Patrick Surtain: Defensive Pass Interference 37 yards (accepted) (no play),0.280,2.720
