Quarter,Time,Down,ToGo,Location,SFO,MIN,Detail,EPB,EPA
2,10:31,4,2,MIN 2,0,3,Brock Purdy pass incomplete short left intended for Jauan Jennings (defended by Andrew Van Ginkel) (defended by Harrison Smith),3.250,0.380
2,10:27,1,10,MIN 2,0,3,Penalty on Blake Brandel: False Start 1 yard (accepted) (no play),-0.380,-0.420
2,10:27,1,11,MIN 1,0,3,Aaron Jones left tackle for 2 yards (tackle by Fred Warner and Kevin Givens),-0.420,-0.710
2,9:51,2,9,MIN 3,0,9,Sam Darnold pass complete deep middle to Justin Jefferson for 97 yards touchdown,-0.710,7.000
2,9:35,,,SFO 15,0,10,Will Reichard kicks extra point good,0.000,0.000
2,9:35,,,MIN 35,0,10,Will Reichard kicks off 65 yards touchback.,0.000,0.940
2,9:35,1,10,SFO 30,0,10,Brock Purdy pass incomplete short left intended for Kyle Juszczyk,0.940,0.390
2,9:31,2,10,SFO 30,0,10,Brock Purdy pass complete deep middle to Deebo Samuel for 19 yards (tackle by Stephon Gilmore),0.390,2.190
2,8:51,1,10,SFO 49,0,10,Jordan Mason left tackle for 1 yard (tackle by Harrison Phillips and Blake Cashman),2.190,1.780
2,8:12,2,9,MIN 50,0,10,Brock Purdy pass complete short middle to Kyle Juszczyk for 6 yards (tackle by Dallas Turner),1.780,1.880
2,7:31,3,3,MIN 44,0,10,Jordan Mason left tackle for 1 yard. Jordan Mason fumbles (tackle by Stephon Gilmore recovered by Jordan Mason at MIN-43,1.880,0.400
2,6:46,4,2,MIN 43,0,10,Brock Purdy scrambles right tackle for 1 yard (tackle by Blake Cashman). Penalty on Brandon Aiyuk: Illegal Shift 5 yards (declined),0.400,-1.730
2,6:36,1,10,MIN 42,0,10,Ty Chandler left guard for 7 yards (tackle by De'Vondre Campbell and Malik Mustapha),1.730,2.130
2,5:57,2,3,MIN 49,0,10,Ty Chandler right end for 5 yards (tackle by Nick Bosa),2.130,2.520
2,5:30,1,10,SFO 46,0,10,Ty Chandler right end for 25 yards (tackle by Ji'Ayir Brown),2.520,4.170
2,4:52,1,10,SFO 21,0,10,Sam Darnold pass short middle intended for Trent Sherfield is intercepted by Fred Warner at SF-10 and returned for 25 yards (tackle by Christian Darrisaw and Sam Darnold),4.170,-1.270
2,4:38,1,10,SFO 35,0,10,Brock Purdy pass complete deep middle to Deebo Samuel for 28 yards (tackle by Ivan Pace and Harrison Smith),1.270,3.120
2,3:57,1,10,MIN 37,0,10,Jordan Mason left end for 7 yards (tackle by Jonathan Bullard and Ivan Pace),3.120,3.520
2,3:19,2,3,MIN 30,0,10,Jordan Mason right end for 22 yards (tackle by Andrew Van Ginkel),3.520,5.370
2,2:30,1,8,MIN 8,0,10,Jordan Mason up the middle for 1 yard (tackle by Ivan Pace and Blake Cashman),5.370,4.760
