Quarter,Time,Down,ToGo,Location,IND,GNB,Detail,EPB,EPA
2,10:37,3,5,IND 35,0,10,Anthony Richardson pass complete short left to Alec Pierce for no gain (tackle by Evan Williams). Penalty on Quenton Nelson: Offensive Holding 10 yards (accepted) (no play),0.370,-0.960
2,10:02,3,15,IND 25,0,10,Anthony Richardson pass complete short left to Trey Sermon for 7 yards (tackle by Carrington Valentine and Isaiah McDuffie),-0.960,-1.240
2,9:26,4,8,IND 32,0,10,Rigoberto Sanchez punts 53 yards. Jayden Reed fumbles out of bounds,-1.240,0.140
2,9:18,1,10,GNB 16,0,10,Josh Jacobs left tackle for 5 yards (tackle by Taven Bryan),-0.140,0.150
2,9:04,2,5,GNB 21,0,10,Josh Jacobs right tackle for 16 yards (tackle by Rodney Thomas),0.150,1.400
2,8:09,1,10,GNB 37,0,10,Josh Jacobs right guard for 7 yards (tackle by E.J. Speed),1.400,1.800
2,7:29,2,3,GNB 44,0,10,MarShawn Lloyd left guard for 2 yards (tackle by Zaire Franklin and Jaylon Jones),1.800,1.360
2,6:47,3,1,GNB 46,0,10,Josh Jacobs left guard for 1 yard (tackle by Nick Cross and Tyquan Lewis),1.360,2.060
2,6:03,1,10,GNB 47,0,10,Malik Willis pass incomplete deep right intended for Dontayvion Wicks (defended by Kenny Moore),2.060,1.520
2,5:57,2,10,GNB 47,0,10,Josh Jacobs up the middle for no gain (tackle by Grover Stewart and Zaire Franklin),1.520,0.830
2,5:16,3,10,GNB 47,0,10,Malik Willis scrambles right end for 3 yards (tackle by Kenny Moore and Nick Cross),0.830,-0.060
2,4:16,4,7,IND 50,0,10,Daniel Whelan punts 42 yards out of bounds,-0.060,0.380
2,4:06,1,10,IND 8,0,10,Jonathan Taylor left tackle for 18 yards (tackle by Jaire Alexander),-0.380,0.670
2,3:37,1,10,IND 26,0,10,Jonathan Taylor up the middle for -1 yards (tackle by Devonte Wyatt),0.670,-0.010
2,3:00,2,11,IND 25,0,10,Anthony Richardson pass complete short left to Jonathan Taylor for 14 yards (tackle by Edgerrin Cooper),-0.010,1.530
2,2:22,1,10,IND 39,0,10,Jonathan Taylor right guard for 2 yards (tackle by Kingsley Enagbare and Carrington Valentine),1.530,1.260
2,2:00,2,8,IND 41,0,10,Anthony Richardson pass incomplete short right intended for Michael Pittman (defended by Jaire Alexander),1.260,0.560
2,1:58,3,8,IND 41,0,10,Anthony Richardson pass incomplete short right intended for Adonai Mitchell,0.560,-0.650
2,1:51,4,8,IND 41,0,10,Rigoberto Sanchez punts 59 yards touchback.,-0.650,-0.280
2,1:42,1,10,GNB 20,0,10,Josh Jacobs right end for 7 yards (tackle by E.J. Speed),0.280,0.680
2,1:07,2,3,GNB 27,0,10,Josh Jacobs right end for 2 yards (tackle by Nick Cross),0.680,0.230
2,0:20,,,,,,Timeout #1 by Green Bay Packers,,
2,0:20,3,1,GNB 29,0,10,Josh Jacobs right end for 2 yards (tackle by E.J. Speed),0.230,1.000
3,15:00,,,GNB 35,0,10,Brayden Narveson kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,IND 30,0,10,Jonathan Taylor left tackle for 3 yards (tackle by Quay Walker and Preston Smith),0.940,0.800
3,14:27,2,7,IND 33,0,10,Jonathan Taylor right guard for 7 yards (tackle by Quay Walker),0.800,1.600
3,13:58,1,10,IND 40,0,10,Anthony Richardson aborted snap recovered by Anthony Richardson at IND-35 Anthony Richardson pass incomplete short middle intended for Michael Pittman,1.600,1.050
3,13:52,2,10,IND 40,0,10,Anthony Richardson sacked by Devonte Wyatt for -6 yards,1.050,-0.430
3,13:03,3,16,IND 34,0,10,Anthony Richardson pass complete short right to Andrew Ogletree for 12 yards (tackle by Keisean Nixon),-0.430,-0.320
3,12:23,4,4,IND 46,0,10,Anthony Richardson pass incomplete short right intended for Jonathan Taylor,-0.320,-2.520
3,12:20,1,10,IND 46,0,10,Josh Jacobs left end for -1 yards (tackle by Grover Stewart),2.520,1.840
3,11:45,2,11,IND 47,0,10,Josh Jacobs left end for 2 yards (tackle by E.J. Speed),1.840,1.420
3,11:13,3,9,IND 45,0,10,Malik Willis pass complete short right to Tucker Kraft for 17 yards (tackle by Nick Cross),1.420,3.710
3,10:33,1,10,IND 28,0,10,Josh Jacobs left tackle for -5 yards (tackle by Grover Stewart and Laiatu Latu),3.710,2.490
3,9:53,2,15,IND 33,0,10,Malik Willis pass complete short left to Dontayvion Wicks for 5 yards (tackle by Zaire Franklin and Jaylon Jones),2.490,2.480
3,9:15,3,10,IND 28,0,10,Josh Jacobs up the middle for 5 yards (tackle by Tyquan Lewis and E.J. Speed),2.480,1.980
3,8:29,4,5,IND 23,0,13,Brayden Narveson 42 yard field goal good,1.980,3.000
3,8:25,,,GNB 35,0,13,Brayden Narveson kicks off 65 yards touchback.,0.000,0.940
3,8:25,1,10,IND 30,0,13,Jonathan Taylor left end for 11 yards (tackle by Javon Bullard),0.940,1.660
3,7:51,1,10,IND 41,0,13,Jonathan Taylor right end for 16 yards (tackle by Jaire Alexander),1.660,2.720
