Quarter,Time,Down,ToGo,Location,NYJ,TEN,Detail,EPB,EPA
2,8:35,2,10,NYJ 12,0,7,Aaron Rodgers sacked by Harold Landry for -5 yards,-0.780,-2.010
2,7:49,3,15,NYJ 7,0,7,Aaron Rodgers pass complete short middle to Breece Hall for 9 yards (tackle by Kenneth Murray),-2.010,-2.390
2,7:10,4,6,NYJ 16,0,7,Thomas Morstead punts 57 yards returned by Jha'Quan Jackson for -2 yards (tackle by Irvin Charles),-2.390,-0.610
2,7:00,1,10,TEN 25,0,7,Will Levis pass deep left intended for Treylon Burks is intercepted by Brandin Echols at NYJ-27 and returned for no gain (tackle by Treylon Burks),0.610,-0.740
2,6:52,1,10,NYJ 27,0,7,Aaron Rodgers scrambles right end for 2 yards (tackle by Jeffery Simmons),0.740,0.470
2,6:21,2,8,NYJ 29,0,7,Aaron Rodgers pass incomplete short right intended for Braelon Allen (defended by Harold Landry),0.470,-0.230
2,6:18,3,8,NYJ 29,0,7,Aaron Rodgers pass complete short middle to Allen Lazard for 8 yards (tackle by Roger McCreary),-0.230,1.400
2,5:44,1,10,NYJ 37,0,7,Aaron Rodgers pass incomplete short left intended for Garrett Wilson,1.400,0.860
2,5:39,2,10,NYJ 37,0,7,Aaron Rodgers pass complete short left to Braelon Allen for 11 yards (tackle by Quandre Diggs),0.860,2.130
2,4:56,1,10,NYJ 48,0,7,Aaron Rodgers pass incomplete short right intended for Jeremy Ruckert,2.130,1.580
2,4:50,2,10,NYJ 48,0,7,Aaron Rodgers pass complete short left to Garrett Wilson for 16 yards (tackle by Kenneth Murray),1.580,3.180
2,4:09,1,10,TEN 36,0,7,Braelon Allen up the middle for 6 yards (tackle by Arden Key),3.180,3.450
2,3:34,2,4,TEN 30,0,7,Aaron Rodgers pass complete short right to Breece Hall for 2 yards (tackle by Ernest Jones and Jaylen Harrell),3.450,3.010
2,2:48,3,2,TEN 28,0,7,Aaron Rodgers pass complete short middle to Garrett Wilson for 6 yards (tackle by Amani Hooker),3.010,4.110
2,2:01,,,,,,Timeout #1 by New York Jets,,
2,2:01,1,10,TEN 22,0,7,Aaron Rodgers pass complete short left to Tyler Conklin for 10 yards (tackle by Kenneth Murray and L'Jarius Sneed),4.110,4.780
2,1:55,1,10,TEN 12,6,7,Aaron Rodgers pass complete short left to Braelon Allen for 12 yards touchdown,4.780,7.000
