Quarter,Time,Down,ToGo,Location,LVR,BAL,Detail,EPB,EPA
2,7:26,1,10,LVR 30,3,3,Derrick Henry left end for 2 yards (tackle by Charles Snowden),3.580,3.370
2,6:42,2,7,LVR 28,3,3,Lamar Jackson left end for 3 yards (tackle by Marcus Epps),3.370,3.010
2,6:09,3,5,LVR 25,3,3,Lamar Jackson pass incomplete short right intended for Zay Flowers,3.010,1.850
2,6:04,4,5,LVR 25,3,6,Justin Tucker 42 yard field goal good,1.850,3.000
2,6:00,,,BAL 35,3,6,Justin Tucker kicks off 68 yards returned by Ameer Abdullah for 35 yards (tackle by Josh Ross). Penalty on Chris Board: Unnecessary Roughness / Offense 15 yards (accepted),0.000,2.060
2,5:54,1,10,LVR 47,3,6,DJ Turner right end for 2 yards (tackle by Travis Jones),2.060,1.790
2,5:09,2,8,LVR 49,3,6,Gardner Minshew pass deep right intended for Harrison Bryant is intercepted by Marlon Humphrey at BAL-33 and returned for no gain (tackle by Harrison Bryant),1.790,-1.140
2,5:03,1,10,BAL 33,3,6,Derrick Henry right end for 6 yards (tackle by Christian Wilkins and Robert Spillane),1.140,1.400
2,4:20,2,4,BAL 39,3,6,Lamar Jackson pass complete deep left to Zay Flowers for 21 yards (tackle by Jakorian Bennett),1.400,2.920
2,3:32,1,10,LVR 40,3,6,Derrick Henry left guard for 2 yards (tackle by Robert Spillane). Penalty on Ronnie Stanley: Offensive Holding 10 yards (accepted),2.920,2.390
2,3:23,1,18,LVR 48,3,6,Lamar Jackson pass complete short right to Zay Flowers for 10 yards (tackle by Maxx Crosby),2.390,2.640
2,2:42,2,8,LVR 38,3,6,Lamar Jackson pass incomplete deep right intended for Zay Flowers BAL challenged the pass completion ruling and the play was upheld.,2.640,1.950
2,2:36,3,8,LVR 38,3,6,Lamar Jackson pass incomplete deep left intended for Nelson Agholor (defended by Jakorian Bennett),1.950,0.720
2,2:30,4,8,LVR 38,3,6,Justin Tucker 56 yard field goal no good,0.720,-1.990
2,2:25,1,10,LVR 46,3,6,Gardner Minshew pass complete short right to Brock Bowers for 1 yard (tackle by Roquan Smith and Marlon Humphrey),1.990,1.590
2,2:00,2,9,LVR 47,3,6,Gardner Minshew pass incomplete deep right intended for Davante Adams. Penalty on Marlon Humphrey: Defensive Pass Interference 24 yards (accepted) (no play),1.590,3.640
2,1:55,1,10,BAL 29,3,6,Gardner Minshew pass complete short left to Ameer Abdullah for 1 yard (tackle by Trenton Simpson),3.640,3.240
2,1:49,2,9,BAL 28,3,6,Gardner Minshew pass complete short left to Davante Adams for 4 yards (tackle by Ar'Darius Washington),3.240,3.070
2,1:44,3,5,BAL 24,3,6,Gardner Minshew sacked by Kyle Van Noy for -9 yards,3.070,1.150
2,1:42,,,,,,Timeout #2 by Baltimore Ravens,,
2,1:42,4,14,BAL 33,6,6,Daniel Carlson 51 yard field goal good,1.150,3.000
2,1:37,,,LVR 35,6,6,Daniel Carlson kicks off 65 yards touchback.,0.000,0.940
2,1:37,1,10,BAL 30,6,6,Lamar Jackson pass incomplete short middle intended for Zay Flowers (defended by Jack Jones),0.940,0.390
2,1:33,2,10,BAL 30,6,6,Penalty on Mark Andrews: False Start 5 yards (accepted) (no play),0.390,-0.280
2,1:33,2,15,BAL 25,6,6,Lamar Jackson scrambles up the middle for 8 yards (tackle by Divine Deablo),-0.280,0.100
2,1:24,3,7,BAL 33,6,6,Lamar Jackson pass complete short right to Mark Andrews for 12 yards (tackle by Isaiah Pola-Mao),0.100,1.930
2,1:04,,,,,,Timeout #1 by Las Vegas Raiders,,
2,1:04,1,10,BAL 45,6,6,Lamar Jackson pass complete short middle to Nelson Agholor for 13 yards (tackle by Tre'von Moehrig and Marcus Epps),1.930,2.790
2,0:40,1,10,LVR 42,6,6,Lamar Jackson pass incomplete short left intended for Nelson Agholor,2.790,2.240
2,0:33,2,10,LVR 42,6,6,Lamar Jackson pass complete short middle to Zay Flowers for 8 yards (tackle by Divine Deablo),2.240,2.610
2,0:27,,,,,,Timeout #3 by Baltimore Ravens,,
2,0:27,,,,,,Timeout #2 by Las Vegas Raiders,,
2,0:27,3,2,LVR 34,6,6,Lamar Jackson pass complete short middle to Mark Andrews for 12 yards (tackle by Divine Deablo),2.610,4.110
2,0:13,1,10,LVR 22,6,6,Lamar Jackson spiked the ball,4.110,3.560
2,0:12,2,10,LVR 22,6,6,Lamar Jackson pass complete short right to Zay Flowers for 8 yards (tackle by Jack Jones),3.560,4.020
2,0:07,,,,,,Timeout #3 by Las Vegas Raiders,,
2,0:07,3,3,LVR 14,6,9,Justin Tucker 32 yard field goal good,4.020,3.000
2,0:03,,,BAL 35,6,9,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
2,0:03,1,10,LVR 30,6,9,Gardner Minshew kneels for -1 yards,0.940,0.260
3,15:00,,,LVR 35,6,9,Daniel Carlson kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,BAL 30,6,9,Justice Hill left guard for 14 yards (tackle by Robert Spillane and Divine Deablo),0.940,1.860
3,14:20,1,10,BAL 44,6,9,Derrick Henry left guard for 2 yards (tackle by Divine Deablo),1.860,1.590
3,13:41,2,8,BAL 46,6,9,Lamar Jackson pass complete deep middle to Mark Andrews for 16 yards (tackle by Tre'von Moehrig),1.590,3.050
3,13:00,1,10,LVR 38,6,9,Derrick Henry left end for 29 yards (tackle by Tre'von Moehrig and Nesta Jade Silvera),3.050,5.140
3,12:17,1,9,LVR 9,6,9,Derrick Henry right guard for 1 yard (tackle by Maxx Crosby and Robert Spillane),5.140,4.570
