Quarter,Time,Down,ToGo,Location,NYG,WAS,Detail,EPB,EPA
2,8:16,1,10,WAS 18,6,6,Jayden Daniels sacked by Jason Pinnock for -1 yards,0.040,-0.650
2,7:33,2,11,WAS 17,6,6,Jayden Daniels left tackle for -2 yards (tackle by Kayvon Thibodeaux and Micah McFadden),-0.650,-1.660
2,6:54,3,13,WAS 15,6,6,Jayden Daniels scrambles right tackle for 14 yards (tackle by Tyler Nubin and Andru Phillips),-1.660,0.870
2,6:20,1,10,WAS 29,6,6,Austin Ekeler right guard for 4 yards (tackle by Jordon Riley and Micah McFadden),0.870,0.870
2,5:37,2,6,WAS 33,6,6,Jayden Daniels pass complete short left to Terry McLaurin for 8 yards (tackle by Deonte Banks),0.870,1.660
2,5:13,1,10,WAS 41,6,6,Jayden Daniels pass incomplete short middle intended for Terry McLaurin (defended by Deonte Banks),1.660,1.120
2,5:09,2,10,WAS 41,6,6,Brian Robinson left tackle for 32 yards (tackle by Deonte Banks),1.120,3.780
2,4:35,1,10,NYG 27,6,6,Brian Robinson up the middle for -3 yards (tackle by Azeez Ojulari),3.780,2.830
2,3:51,2,13,NYG 30,6,6,Jayden Daniels pass incomplete short left intended for Terry McLaurin,2.830,2.150
2,3:47,3,13,NYG 30,6,6,Jayden Daniels pass complete short middle to Austin Ekeler for 16 yards (tackle by Isaiah Simmons),2.150,4.650
2,3:00,1,10,NYG 14,6,6,Penalty on Samuel Cosmi: False Start 5 yards (accepted) (no play),4.650,4.260
2,2:46,1,15,NYG 19,6,6,Jayden Daniels scrambles right end for 9 yards (tackle by Tyler Nubin),4.260,4.710
2,2:05,2,6,NYG 10,6,6,Brian Robinson left end for 2 yards (tackle by Andru Phillips),4.710,4.280
2,1:59,3,4,NYG 8,6,6,Austin Ekeler left guard for no gain (tackle by Brian Burns and Dexter Lawrence),4.280,2.980
2,1:53,,,,,,Timeout #1 by New York Giants,,
2,1:53,4,4,NYG 8,6,9,Austin Seibert 26 yard field goal good,2.980,3.000
2,1:50,,,WAS 35,6,9,Austin Seibert kicks off 63 yards returned by Eric Gray for 29 yards (tackle by Nick Bellore),0.000,1.000
2,1:45,1,10,NYG 31,6,9,Devin Singletary left guard for no gain (tackle by Bobby Wagner and Dorance Armstrong),1.000,0.460
2,1:24,2,10,NYG 31,6,9,Daniel Jones pass complete short right to Malik Nabers for 13 yards (tackle by Frankie Luvu),0.460,1.860
2,1:19,1,10,NYG 44,6,9,Daniel Jones pass incomplete deep middle intended for Malik Nabers,1.860,1.320
2,1:13,2,10,NYG 44,6,9,Daniel Jones pass complete short middle to Wan'Dale Robinson for 11 yards (tackle by Quan Martin and Frankie Luvu),1.320,2.590
2,0:53,1,10,WAS 45,6,9,Daniel Jones pass complete short left to Darius Slayton for 11 yards (tackle by Benjamin St-Juste),2.590,3.310
2,0:35,1,10,WAS 34,6,9,Daniel Jones pass incomplete short left,3.310,2.770
2,0:29,2,10,WAS 34,6,9,Daniel Jones pass complete short right to Malik Nabers for 21 yards (tackle by Quan Martin),2.770,4.710
