Quarter,Time,Down,ToGo,Location,CLE,JAX,Detail,EPB,EPA
2,9:52,,,CLE 35,10,0,Dustin Hopkins kicks off no gain returned by Tank Bigsby for no gain. Tank Bigsby fumbles (forced by Ogbonnia Okoronkwo) recovered by Ogbonnia Okoronkwo at JAC-27 (tackle by Ogbonnia Okoronkwo). Penalty on Dustin Hopkins: Illegal Formation 5 yards (accepted) (no play),0.000,0.000
2,9:45,,,CLE 30,10,0,Dustin Hopkins kicks off 70 yards touchback.,0.000,0.940
2,9:45,1,10,JAX 30,10,0,Trevor Lawrence pass complete short left to Christian Kirk for -1 yards,0.940,0.260
2,9:07,2,11,JAX 29,10,0,Trevor Lawrence pass complete short right to Gabriel Davis for 10 yards (tackle by Greg Newsome),0.260,0.890
2,8:32,3,1,JAX 39,10,0,Travis Etienne up the middle for 3 yards (tackle by Denzel Ward),0.890,1.730
2,7:58,1,10,JAX 42,10,0,Travis Etienne right end for 20 yards (tackle by Ronnie Hickman),1.730,3.050
2,7:15,1,10,CLE 38,10,0,D'Ernest Johnson left end for 3 yards (tackle by Sam Kamara),3.050,2.910
2,6:33,2,7,CLE 35,10,0,Trevor Lawrence pass incomplete short left intended for Brian Thomas (defended by Jordan Hicks) (defended by Martin Emerson),2.910,2.210
2,6:28,3,7,CLE 35,10,0,Trevor Lawrence scrambles left end for 33 yards (tackle by Rodney McLeod),2.210,6.740
2,5:37,,,,,,Timeout #2 by Jacksonville Jaguars,,
2,5:37,1,2,CLE 2,10,0,Travis Etienne up the middle for -2 yards (tackle by Jeremiah Owusu-Koramoah),6.740,5.340
2,4:58,2,4,CLE 4,10,0,Trevor Lawrence pass incomplete short left,5.340,4.490
2,4:51,,,,,,Timeout #3 by Jacksonville Jaguars,,
2,4:51,3,4,CLE 4,10,0,Trevor Lawrence pass incomplete short middle intended for Gabriel Davis,4.490,3.030
2,4:47,4,4,CLE 4,10,3,Cam Little 22 yard field goal good,3.030,3.000
2,4:44,,,JAX 35,10,3,Cam Little kicks off 62 yards returned by Pierre Strong for 25 yards (tackle by Caleb Johnson),0.000,0.810
2,4:38,1,10,CLE 28,10,3,Deshaun Watson pass incomplete short right intended for Amari Cooper,0.810,0.260
2,4:32,2,10,CLE 28,10,3,Jerome Ford right guard for 7 yards (tackle by Devin Lloyd),0.260,0.500
2,3:48,3,3,CLE 35,10,3,Deshaun Watson left end for 2 yards (tackle by Josh Hines-Allen),0.500,-0.910
2,3:04,4,1,CLE 37,10,3,Jerome Ford left end for 36 yards (tackle by Andre Cisco),-0.910,3.780
2,2:26,1,10,JAX 27,10,3,Deshaun Watson scrambles up the middle for 2 yards (tackle by DaVon Hamilton and Esezi Otomewo),3.780,3.500
