Quarter,Time,Down,ToGo,Location,ATL,DEN,Detail,EPB,EPA
2,9:22,3,10,DEN 33,3,7,Bo Nix pass complete short left to Marvin Mims for 37 yards (tackle by Jessie Bates),-0.100,3.580
2,8:38,1,10,ATL 30,3,7,Marvin Mims left end for -5 yards (tackle by Zach Harrison),3.580,2.360
2,7:58,2,15,ATL 35,3,7,Bo Nix pass complete short left to Javonte Williams for 15 yards (tackle by Justin Simmons and AJ Terrell),2.360,4.240
2,7:12,1,10,ATL 20,3,7,Bo Nix pass complete short middle to Courtland Sutton for 6 yards (tackle by Kaden Elliss),4.240,4.640
2,6:25,2,4,ATL 14,3,13,Javonte Williams left tackle for 14 yards touchdown,4.640,7.000
2,6:16,,,ATL 15,3,14,Wil Lutz kicks extra point good,0.000,0.000
2,6:16,,,DEN 35,3,14,Wil Lutz kicks off 65 yards touchback.,0.000,0.940
2,6:16,1,10,ATL 30,3,14,Bijan Robinson right end for 1 yard (tackle by D.J. Jones),0.940,0.530
2,5:36,2,9,ATL 31,3,14,Kirk Cousins pass complete short left to Darnell Mooney for 8 yards (tackle by Ja'Quan McMillian),0.530,0.890
2,4:56,3,1,ATL 39,3,14,Bijan Robinson up the middle for no gain (tackle by Dondrea Tillman),0.890,-0.780
2,4:31,4,1,ATL 39,3,14,Kirk Cousins pass complete deep right to Drake London for 26 yards (tackle by Ja'Quan McMillian),-0.780,3.250
2,3:42,1,10,DEN 35,3,14,Bijan Robinson left tackle for 3 yards (tackle by Cody Barton and Nik Bonitto),3.250,3.110
2,3:06,2,7,DEN 32,3,14,Kirk Cousins pass incomplete short right intended for Drake London,3.110,2.410
2,2:57,3,7,DEN 32,3,14,Kirk Cousins pass incomplete short right intended for Kyle Pitts (defended by Ja'Quan McMillian),2.410,1.240
2,2:53,4,7,DEN 32,6,14,Younghoe Koo 51 yard field goal good,1.240,3.000
2,2:48,,,ATL 35,6,14,Bradley Pinion kicks off 65 yards touchback.,0.000,0.940
2,2:48,1,10,DEN 30,6,14,Bo Nix scrambles right guard for 3 yards (tackle by Kaden Elliss),0.940,0.800
2,2:04,2,7,DEN 33,6,14,Bo Nix pass complete deep middle to Devaughn Vele for 33 yards (tackle by Justin Simmons),0.800,3.310
2,1:57,1,10,ATL 34,6,14,Bo Nix pass incomplete short right,3.310,2.770
2,1:51,2,10,ATL 34,6,14,Bo Nix pass complete short right to Courtland Sutton for 8 yards (tackle by Richie Grant),2.770,3.140
2,1:42,,,,,,Timeout #1 by Atlanta Falcons,,
2,1:42,3,2,ATL 26,6,14,Bo Nix pass complete short right to Courtland Sutton for 7 yards (tackle by Jessie Bates and AJ Terrell),3.140,4.310
2,1:34,,,,,,Timeout #1 by Denver Broncos,,
2,1:34,1,10,ATL 19,6,14,Bo Nix pass complete short left to Troy Franklin for 8 yards (tackle by Nathan Landman),4.310,5.140
2,1:24,,,,,,Timeout #2 by Atlanta Falcons,,
2,1:24,2,2,ATL 11,6,14,Javonte Williams up the middle for 4 yards (tackle by Richie Grant and Lorenzo Carter),5.140,5.600
2,0:47,1,7,ATL 7,6,14,Bo Nix sacked by Matt Judon for -12 yards,5.600,3.070
2,0:41,,,,,,Timeout #3 by Atlanta Falcons,,
2,0:41,2,19,ATL 19,6,14,Bo Nix pass complete short middle to Courtland Sutton for 7 yards (tackle by Kaden Elliss),3.070,3.100
2,0:30,,,,,,Timeout #2 by Denver Broncos,,
2,0:30,3,12,ATL 12,6,20,Bo Nix pass complete short right to Marvin Mims for 12 yards touchdown,3.100,7.000
2,0:25,,,ATL 15,6,21,Wil Lutz kicks extra point good,0.000,0.000
2,0:25,,,DEN 35,6,21,Wil Lutz kicks off 65 yards touchback.,0.000,0.940
2,0:25,1,10,ATL 30,6,21,Kirk Cousins pass complete deep left to Darnell Mooney for 19 yards (tackle by Riley Moss),0.940,2.190
2,0:11,1,10,ATL 49,6,21,Kirk Cousins spiked the ball,2.190,1.650
2,0:10,,,,,,Timeout #3 by Denver Broncos,,
2,0:10,2,10,ATL 49,6,21,Kirk Cousins pass complete deep right to Drake London for 19 yards (tackle by Riley Moss),1.650,3.450
3,15:00,,,DEN 35,6,21,Wil Lutz kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,ATL 30,6,21,Bijan Robinson up the middle for no gain (tackle by John Franklin-Myers and D.J. Jones),0.940,0.390
3,14:42,2,10,ATL 30,6,21,Kirk Cousins pass incomplete short left intended for Darnell Mooney (defended by Riley Moss),0.390,-0.300
3,14:35,3,10,ATL 30,6,21,Kirk Cousins pass complete short right to Ray-Ray McCloud for 3 yards (tackle by Ja'Quan McMillian),-0.300,-1.180
3,13:51,4,7,ATL 33,6,21,Bradley Pinion punts 49 yards returned by Marvin Mims for 37 yards (tackle by Kaden Elliss),-1.180,-2.590
3,13:38,1,10,ATL 45,6,21,Marvin Mims right end for 3 yards (tackle by Matt Judon),2.590,2.450
3,13:09,2,7,ATL 42,6,21,Javonte Williams right guard for 4 yards (tackle by Justin Simmons),2.450,2.280
3,12:23,3,3,ATL 38,6,21,Bo Nix pass incomplete short middle intended for Adam Trautman (defended by Jessie Bates),2.280,0.720
3,12:12,,,,,,Timeout #1 by Denver Broncos,,
