Quarter,Time,Down,ToGo,Location,JAX,DET,Detail,EPB,EPA
2,10:19,1,10,DET 47,3,14,David Montgomery up the middle for 11 yards (tackle by DaVon Hamilton and Myles Cole),2.060,2.790
2,9:48,1,10,JAX 42,3,14,David Montgomery left tackle for 8 yards (tackle by Ventrell Miller),2.790,3.320
2,9:21,2,2,JAX 34,3,14,David Montgomery up the middle for 5 yards (tackle by Travon Walker and Jeremiah Ledbetter),3.320,3.640
2,8:40,1,10,JAX 29,3,14,Jared Goff pass complete short middle to Amon-Ra St. Brown for 12 yards (tackle by Darnell Savage),3.640,4.440
2,8:02,1,10,JAX 17,3,14,Jared Goff pass complete short right to David Montgomery for 6 yards (tackle by Foyesade Oluokun and Ventrell Miller),4.440,4.890
2,7:27,2,4,JAX 11,3,14,Jared Goff scrambles right end for 5 yards (tackle by Antonio Johnson),4.890,5.830
2,6:44,1,6,JAX 6,3,20,David Montgomery up the middle for 6 yards touchdown,5.830,7.000
2,6:39,,,JAX 15,3,21,Jake Bates kicks extra point good,0.000,0.000
2,6:39,,,DET 35,3,21,Jake Bates kicks off 65 yards touchback.,0.000,0.940
2,6:39,1,10,JAX 30,3,21,Mac Jones pass complete short right to Travis Etienne for 8 yards (tackle by Carlton Davis and Alex Anzalone),0.940,1.470
2,6:01,2,2,JAX 38,3,21,Travis Etienne right tackle for 3 yards (tackle by Jack Campbell),1.470,1.660
2,5:22,1,10,JAX 41,3,21,Mac Jones pass incomplete deep right intended for Devin Duvernay,1.660,1.120
2,5:15,2,10,JAX 41,3,21,Mac Jones pass incomplete deep left intended for Gabriel Davis,1.120,0.430
2,5:10,,,,,,Timeout #2 by Jacksonville Jaguars,,
2,5:10,3,10,JAX 41,3,21,Mac Jones pass incomplete deep right intended for Brian Thomas,0.430,-0.650
2,5:05,4,10,JAX 41,3,21,Logan Cooke punts 43 yards fair catch by Kalif Raymond at DET-16,-0.650,0.140
2,4:58,1,10,DET 16,3,21,Jared Goff pass complete short right to Jahmyr Gibbs for 54 yards (tackle by Ventrell Miller),-0.140,3.580
2,4:18,1,10,JAX 30,3,21,Jahmyr Gibbs right end for 3 yards (tackle by Arik Armstead),3.580,3.440
2,3:37,2,7,JAX 27,3,21,Jahmyr Gibbs right end for no gain (tackle by Montaric Brown),3.440,2.740
2,2:53,3,7,JAX 27,3,27,Jared Goff pass complete short right to Amon-Ra St. Brown for 27 yards touchdown,2.740,7.000
2,2:46,,,JAX 15,3,28,Jake Bates kicks extra point good,0.000,0.000
2,2:46,,,DET 35,3,28,Jake Bates kicks off 65 yards touchback.,0.000,0.940
2,2:46,1,10,JAX 30,3,28,Travis Etienne right end for 3 yards (tackle by Brian Branch),0.940,0.800
2,2:21,2,7,JAX 33,3,28,Mac Jones pass complete short right to Luke Farrell for 3 yards (tackle by Ben Niemann),0.800,0.500
2,2:00,3,4,JAX 36,3,28,Mac Jones pass complete short left to Gabriel Davis for 3 yards (tackle by Amik Robertson and Jack Campbell),0.500,-0.780
