Quarter,Time,Down,ToGo,Location,MIN,TEN,Detail,EPB,EPA
2,10:54,2,10,TEN 21,7,3,Aaron Jones right end for 3 yards (tackle by Kenneth Murray and Jarvis Brownlee),3.630,3.310
2,10:14,3,7,TEN 18,7,3,Sam Darnold scrambles left end for 6 yards (tackle by Harold Landry and Jerome Baker),3.310,2.780
2,9:41,4,1,TEN 12,7,3,Sam Darnold up the middle for no gain (tackle by Harold Landry). Penalty on T'Vondre Sweat: Defensive Offside 5 yards (accepted) (no play),2.780,0.000
2,9:16,1,10,TEN 7,7,3,Sam Darnold pass complete short middle to Justin Jefferson for 6 yards (tackle by Jaylen Harrell and Jerome Baker),0.000,5.910
2,8:35,2,1,TEN 1,7,3,Sam Darnold pass incomplete short right intended for Justin Jefferson (defended by Darrell Baker),5.910,5.170
2,8:31,3,1,TEN 1,7,3,Aaron Jones up the middle for no gain (tackle by James Lynch and Amani Hooker),5.170,3.550
2,7:49,4,1,TEN 1,7,3,Sam Darnold pass incomplete short left intended for Jordan Addison. Penalty on Mike Brown: Unnecessary Roughness / Defense (accepted) (no play),3.550,6.970
2,7:43,1,1,TEN 1,7,3,Penalty on TEN: Unsportsmanlike Conduct / Defense (accepted),6.970,6.970
2,7:43,1,1,TEN 1,13,3,Sam Darnold up the middle for 1 yard touchdown,6.970,7.000
2,7:40,,,TEN 15,13,3,John Parker Romo kicks extra point no good,0.000,-1.000
2,7:40,,,MIN 35,13,3,John Parker Romo kicks off 65 yards touchback.,0.000,0.940
2,7:40,1,10,TEN 30,13,3,Tony Pollard up the middle for no gain (tackle by Jerry Tillery),0.940,0.390
2,7:08,2,10,TEN 30,13,3,Will Levis pass complete short middle to Josh Whyle for 6 yards (tackle by Josh Metellus),0.390,0.500
2,6:22,3,4,TEN 36,13,3,Will Levis pass incomplete short left intended for Nick Westbrook-Ikhine,0.500,-0.980
2,6:16,4,4,TEN 36,13,3,Ryan Stonehouse punts 51 yards returned by Brandon Powell for 10 yards (tackle by James Williams). Penalty on James Williams: Horse Collar Tackle 15 yards (accepted),-0.980,-1.470
2,6:08,1,10,MIN 38,13,3,Sam Darnold pass complete short right to Cam Akers for 8 yards (tackle by Darrell Baker),1.470,2.000
2,5:32,2,2,MIN 46,13,3,Cam Akers left end for 1 yard (tackle by Harold Landry and Jerome Baker),2.000,1.420
2,4:52,3,1,MIN 47,13,3,Sam Darnold up the middle for 2 yards (tackle by T'Vondre Sweat),1.420,2.190
2,4:04,,,,,,Timeout #2 by Minnesota Vikings,,
2,4:04,1,10,MIN 49,13,3,Sam Darnold pass complete short middle to Josh Oliver for 8 yards (tackle by Kenneth Murray and T'Vondre Sweat),2.190,2.730
2,3:23,2,2,TEN 43,13,3,Cam Akers up the middle for no gain (tackle by T'Vondre Sweat). Penalty on Trent Sherfield: Offensive Holding 10 yards (accepted) (no play),2.730,1.380
2,3:00,2,12,MIN 47,13,3,Sam Darnold pass complete short right to Jordan Addison for 16 yards (tackle by Kenneth Murray and Amani Hooker),1.380,3.120
2,2:11,1,10,TEN 37,13,3,Sam Darnold pass incomplete short left. Penalty on Darrell Baker: Illegal Contact 5 yards (accepted) (no play),3.120,3.450
2,2:11,1,10,TEN 32,13,3,Sam Darnold pass incomplete short middle intended for T.J. Hockenson,3.450,2.900
2,2:07,2,10,TEN 32,13,3,Cam Akers left guard for 12 yards (tackle by Darrell Baker),2.900,4.240
2,2:00,1,10,TEN 20,13,3,Sam Darnold pass complete short right to Jordan Addison for -2 yards (tackle by Roger McCreary and Harold Landry),4.240,3.420
2,1:55,,,,,,Timeout #1 by Tennessee Titans,,
2,1:55,2,12,TEN 22,13,3,Cam Akers up the middle for no gain (tackle by Jeffery Simmons),3.420,2.740
2,1:51,,,,,,Timeout #2 by Tennessee Titans,,
2,1:51,3,12,TEN 22,13,3,Sam Darnold pass incomplete deep left intended for Jordan Addison,2.740,1.990
2,1:45,4,12,TEN 22,16,3,John Parker Romo 40 yard field goal good,1.990,3.000
2,1:41,,,MIN 35,16,3,John Parker Romo kicks off 65 yards touchback.,0.000,0.940
2,1:41,1,10,TEN 30,16,3,Will Levis pass incomplete short right intended for Chigoziem Okonkwo,0.940,0.390
2,1:36,2,10,TEN 30,16,3,Will Levis pass complete short middle to Tyjae Spears for 5 yards (tackle by Jonathan Greenard),0.390,0.370
2,1:19,3,5,TEN 35,16,3,Will Levis pass complete deep right to Calvin Ridley for 16 yards (tackle by Theo Jackson),0.370,2.320
2,0:50,1,10,MIN 49,16,3,Will Levis pass incomplete short left intended for Nick Westbrook-Ikhine (defended by Harrison Smith),2.320,1.780
2,0:47,2,10,MIN 49,16,3,Will Levis sacked by Andrew Van Ginkel for -5 yards,1.780,0.430
2,0:37,,,,,,Timeout #3 by Tennessee Titans,,
2,0:37,3,15,TEN 46,16,3,Will Levis sacked by Andrew Van Ginkel for -8 yards,0.430,-0.850
2,0:30,,,,,,Timeout #3 by Minnesota Vikings,,
2,0:30,4,23,TEN 38,16,3,Ryan Stonehouse punts 62 yards touchback.,-0.850,-0.280
2,0:22,1,10,MIN 20,16,3,Sam Darnold kneels for -1 yards,0.280,-0.460
3,15:00,,,TEN 35,16,3,Nick Folk kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,MIN 30,16,3,Aaron Jones left tackle for 5 yards (tackle by T'Vondre Sweat),0.940,1.070
3,14:15,2,5,MIN 35,16,3,Sam Darnold pass incomplete short left intended for Jordan Addison,1.070,0.370
3,14:10,3,5,MIN 35,16,3,Sam Darnold sacked by Kenneth Murray for -1 yards,0.370,-1.110
3,13:22,4,6,MIN 34,16,3,Ryan Wright punts 66 yards touchback.,-1.110,-0.280
3,13:14,1,10,TEN 20,16,3,Will Levis pass complete short middle to Nick Vannett for 6 yards (tackle by Harrison Smith and Ivan Pace),0.280,0.540
3,12:43,2,4,TEN 26,16,3,Tony Pollard left end for 3 yards (tackle by Ivan Pace and Josh Metellus),0.540,0.230
3,12:02,3,1,TEN 29,16,3,Will Levis left end for -2 yards (tackle by Jonathan Greenard),0.230,-1.570
3,11:16,4,3,TEN 27,16,3,Ryan Stonehouse punts 46 yards returned by Brandon Powell for 7 yards (tackle by Bryce Oliver),-1.570,-1.200
3,11:06,1,10,MIN 34,16,3,Aaron Jones right tackle for 3 yards. Aaron Jones fumbles (forced by Jeffery Simmons) recovered by Aaron Jones at MIN-37,1.200,1.060
3,10:40,2,7,MIN 37,16,3,Sam Darnold pass complete short right to T.J. Hockenson for 9 yards (tackle by Roger McCreary),1.060,1.990
3,10:08,1,10,MIN 46,16,3,Sam Darnold pass complete short left to Aaron Jones for 4 yards (tackle by Kenneth Murray),1.990,1.990
3,9:26,2,6,MIN 50,16,3,Aaron Jones left guard for 1 yard (tackle by Darrell Baker),1.990,1.420
3,8:41,3,5,TEN 49,16,3,Sam Darnold pass incomplete short right intended for Jordan Addison,1.420,0.000
3,8:38,4,5,TEN 49,16,3,Ryan Wright punts 47 yards downed by Trent Sherfield,0.000,0.380
3,8:30,1,10,TEN 2,16,3,Tony Pollard up the middle for -1 yards (tackle by Jonathan Bullard and Jalen Redmond),-0.380,-0.850
3,7:56,2,11,TEN 1,16,3,Will Levis up the middle for 1 yard (tackle by Jerry Tillery and Harrison Phillips),-0.850,-1.420
3,7:12,3,10,TEN 2,16,9,Will Levis pass complete deep right to Nick Westbrook-Ikhine for 98 yards touchdown,-1.420,7.000
3,7:00,,,MIN 15,16,10,Nick Folk kicks extra point good,0.000,0.000
3,7:00,,,TEN 35,16,10,Nick Folk kicks off 65 yards returned by Ty Chandler for 35 yards (tackle by Mike Brown),0.000,1.270
3,6:55,1,10,MIN 35,16,10,Sam Darnold pass complete deep left to Justin Jefferson for 25 yards (tackle by Daryl Worley),1.270,2.920
3,6:07,1,10,TEN 40,16,10,Cam Akers up the middle for -1 yards (tackle by T'Vondre Sweat),2.920,2.240
