Quarter,Time,Down,ToGo,Location,CIN,LAC,Detail,EPB,EPA
2,12:49,1,10,LAC 29,6,7,Justin Herbert pass complete deep left to Quentin Johnston for 22 yards (tackle by DJ Turner),0.870,2.320
2,12:20,1,10,CIN 49,6,7,Justin Herbert pass complete short left to Will Dissly for 20 yards (tackle by Germaine Pratt),2.320,3.640
2,11:44,1,10,CIN 29,6,7,J.K. Dobbins left guard for 3 yards (tackle by Vonn Bell),3.640,3.510
2,11:09,2,7,CIN 26,6,13,Justin Herbert pass complete deep left to Quentin Johnston for 26 yards touchdown,3.510,7.000
2,11:02,,,CIN 15,6,14,Cameron Dicker kicks extra point good,0.000,0.000
2,11:02,,,LAC 35,6,14,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
2,11:02,1,10,CIN 30,6,14,Joe Burrow pass incomplete deep right intended for Mike Gesicki,0.940,0.390
2,10:57,2,10,CIN 30,6,14,Joe Burrow pass complete short right to Andrei Iosivas for 6 yards (tackle by Tarheeb Still and Daiyan Henley),0.390,0.500
2,10:17,3,4,CIN 36,6,14,Joe Burrow sacked by Tuli Tuipulotu for -3 yards,0.500,-1.180
2,9:39,4,7,CIN 33,6,14,Ryan Rehkow punts 33 yards downed by Trayveon Williams,-1.180,-1.200
2,9:28,1,10,LAC 34,6,14,Gus Edwards left tackle for 5 yards (tackle by Germaine Pratt and Jordan Battle),1.200,1.330
2,8:52,2,5,LAC 39,6,14,Justin Herbert scrambles up the middle for 30 yards (tackle by Jordan Battle),1.330,3.510
2,8:18,1,10,CIN 31,6,14,Justin Herbert pass complete short right to Derius Davis for 14 yards (tackle by Logan Wilson),3.510,4.440
2,7:39,1,10,CIN 17,6,14,Gus Edwards up the middle for 9 yards (tackle by Geno Stone),4.440,5.480
2,6:57,2,1,CIN 8,6,14,Gus Edwards up the middle for 4 yards (tackle by Mike Hilton and Logan Wilson),5.480,6.280
2,6:10,1,4,CIN 4,6,14,Justin Herbert pass incomplete short left intended for Josh Palmer. Penalty on B.J. Hill: Unnecessary Roughness / Defense 2 yards (accepted) (no play),6.280,6.740
2,6:04,1,2,CIN 2,6,14,Justin Herbert pass incomplete short middle intended for Tucker Fisk,6.740,5.720
2,5:59,2,2,CIN 2,6,14,Hassan Haskins right guard for 1 yard (tackle by Jay Tufele and Germaine Pratt),5.720,5.170
2,5:21,3,1,CIN 1,6,14,Hassan Haskins right tackle for no gain (tackle by Akeem Davis-Gaither),5.170,3.550
2,4:38,,,,,,Timeout #3 by Los Angeles Chargers,,
2,4:38,4,1,CIN 1,6,20,J.K. Dobbins right guard for 1 yard touchdown,3.550,7.000
2,4:35,,,CIN 15,6,21,Cameron Dicker kicks extra point good,0.000,0.000
2,4:35,,,LAC 35,6,21,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
2,4:35,1,10,CIN 30,6,21,Chase Brown up the middle for 5 yards (tackle by Otito Ogbonnia),0.940,1.070
