Quarter,Time,Down,ToGo,Location,IND,NYJ,Detail,EPB,EPA
2,7:01,3,6,NYJ 13,10,0,Anthony Richardson sacked by Quinnen Williams for -16 yards,3.680,1.500
2,6:12,4,22,NYJ 29,13,0,Matt Gay 47 yard field goal good,1.500,3.000
2,6:08,,,IND 35,13,0,Matt Gay kicks off 67 yards returned by Isaiah Davis for 24 yards (tackle by Grant Stuard),0.000,0.410
2,6:02,1,10,NYJ 22,13,0,Breece Hall right tackle for 3 yards (tackle by Dayo Odeyingbo and E.J. Speed),0.410,0.270
2,5:28,2,7,NYJ 25,13,0,Aaron Rodgers pass complete short left to Davante Adams for -1 yards (tackle by Kenny Moore and Jaylon Jones),0.270,-0.560
2,4:42,3,8,NYJ 24,13,0,Aaron Rodgers pass complete short right to Garrett Wilson for 7 yards (tackle by Samuel Womack),-0.560,-1.310
2,3:59,4,1,NYJ 31,13,0,Thomas Morstead punts 52 yards returned by Josh Downs for 13 yards (tackle by Chazz Surratt and Thomas Hennessy),-1.310,-0.940
2,3:46,1,10,IND 30,13,0,Jonathan Taylor up the middle for -1 yards (tackle by Leonard Taylor),0.940,0.260
2,3:12,2,11,IND 29,13,0,Anthony Richardson pass incomplete deep right intended for Michael Pittman,0.260,-0.430
2,3:03,,,,,,Timeout #1 by Indianapolis Colts,,
2,3:03,3,11,IND 29,13,0,Anthony Richardson pass complete short left to Trey Sermon for 3 yards (tackle by Michael Carter),-0.430,-1.240
2,2:25,4,8,IND 32,13,0,Rigoberto Sanchez punts 46 yards returned by Xavier Gipson for 2 yards (tackle by Ashton Dulin),-1.240,-0.540
2,2:17,1,10,NYJ 24,13,0,Aaron Rodgers pass complete short left to Garrett Wilson for 6 yards (tackle by Jaylon Jones and Taven Bryan),0.540,0.810
2,2:00,2,4,NYJ 30,13,0,Breece Hall right end for 6 yards (tackle by Kwity Paye and DeForest Buckner),0.810,1.330
2,1:31,1,10,NYJ 36,13,0,Aaron Rodgers pass complete short middle to Tyler Conklin for 7 yards (tackle by Zaire Franklin and E.J. Speed),1.330,1.740
2,1:06,2,3,NYJ 43,13,0,Aaron Rodgers pass complete short left to Davante Adams for 24 yards (tackle by Nick Cross),1.740,3.380
