Quarter,Time,Down,ToGo,Location,WAS,PHI,Detail,EPB,EPA
2,9:57,4,16,WAS 35,7,0,Tress Way punts 39 yards out of bounds,-1.040,-0.670
2,9:51,1,10,PHI 26,7,0,Jalen Hurts right guard for 5 yards (tackle by Quan Martin and Bobby Wagner),0.670,0.810
2,9:13,2,5,PHI 31,7,0,Saquon Barkley up the middle for 1 yard (tackle by Frankie Luvu),0.810,0.230
2,8:27,3,4,PHI 32,7,0,Jalen Hurts pass incomplete short left intended for A.J. Brown,0.230,-1.240
2,8:21,4,4,PHI 32,7,0,Braden Mann punts 44 yards returned by Olamide Zaccheaus for 3 yards (tackle by Sydney Brown),-1.240,-0.740
2,8:13,1,10,WAS 27,7,0,Jayden Daniels pass complete short left to Dyami Brown for 4 yards (tackle by Zack Baun and Reed Blankenship),0.740,0.740
2,7:39,2,6,WAS 31,7,0,Brian Robinson left guard for 7 yards (tackle by Reed Blankenship),0.740,1.470
2,7:11,1,10,WAS 38,7,0,Jayden Daniels pass complete short right to Brian Robinson for 9 yards (tackle by Cooper DeJean),1.470,2.140
2,6:33,2,1,WAS 47,7,0,Austin Ekeler left end for 1 yard (tackle by Cooper DeJean and C.J. Gardner-Johnson). Penalty on Dyami Brown: Offensive Holding 10 yards (accepted),2.140,0.920
2,6:23,2,10,WAS 38,7,0,Jayden Daniels pass complete short right to Austin Ekeler for 6 yards (tackle by Nolan Smith),0.920,1.020
2,5:48,3,4,WAS 44,7,0,Jayden Daniels pass complete short left to Zach Ertz for 9 yards (tackle by Quinyon Mitchell and Cooper DeJean),1.020,2.460
2,5:05,1,10,PHI 47,7,0,Jayden Daniels scrambles left end for 1 yard (tackle by Zack Baun),2.460,2.050
2,4:29,2,9,PHI 46,7,0,Jayden Daniels pass incomplete deep left intended for Noah Brown,2.050,1.350
2,4:21,3,9,PHI 46,7,0,Jayden Daniels pass incomplete short right intended for Austin Ekeler (defended by Nakobe Dean),1.350,0.200
2,4:17,4,9,PHI 46,7,0,Tress Way punts 36 yards fair catch by Cooper DeJean at PHI-10,0.200,0.380
2,4:11,1,10,PHI 10,7,0,Jalen Hurts pass complete short left to Saquon Barkley for 9 yards (tackle by Jeremy Chinn),-0.380,0.240
2,3:41,2,1,PHI 19,7,0,Saquon Barkley left guard for 7 yards (tackle by Benjamin St-Juste),0.240,0.670
2,3:15,1,10,PHI 26,7,0,Jalen Hurts pass complete short left to A.J. Brown for 10 yards (tackle by Benjamin St-Juste),0.670,1.330
2,2:43,1,10,PHI 36,7,0,Jalen Hurts pass complete short left to DeVonta Smith for 3 yards (tackle by Jeremy Chinn),1.330,1.200
2,2:14,2,7,PHI 39,7,0,Saquon Barkley left tackle for 9 yards (tackle by Jeremy Chinn and Dorance Armstrong),1.200,2.130
2,2:00,1,10,PHI 48,7,0,Saquon Barkley left guard for 4 yards (tackle by Daron Payne and Jer'Zhan Newton),2.130,2.120
2,1:31,2,6,WAS 48,7,0,Jalen Hurts pass complete short middle to DeVonta Smith for 21 yards (tackle by Quan Martin),2.120,3.780
2,1:05,1,10,WAS 27,7,0,Jalen Hurts scrambles right end for 2 yards (tackle by Noah Igbinoghene). Penalty on Mike Sainristil: Illegal Contact 5 yards (accepted),3.780,4.240
2,0:58,1,10,WAS 20,7,0,Saquon Barkley right tackle for 2 yards (tackle by Dorance Armstrong),4.240,3.960
2,0:53,,,,,,Timeout #1 by Washington Commanders,,
2,0:53,2,8,WAS 18,7,0,Jalen Hurts pass incomplete deep left intended for DeVonta Smith (defended by Mike Sainristil),3.960,3.220
2,0:47,3,8,WAS 18,7,0,Jalen Hurts scrambles right end for 9 yards (tackle by Benjamin St-Juste),3.220,5.140
2,0:39,1,9,WAS 9,7,0,Jalen Hurts right guard for 5 yards (tackle by Frankie Luvu and Jer'Zhan Newton),5.140,5.340
2,0:33,,,,,,Timeout #1 by Philadelphia Eagles,,
2,0:33,2,4,WAS 4,7,0,Saquon Barkley right guard for 1 yard (tackle by Quan Martin and Noah Igbinoghene),5.340,4.720
2,0:28,,,,,,Timeout #2 by Philadelphia Eagles,,
2,0:28,3,3,WAS 3,7,0,Jalen Hurts pass incomplete short left,4.720,3.040
2,0:22,4,3,WAS 3,7,3,Jake Elliott 21 yard field goal good,3.040,3.000
2,0:19,,,PHI 35,7,3,Braden Mann kicks off 65 yards touchback.,0.000,0.940
2,0:19,1,10,WAS 30,7,3,Jayden Daniels pass complete short middle to Austin Ekeler for 18 yards (tackle by Zack Baun),0.940,2.130
2,0:12,,,,,,Timeout #2 by Washington Commanders,,
2,0:12,1,10,WAS 48,7,3,Jayden Daniels pass incomplete short right intended for Luke McCaffrey,2.130,1.580
2,0:08,,,,,,Timeout #3 by Philadelphia Eagles,,
2,0:08,2,10,WAS 48,7,3,Jayden Daniels pass complete short right to Dyami Brown for no gain (tackle by Reed Blankenship) Replay Assistant challenged the pass completion ruling and the original play was overturned. Jayden Daniels pass incomplete short right intended for Dyami Brown,1.580,0.890
2,0:05,3,10,WAS 48,7,3,Brian Robinson up the middle for 5 yards (tackle by Josh Sweat),0.890,0.130
3,15:00,,,PHI 35,7,3,Braden Mann kicks off 65 yards returned by Austin Ekeler for 31 yards. Austin Ekeler fumbles (forced by Jalyx Hunt) recovered by Mykal Walker at WAS-31,0.000,1.000
3,14:49,1,10,WAS 31,7,3,Brian Robinson right guard for 8 yards (tackle by Reed Blankenship),1.000,1.540
3,14:09,2,2,WAS 39,7,3,Brian Robinson right guard for -3 yards (tackle by Jalen Carter),1.540,0.430
