Quarter,Time,Down,ToGo,Location,LVR,MIA,Detail,EPB,EPA
2,7:42,2,5,LVR 5,3,7,Tua Tagovailoa pass incomplete short right intended for Odell Beckham,5.150,4.260
2,7:33,3,5,LVR 5,3,7,Tua Tagovailoa sacked by Adam Butler for -8 yards,4.260,2.570
2,6:50,4,13,LVR 13,3,10,Jason Sanders 31 yard field goal good,2.570,3.000
2,6:46,,,MIA 35,3,10,Jason Sanders kicks off 65 yards touchback.,0.000,0.940
2,6:46,1,10,LVR 30,3,10,Gardner Minshew scrambles left guard for 1 yard (tackle by Kader Kohou),0.940,0.530
2,6:03,2,9,LVR 31,3,10,Gardner Minshew pass complete short middle to Brock Bowers for 12 yards (tackle by Jalen Ramsey),0.530,1.800
2,5:32,1,10,LVR 43,3,10,Gardner Minshew pass complete short middle to Brock Bowers for 14 yards (tackle by Anthony Walker and Jordan Poyer),1.800,2.720
2,4:56,1,10,MIA 43,3,10,Brock Bowers right end for -3 yards (tackle by Jordyn Brooks),2.720,1.770
2,4:15,2,13,MIA 46,3,10,Gardner Minshew pass complete short middle to Jakobi Meyers for 6 yards (tackle by Anthony Walker),1.770,1.880
2,3:31,3,7,MIA 40,3,10,Gardner Minshew pass complete short middle to Jakobi Meyers for 11 yards (tackle by Jalen Ramsey),1.880,3.640
2,2:53,1,10,MIA 29,3,10,Zamir White right tackle for 1 yard (tackle by Chop Robinson and Storm Duck),3.640,3.240
2,2:11,2,9,MIA 28,3,10,Gardner Minshew pass incomplete short right,3.240,2.540
2,2:05,3,9,MIA 28,3,10,Gardner Minshew pass complete short left to Brock Bowers for 10 yards (tackle by Jevon Holland),2.540,4.370
2,1:59,1,10,MIA 18,3,10,Alexander Mattison right guard for 4 yards (tackle by Anthony Walker and Benito Jones),4.370,4.430
2,1:54,,,,,,Timeout #1 by Miami Dolphins,,
2,1:54,2,6,MIA 14,3,10,Gardner Minshew pass incomplete short left intended for Michael Mayer,4.430,3.630
2,1:49,3,6,MIA 14,3,10,Gardner Minshew scrambles right end for 5 yards (tackle by Jevon Holland) Replay Assistant challenged the short of the line to gain ruling and the original play was overturned. Gardner Minshew scrambles right end for 6 yards (tackle by Jevon Holland),3.630,5.370
2,1:42,1,8,MIA 8,3,10,Alexander Mattison right tackle for no gain (tackle by Zach Sieler and Calais Campbell),5.370,4.570
2,1:39,,,,,,Timeout #2 by Miami Dolphins,,
2,1:39,2,8,MIA 8,3,10,Gardner Minshew sacked by Emmanuel Ogbah for -1 yards,4.570,3.360
2,1:32,,,,,,Timeout #3 by Miami Dolphins,,
2,1:32,3,9,MIA 9,3,10,Gardner Minshew pass complete short right to Michael Mayer for 5 yards (tackle by Zach Sieler),3.360,3.030
2,0:48,4,4,MIA 4,6,10,Daniel Carlson 22 yard field goal good,3.030,3.000
2,0:45,,,LVR 35,6,10,Daniel Carlson kicks off 63 yards returned by Raheem Mostert for 23 yards (tackle by Amari Gainer),0.000,0.610
2,0:41,1,10,MIA 25,6,10,Tua Tagovailoa pass complete short right to Tyreek Hill for 2 yards (tackle by Jack Jones),0.610,0.330
2,0:18,2,8,MIA 27,6,10,Tua Tagovailoa pass complete short right to Jonnu Smith for 8 yards (tackle by Tre'von Moehrig),0.330,1.270
2,0:03,1,10,MIA 35,6,10,Tua Tagovailoa spiked the ball,1.270,0.720
2,0:02,,,,,,Timeout #2 by Las Vegas Raiders,,
2,0:02,2,10,MIA 35,6,10,Tua Tagovailoa pass complete short middle to Jonnu Smith for 15 yards (tackle by Thomas Harper and Darnay Holmes),0.720,2.260
3,15:00,,,MIA 35,6,10,Jason Sanders kicks off 66 yards returned by DJ Turner for 31 yards (tackle by Siran Neal),0.000,0.940
3,14:54,1,10,LVR 30,6,10,Zamir White right guard for 3 yards (tackle by Jordyn Brooks and Jordan Poyer),0.940,0.800
3,14:14,2,7,LVR 33,6,10,Gardner Minshew pass complete short middle to DJ Turner for 8 yards (tackle by Kader Kohou),0.800,1.660
3,13:36,1,10,LVR 41,6,10,Gardner Minshew pass complete short left to Brock Bowers for 5 yards (tackle by Jordyn Brooks),1.660,1.800
3,13:00,2,5,LVR 46,6,10,Gardner Minshew sacked by Calais Campbell for -6 yards,1.800,0.300
3,12:16,3,11,LVR 40,6,10,Gardner Minshew pass incomplete short left intended for Brock Bowers,0.300,-0.720
3,12:11,4,11,LVR 40,6,10,AJ Cole punts 54 yards returned by Malik Washington for no gain (tackle by DJ Turner). Penalty on Quinton Bell: Defensive Holding 3 yards (accepted),-0.720,0.380
3,12:00,1,10,MIA 3,6,10,De'Von Achane up the middle for 8 yards (tackle by Decamerion Richardson and Robert Spillane),-0.380,-0.200
3,11:22,2,2,MIA 11,6,10,De'Von Achane left end for -2 yards (tackle by K'Lavon Chaisson),-0.200,-0.720
3,10:40,3,4,MIA 9,6,10,Tua Tagovailoa pass complete short right to Tyreek Hill for 6 yards (tackle by Jack Jones and Charles Snowden),-0.720,-0.220
3,9:57,1,10,MIA 15,6,10,Tua Tagovailoa pass complete short left to De'Von Achane for 6 yards (tackle by Decamerion Richardson and Darnay Holmes),-0.220,0.210
3,9:13,2,4,MIA 21,6,10,De'Von Achane right end for 7 yards (tackle by Tre'von Moehrig),0.210,0.810
3,8:35,1,10,MIA 28,6,10,Malik Washington right end for 7 yards (tackle by Robert Spillane),0.810,1.210
3,7:56,2,3,MIA 35,6,10,Tua Tagovailoa pass complete short right to Jonnu Smith for 7 yards (tackle by Robert Spillane),1.210,1.730
3,7:14,1,10,MIA 42,6,10,Tua Tagovailoa pass complete short right to Jaylen Waddle for 13 yards (tackle by Jack Jones),1.730,2.590
3,6:37,1,10,LVR 45,6,10,Tua Tagovailoa pass incomplete deep right intended for Julian Hill,2.590,2.040
3,6:29,2,10,LVR 45,6,10,Tua Tagovailoa pass complete short middle to Julian Hill for 11 yards (tackle by Matthew Butler and Darnay Holmes),2.040,3.310
3,5:59,1,10,LVR 34,6,10,De'Von Achane right tackle for 30 yards (tackle by Decamerion Richardson),3.310,6.280
3,5:26,1,4,LVR 4,6,10,Jaylen Wright right tackle for no gain (tackle by Divine Deablo). Penalty on Aaron Brewer: Offensive Holding 10 yards (offset) . Penalty on Divine Deablo: Face Mask (15 Yards) 15 yards (offset) (no play),6.280,6.280
3,5:00,1,4,LVR 4,6,10,Raheem Mostert right end for -4 yards (tackle by Jack Jones),6.280,4.570
3,4:25,2,8,LVR 8,6,10,Tua Tagovailoa pass incomplete short right intended for Tyreek Hill (defended by Tre'von Moehrig),4.570,3.580
3,4:21,3,8,LVR 8,6,16,Tua Tagovailoa pass complete short left to Tyreek Hill for 8 yards touchdown,3.580,7.000
3,4:13,,,LVR 15,6,17,Jason Sanders kicks extra point good,0.000,0.000
3,4:13,,,MIA 35,6,17,Jason Sanders kicks off 65 yards touchback.,0.000,0.940
3,4:13,1,10,LVR 30,6,17,Penalty on Jordan Meredith: False Start 5 yards (accepted) (no play),0.940,0.610
3,4:13,1,15,LVR 25,6,17,Gardner Minshew pass complete short middle to Brock Bowers for 7 yards (tackle by Kader Kohou),0.610,0.660
