Quarter,Time,Down,ToGo,Location,TAM,NYG,Detail,EPB,EPA
2,7:59,1,10,NYG 41,10,0,Baker Mayfield pass complete deep left to Cade Otton for 30 yards (tackle by Tyler Nubin),2.850,4.840
2,7:13,1,10,NYG 11,10,0,Baker Mayfield pass complete short left to Mike Evans for 5 yards (tackle by Deonte Banks and Tyler Nubin),4.840,5.080
2,6:26,2,5,NYG 6,16,0,Bucky Irving up the middle for 6 yards touchdown,5.080,7.000
2,6:23,,,NYG 15,17,0,Chase McLaughlin kicks extra point good,0.000,0.000
2,6:23,,,TAM 35,17,0,Trenton Gill kicks off 65 yards touchback.,0.000,0.940
2,6:23,1,10,NYG 30,17,0,Tyrone Tracy right guard for 1 yard (tackle by YaYa Diaby),0.940,0.530
2,5:48,2,9,NYG 31,17,0,Tyrone Tracy left tackle for 9 yards (tackle by Jordan Whitehead),0.530,1.600
2,5:18,1,10,NYG 40,17,0,Tommy DeVito pass complete short left to Theo Johnson for 23 yards (tackle by Jordan Whitehead),1.600,3.120
2,4:39,1,10,TAM 37,17,0,Devin Singletary left tackle for 2 yards (tackle by William Gholston),3.120,2.840
2,3:56,2,8,TAM 35,17,0,Tommy DeVito sacked by Vita Vea for -8 yards,2.840,1.090
2,3:08,3,16,TAM 43,17,0,Tommy DeVito pass incomplete short right,1.090,0.400
2,3:04,4,16,TAM 43,17,0,Jamie Gillan punts 29 yards fair catch by Trey Palmer at TB-14,0.400,0.280
2,2:57,1,10,TAM 14,17,0,Baker Mayfield pass complete short right to Bucky Irving for 32 yards (tackle by Andru Phillips),-0.280,1.990
2,2:08,1,10,TAM 46,17,0,Baker Mayfield pass complete short middle to Sean Tucker for 7 yards (tackle by Bobby Okereke and Andru Phillips),1.990,2.400
2,2:00,2,3,NYG 47,17,0,Baker Mayfield pass incomplete deep right intended for Jalen McMillan,2.400,1.690
2,1:54,3,3,NYG 47,17,0,Baker Mayfield pass complete deep left to Trey Palmer for 18 yards (tackle by Tyler Nubin),1.690,3.640
2,1:48,,,,,,Timeout #1 by New York Giants,,
2,1:48,1,10,NYG 29,17,0,Rachaad White left tackle for 1 yard (tackle by Micah McFadden),3.640,3.240
2,1:06,2,9,NYG 28,17,0,Baker Mayfield pass complete short middle to Sterling Shepard for 3 yards (tackle by Tyler Nubin),3.240,2.940
2,1:00,,,,,,Timeout #2 by New York Giants,,
2,1:00,3,6,NYG 25,17,0,Baker Mayfield pass incomplete short right intended for Mike Evans (defended by Bobby Okereke). Penalty on Deonte Banks: Illegal Contact 5 yards (accepted) (no play),2.940,4.240
2,0:54,1,10,NYG 20,17,0,Baker Mayfield pass complete short right to Rachaad White for 10 yards (tackle by Micah McFadden and Bobby Okereke),4.240,4.910
2,0:25,1,10,NYG 10,17,0,Baker Mayfield pass incomplete short right intended for Sterling Shepard (defended by Deonte Banks),4.910,4.190
2,0:20,2,10,NYG 10,23,0,Baker Mayfield scrambles up the middle for 10 yards touchdown,4.190,7.000
2,0:12,,,NYG 15,23,0,Chase McLaughlin kicks extra point no good,0.000,-1.000
2,0:12,,,TAM 35,23,0,Trenton Gill kicks off 65 yards touchback.,0.000,0.940
2,0:12,1,10,NYG 30,23,0,Tommy DeVito kneels for -1 yards,0.940,0.260
3,15:00,,,TAM 35,23,0,Trenton Gill kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,NYG 30,23,0,Tommy DeVito pass complete deep right to Malik Nabers for 21 yards (tackle by Antoine Winfield),0.940,2.320
3,14:21,1,10,TAM 49,23,0,Tommy DeVito pass complete short left to Malik Nabers for 8 yards (tackle by Antoine Winfield and Zyon McCollum),2.320,2.860
