Quarter,Time,Down,ToGo,Location,PIT,CLE,Detail,EPB,EPA
2,6:29,2,9,PIT 24,3,0,Nick Chubb up the middle for 2 yards (tackle by Payton Wilson),3.500,3.070
2,5:51,3,7,PIT 22,3,0,Jameis Winston pass complete short middle to Elijah Moore for 6 yards (tackle by Patrick Queen),3.070,2.530
2,5:07,4,1,PIT 16,3,0,Nick Chubb left guard for 5 yards (tackle by DeShon Elliott),2.530,4.840
2,4:47,1,10,PIT 11,3,0,Jameis Winston pass complete short left to David Njoku for 9 yards (tackle by DeShon Elliott),4.840,5.850
2,4:03,2,1,PIT 2,3,6,Nick Chubb right guard for 2 yards touchdown,5.850,7.000
2,4:00,,,PIT 15,3,7,Dustin Hopkins kicks extra point good,0.000,0.000
2,4:00,,,CLE 35,3,7,Dustin Hopkins kicks off 65 yards touchback.,0.000,0.940
2,4:00,1,10,PIT 30,3,7,Najee Harris right end for 2 yards (tackle by Grant Delpit and Devin Bush),0.940,0.660
2,3:19,2,8,PIT 32,3,7,Russell Wilson sacked by Myles Garrett for -4 yards. Russell Wilson fumbles (forced by Myles Garrett) recovered by Winston Reid at PIT-31,0.660,-3.510
2,3:11,1,10,PIT 31,3,7,Jameis Winston pass complete short middle to Elijah Moore for 9 yards (tackle by Joey Porter),3.510,4.180
2,2:31,2,1,PIT 22,3,7,Jameis Winston up the middle for 2 yards (tackle by Patrick Queen),4.180,4.240
2,2:00,1,10,PIT 20,3,7,Nick Chubb right tackle for 2 yards (tackle by Cameron Heyward and Larry Ogunjobi),4.240,3.960
2,1:36,2,8,PIT 18,3,7,Penalty on Germain Ifedi: False Start 5 yards (accepted) (no play),3.960,3.290
2,1:36,2,13,PIT 23,3,7,Jameis Winston pass complete short right to Elijah Moore for 6 yards (tackle by Beanie Bishop),3.290,3.360
2,1:27,,,,,,Timeout #2 by Pittsburgh Steelers,,
2,1:27,3,7,PIT 17,3,7,Nick Chubb up the middle for 1 yard (tackle by T.J. Watt and Patrick Queen),3.360,2.400
2,0:43,,,,,,Timeout #1 by Cleveland Browns,,
2,0:43,4,6,PIT 16,3,10,Dustin Hopkins 34 yard field goal good,2.400,3.000
2,0:40,,,CLE 35,3,10,Dustin Hopkins kicks off 65 yards touchback.,0.000,0.940
2,0:40,1,10,PIT 30,3,10,Russell Wilson pass complete short left to Pat Freiermuth for 19 yards (tackle by Greg Newsome and Ronnie Hickman),0.940,2.190
2,0:22,1,10,PIT 49,3,10,Russell Wilson pass incomplete short left,2.190,1.650
2,0:17,2,10,PIT 49,3,10,Russell Wilson pass incomplete deep left intended for George Pickens,1.650,0.960
2,0:11,3,10,PIT 49,3,10,Russell Wilson sacked by Myles Garrett for -8 yards,0.960,-0.650
3,15:00,,,PIT 35,3,10,Chris Boswell kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,CLE 30,3,10,Jameis Winston pass complete short right to Jordan Akins for 12 yards. Jordan Akins fumbles (forced by Minkah Fitzpatrick) recovered by Jordan Akins at CLE-42,0.940,1.730
3,14:27,1,10,CLE 42,3,10,Nick Chubb right guard for 3 yards (tackle by Nick Herbig),1.730,1.590
3,13:54,2,7,CLE 45,3,10,Jameis Winston pass complete deep left to Cedric Tillman for 24 yards. Cedric Tillman fumbles (forced by DeShon Elliott) recovered by Donte Jackson at PIT-26 and returned for -1 yards (tackle by Jameis Winston),1.590,-0.610
3,13:42,1,10,PIT 25,3,10,Najee Harris left guard for 9 yards (tackle by Denzel Ward and Juan Thornhill),0.610,1.280
3,13:17,2,1,PIT 34,3,10,Najee Harris left guard for 3 yards (tackle by Jordan Hicks and Isaiah McGuire),1.280,1.400
3,12:35,1,10,PIT 37,3,10,Najee Harris right guard for 1 yard (tackle by Greg Newsome and Myles Garrett),1.400,0.990
3,11:54,2,9,PIT 38,3,10,Jaylen Warren right end for 2 yards (tackle by Juan Thornhill and Jordan Hicks),0.990,0.560
3,11:12,3,7,PIT 40,3,10,Russell Wilson pass complete short right to Jaylen Warren for 6 yards (tackle by Juan Thornhill),0.560,-0.320
3,10:37,4,1,PIT 46,3,10,Jaylen Warren up the middle for -1 yards (tackle by Maurice Hurst),-0.320,-2.590
3,10:34,1,10,PIT 45,3,10,Jerome Ford right tackle for 3 yards (tackle by Nick Herbig),2.590,2.450
3,10:01,2,7,PIT 42,3,10,Nick Chubb up the middle for 3 yards (tackle by Cameron Heyward and Patrick Queen),2.450,2.150
3,9:20,3,4,PIT 39,3,10,Jameis Winston pass incomplete short left intended for Cedric Tillman (defended by Cameron Heyward),2.150,0.660
3,9:17,4,4,PIT 39,3,10,Corey Bojorquez punts 39 yards touchback.,0.660,-0.280
3,9:09,1,10,PIT 20,3,10,Jaylen Warren left end for 9 yards (tackle by Ronnie Hickman),0.280,0.950
3,8:43,2,1,PIT 29,3,10,Jaylen Warren right end for 5 yards (tackle by Winston Reid and Maurice Hurst),0.950,1.200
3,8:09,1,10,PIT 34,3,10,Russell Wilson pass incomplete short left intended for Jaylen Warren,1.200,0.660
3,8:03,2,10,PIT 34,3,10,Jaylen Warren right tackle for no gain (tackle by Denzel Ward),0.660,-0.030
3,7:22,3,10,PIT 34,3,10,Russell Wilson pass complete deep left to Van Jefferson for 35 yards (tackle by Martin Emerson),-0.030,3.510
3,6:46,1,10,CLE 31,3,10,Najee Harris left tackle for -1 yards (tackle by Mohamoud Diabate and Devin Bush),3.510,2.830
3,6:07,2,11,CLE 32,3,10,Russell Wilson scrambles right end for 10 yards (tackle by Ronnie Hickman),2.830,3.470
3,5:21,3,1,CLE 22,3,10,Najee Harris up the middle for no gain (tackle by Ogbonnia Okoronkwo and Jordan Hicks),3.470,2.140
3,4:43,,,,,,Timeout #1 by Pittsburgh Steelers,,
3,4:43,4,1,CLE 22,3,10,Russell Wilson pass complete short left to Pat Freiermuth for 9 yards (tackle by Rodney McLeod),2.140,4.710
3,4:05,1,10,CLE 13,3,10,Najee Harris up the middle for 4 yards (tackle by Isaiah McGuire),4.710,4.770
3,3:24,2,6,CLE 9,3,10,Zach Frazier aborted snap recovered by Russell Wilson at CLE-16 (tackle by Jordan Hicks),4.770,2.970
3,2:39,3,13,CLE 16,3,10,Russell Wilson pass complete short left to George Pickens for 7 yards (tackle by Martin Emerson),2.970,2.850
3,2:00,4,6,CLE 9,6,10,Chris Boswell 28 yard field goal good,2.850,3.000
3,1:56,,,PIT 35,6,10,Chris Boswell kicks off 57 yards returned by Jerome Ford for 27 yards (tackle by Jeremiah Moon and Miles Killebrew),0.000,1.270
3,1:49,1,10,CLE 35,6,10,Jameis Winston pass complete deep left to Blake Whiteheart for 29 yards (tackle by Donte Jackson),1.270,3.180
3,1:07,1,10,PIT 36,6,10,Nick Chubb right guard for 6 yards (tackle by Joey Porter and Preston Smith),3.180,3.450
3,0:33,2,4,PIT 30,6,10,Nick Chubb right tackle for -1 yards (tackle by T.J. Watt),3.450,2.610
3,0:01,3,5,PIT 31,6,10,Jameis Winston pass complete short middle to Cedric Tillman for 4 yards (tackle by Payton Wilson and Beanie Bishop),2.610,1.820
4,15:00,4,1,PIT 27,6,10,Nick Chubb left guard for 4 yards (tackle by Preston Smith and Larry Ogunjobi),1.820,4.040
4,14:24,1,10,PIT 23,6,10,Jameis Winston pass complete short left to Jordan Akins for 18 yards (tackle by Minkah Fitzpatrick),4.040,6.060
4,13:47,1,5,PIT 5,6,10,Nick Chubb right guard for 3 yards (tackle by Keeanu Benton and Elandon Roberts),6.060,5.720
4,12:59,2,2,PIT 2,6,10,Nick Chubb up the middle for no gain (tackle by Isaiahh Loudermilk),5.720,4.950
4,12:27,3,2,PIT 2,6,10,Jameis Winston pass incomplete short left intended for David Njoku (defended by Patrick Queen),4.950,3.250
4,12:23,4,2,PIT 2,6,16,Jameis Winston scrambles right end for 2 yards touchdown,3.250,7.000
4,12:16,,,PIT 2,6,18,Two Point Attempt: Jameis Winston pass complete to to David Njoku for no gain,1.000,1.000
4,12:16,,,CLE 35,6,18,Dustin Hopkins kicks off 60 yards recovered by Cordarrelle Patterson and returned for no gain recovered by Cordarrelle Patterson at PIT-7 (tackle by Rodney McLeod),0.000,1.000
4,12:10,1,10,PIT 31,6,18,Russell Wilson pass complete short right to Darnell Washington for 4 yards (tackle by Devin Bush and Grant Delpit),1.000,1.000
4,11:32,2,6,PIT 35,6,18,Justin Fields right end for 30 yards (tackle by Juan Thornhill),1.000,3.250
4,10:50,1,10,CLE 35,6,18,Justin Fields left end for -2 yards (tackle by Martin Emerson),3.250,2.430
4,10:03,2,12,CLE 37,6,18,Justin Fields pass incomplete deep right intended for George Pickens. Penalty on Jordan Hicks: Roughing the Passer 15 yards (accepted) (no play),2.430,4.110
4,10:03,1,10,CLE 22,6,18,Najee Harris up the middle for 2 yards (tackle by Shelby Harris and Dalvin Tomlinson),4.110,3.830
4,9:27,2,8,CLE 20,6,18,Penalty on Ogbonnia Okoronkwo: Neutral Zone Infraction 5 yards (accepted) (no play),3.830,4.650
4,9:15,2,3,CLE 15,6,18,Russell Wilson pass complete short right to Najee Harris for 10 yards (tackle by Mohamoud Diabate),4.650,6.060
4,8:29,1,5,CLE 5,6,18,Cordarrelle Patterson right end for -2 yards (tackle by Devin Bush and Grant Delpit). Penalty on Grant Delpit: Unsportsmanlike Conduct / Defense 4 yards (accepted),6.060,6.510
4,8:00,1,3,CLE 3,12,18,Jaylen Warren left guard for 3 yards touchdown,6.510,7.000
4,7:57,,,CLE 15,13,18,Chris Boswell kicks extra point good,0.000,0.000
4,7:57,,,PIT 35,13,18,Chris Boswell kicks off 64 yards returned by Jerome Ford for 23 yards (tackle by Payton Wilson),0.000,0.540
4,7:48,1,10,CLE 24,13,18,Nick Chubb left tackle for 1 yard (tackle by Payton Wilson and T.J. Watt),0.540,0.130
4,7:10,2,9,CLE 25,13,18,Jameis Winston sacked by Nick Herbig for no gain. Jameis Winston fumbles (forced by Nick Herbig) recovered by DeShon Elliott at CLE-27,0.130,-3.780
4,7:05,1,10,CLE 27,13,18,Russell Wilson pass incomplete deep right intended for George Pickens,3.780,3.230
4,7:00,2,10,CLE 27,13,18,Najee Harris up the middle for 4 yards (tackle by Rodney McLeod and Grant Delpit),3.230,3.070
4,6:20,3,6,CLE 23,19,18,Russell Wilson pass complete deep middle to Calvin Austin for 23 yards touchdown,3.070,7.000
4,6:15,,,CLE 2,19,18,Two Point Attempt: Russell Wilson pass incomplete intended for intended for Cordarrelle Patterson,1.000,-1.000
4,6:15,,,PIT 35,19,18,Chris Boswell kicks off 58 yards recovered by Jerome Ford at CLE-11 (tackle by Payton Wilson and Ben Skowronek),0.000,1.140
4,6:09,1,10,CLE 33,19,18,Jameis Winston pass incomplete short right intended for David Njoku. Penalty on Joey Porter: Defensive Holding 4 yards (accepted) (no play),1.140,1.400
4,6:06,1,10,CLE 37,19,18,Nick Chubb up the middle for 4 yards (tackle by Cameron Heyward and Larry Ogunjobi),1.400,1.400
4,5:28,2,6,CLE 41,19,18,Penalty on Germain Ifedi: False Start 5 yards (accepted) (no play),1.400,0.720
4,5:28,2,11,CLE 36,19,18,Jameis Winston pass complete deep right to Jerry Jeudy for 26 yards (tackle by Donte Jackson),0.720,3.050
4,4:38,1,10,PIT 38,19,18,Jameis Winston pass incomplete short left intended for Elijah Moore,3.050,2.510
4,4:34,2,10,PIT 38,19,18,Jameis Winston pass incomplete short right intended for David Njoku (defended by Beanie Bishop),2.510,1.820
4,4:28,3,10,PIT 38,19,18,Jameis Winston pass deep left intended for Elijah Moore is intercepted by Donte Jackson at PIT-22 and returned for 2 yards (tackle by Elijah Moore),1.820,-0.540
4,4:22,1,10,PIT 24,19,18,Najee Harris up the middle for 3 yards (tackle by Grant Delpit),0.540,0.400
4,3:39,2,7,PIT 27,19,18,Najee Harris right end for 3 yards (tackle by Mohamoud Diabate),0.400,0.100
4,3:34,,,,,,Timeout #1 by Cleveland Browns,,
4,3:34,3,4,PIT 30,19,18,Justin Fields pass incomplete deep left intended for George Pickens,0.100,-1.370
4,3:29,4,4,PIT 30,19,18,Corliss Waitman punts 15 yards out of bounds,-1.370,-2.590
4,3:22,1,10,PIT 45,19,18,Jerome Ford left guard for 7 yards (tackle by Cameron Heyward),2.590,2.990
4,2:46,2,3,PIT 38,19,18,Jameis Winston pass incomplete short middle intended for Jordan Akins,2.990,2.280
4,2:40,3,3,PIT 38,19,18,Jameis Winston pass incomplete short middle intended for David Njoku (defended by DeShon Elliott),2.280,0.720
4,2:36,4,3,PIT 38,19,18,Jameis Winston pass complete short left to Jerry Jeudy for 5 yards (tackle by Joey Porter),0.720,3.380
4,2:11,1,10,PIT 33,19,18,Jameis Winston pass complete short left to Jordan Akins for 8 yards,3.380,3.920
4,2:05,2,2,PIT 25,19,18,Jerome Ford up the middle for no gain (tackle by Nick Herbig and Cameron Heyward),3.920,3.200
4,2:00,3,2,PIT 25,19,18,Jameis Winston pass incomplete short middle. Penalty on Ethan Pocic: Illegal Touch Pass 4 yards (accepted) (no play),3.200,2.680
4,1:55,,,,,,Timeout #2 by Pittsburgh Steelers,,
4,1:55,3,6,PIT 29,19,18,Jameis Winston pass complete short left to Jerry Jeudy for 15 yards (tackle by Joey Porter),2.680,4.650
4,1:43,1,10,PIT 14,19,18,Penalty on Beanie Bishop: Defensive Delay of Game 5 yards (accepted) (no play),4.650,5.140
4,1:42,1,9,PIT 9,19,18,Nick Chubb right guard for 7 yards (tackle by Minkah Fitzpatrick and T.J. Watt),5.140,5.720
4,1:00,2,2,PIT 2,19,24,Nick Chubb up the middle for 2 yards touchdown,5.720,7.000
4,0:57,,,PIT 15,19,24,Penalty on Winston Reid: False Start 5 yards (accepted) (no play),0.000,1.000
4,0:57,,,PIT 2,19,24,Two Point Attempt: Jameis Winston pass incomplete intended for intended for Jerry Jeudy,1.000,-1.000
4,0:57,,,CLE 35,19,24,Dustin Hopkins kicks off 55 yards returned by Jaylen Warren for 26 yards (tackle by Khaleke Hudson),0.000,1.330
4,0:50,1,10,PIT 36,19,24,Russell Wilson pass complete short right to Pat Freiermuth for 9 yards (tackle by Greg Newsome),1.330,2.010
4,0:27,2,1,PIT 45,19,24,Russell Wilson pass incomplete short left,2.010,1.290
4,0:23,3,1,PIT 45,19,24,Russell Wilson pass complete short left to Jaylen Warren for 11 yards (tackle by Grant Delpit),1.290,2.650
4,0:16,,,,,,Timeout #3 by Pittsburgh Steelers,,
4,0:16,1,10,CLE 44,19,24,Russell Wilson pass incomplete short left,2.650,2.110
4,0:10,,,,,,Timeout #2 by Cleveland Browns,,
4,0:10,2,10,CLE 44,19,24,Russell Wilson pass complete short left to Calvin Austin for 9 yards,2.110,2.610
4,0:06,,,,,,Timeout #3 by Cleveland Browns,,
4,0:06,3,1,CLE 35,19,24,Russell Wilson pass incomplete deep right,2.610,1.000
