Quarter,Time,Down,ToGo,Location,PHI,LAR,Detail,EPB,EPA
1,7:26,1,8,LAR 8,0,0,Saquon Barkley up the middle for 2 yards (tackle by Bobby Brown),5.370,4.950
1,6:43,2,6,LAR 6,0,0,Jalen Hurts right tackle for 2 yards (tackle by Tyler Davis),4.950,4.490
1,6:03,3,4,LAR 4,0,0,Jalen Hurts pass complete short middle to Dallas Goedert for 1 yard (tackle by Omar Speights and Jared Verse),4.490,3.040
1,5:17,4,3,LAR 3,3,0,Jake Elliott 21 yard field goal good,3.040,3.000
1,5:13,,,PHI 35,3,0,Braden Mann kicks off 65 yards touchback.,0.000,0.940
1,5:13,1,10,LAR 30,3,0,Kyren Williams left tackle for 3 yards (tackle by Nakobe Dean),0.940,0.800
1,4:37,2,7,LAR 33,3,0,Matthew Stafford pass complete short middle to Puka Nacua for 14 yards (tackle by Quinyon Mitchell),0.800,2.060
1,3:59,1,10,LAR 47,3,0,Matthew Stafford pass complete short right to Cooper Kupp for 4 yards (tackle by Cooper DeJean),2.060,2.060
1,3:24,2,6,PHI 49,3,0,Kyren Williams left tackle for 11 yards (tackle by Reed Blankenship),2.060,3.050
1,2:45,1,10,PHI 38,3,0,Matthew Stafford pass incomplete short right intended for Cooper Kupp,3.050,2.510
1,2:39,2,10,PHI 38,3,0,Matthew Stafford pass complete short middle to Demarcus Robinson for 13 yards (tackle by Nakobe Dean),2.510,3.910
1,1:59,1,10,PHI 25,3,0,Matthew Stafford pass complete short right to Puka Nacua for 18 yards (tackle by Zack Baun),3.910,5.600
1,1:15,1,7,PHI 7,3,0,Matthew Stafford pass incomplete short right,5.600,4.760
1,1:11,2,7,PHI 7,3,0,Matthew Stafford pass incomplete short middle intended for Demarcus Robinson. Penalty on Darius Slay: Defensive Pass Interference 6 yards (accepted) (no play),4.760,6.970
1,1:06,1,1,PHI 1,3,6,Kyren Williams up the middle for 1 yard touchdown,6.970,7.000
1,1:02,,,PHI 15,3,7,Joshua Karty kicks extra point good,0.000,0.000
1,1:02,,,LAR 35,3,7,Ethan Evans kicks off 65 yards touchback.,0.000,0.940
1,1:02,1,10,PHI 30,3,7,Jalen Hurts pass complete short middle to Saquon Barkley for 4 yards (tackle by Tyler Davis),0.940,0.930
1,0:19,2,6,PHI 34,3,7,Jalen Hurts up the middle for 3 yards (tackle by Michael Hoecht and Christian Rozeboom),0.930,0.630
2,15:00,3,3,PHI 37,3,7,Saquon Barkley up the middle for 7 yards (tackle by Kamren Kinchens),0.630,1.860
2,14:19,1,10,PHI 44,3,7,Jalen Hurts pass incomplete deep right,1.860,1.320
2,14:12,2,10,PHI 44,3,7,Saquon Barkley up the middle for 4 yards (tackle by Jared Verse),1.320,1.160
2,13:32,3,6,PHI 48,3,7,Jalen Hurts sacked by Braden Fiske for -12 yards,1.160,-0.980
2,12:47,4,18,PHI 36,3,7,Braden Mann punts 54 yards returned by Xavier Smith for 11 yards (tackle by Oren Burks),-0.980,-0.340
2,12:36,1,10,LAR 21,3,7,Matthew Stafford pass complete short right to Puka Nacua for 6 yards (tackle by Cooper DeJean),0.340,0.610
2,11:58,2,4,LAR 27,3,7,Matthew Stafford pass incomplete short left intended for Puka Nacua (defended by Darius Slay),0.610,-0.100
2,11:53,3,4,LAR 27,3,7,Matthew Stafford pass incomplete short left intended for Cooper Kupp (defended by Cooper DeJean),-0.100,-1.570
2,11:48,4,4,LAR 27,3,7,Ethan Evans punts 37 yards fair catch by Britain Covey at PHI-36,-1.570,-1.330
2,11:40,1,10,PHI 36,3,7,Saquon Barkley right end for 4 yards (tackle by Quentin Lake),1.330,1.330
2,11:06,2,6,PHI 40,3,7,Saquon Barkley right guard for 3 yards (tackle by Jared Verse and Quentin Lake),1.330,1.030
2,10:27,3,3,PHI 43,3,7,Jalen Hurts scrambles left end for 11 yards (tackle by Quentin Lake),1.030,2.520
2,10:00,1,10,LAR 46,3,7,Kenneth Gainwell right guard for 3 yards (tackle by Braden Fiske and Kobie Turner),2.520,2.380
2,9:21,2,7,LAR 43,3,7,Kenneth Gainwell up the middle for 3 yards (tackle by Kobie Turner),2.380,2.080
2,8:50,3,4,LAR 40,3,7,Jalen Hurts pass complete short right to A.J. Brown for 27 yards (tackle by Kamren Curl),2.080,4.710
2,8:01,1,10,LAR 13,3,7,Jalen Hurts pass complete short left to Jahan Dotson for no gain (tackle by Christian Rozeboom). Penalty on Landon Dickerson: Ineligible Downfield Pass 5 yards (accepted) (no play),4.710,4.290
2,7:25,1,15,LAR 18,3,7,Jalen Hurts pass incomplete deep right intended for Dallas Goedert. Penalty on Jahan Dotson: Offensive Offside 5 yards (declined),4.290,3.400
2,7:25,2,15,LAR 18,3,7,Jalen Hurts pass complete short right to Saquon Barkley for -1 yards (tackle by Braden Fiske),3.400,2.670
2,6:52,3,16,LAR 19,3,7,Jalen Hurts scrambles left end for 6 yards (tackle by Cobie Durant). Penalty on Dallas Goedert: Illegal Motion 5 yards (declined),2.670,2.570
2,6:20,4,10,LAR 13,6,7,Jake Elliott 31 yard field goal good,2.570,3.000
2,6:17,,,PHI 35,6,7,Braden Mann kicks off 65 yards touchback.,0.000,0.940
2,6:17,1,10,LAR 30,6,7,Kyren Williams left end for no gain (tackle by Nakobe Dean),0.940,0.390
2,5:37,2,10,LAR 30,6,7,Kyren Williams right tackle for 1 yard (tackle by Moro Ojomo),0.390,-0.160
2,4:57,3,9,LAR 31,6,7,Matthew Stafford sacked by Brandon Graham for -9 yards,-0.160,-1.900
2,4:24,4,18,LAR 22,6,7,Ethan Evans punts 48 yards returned by Britain Covey for 8 yards (tackle by Jordan Whittington),-1.900,-1.470
2,4:13,1,10,PHI 38,6,7,Saquon Barkley left tackle for 9 yards (tackle by Cobie Durant and Kamren Kinchens),1.470,2.140
2,3:42,2,1,PHI 47,6,7,Jalen Hurts pass complete short right to Jahan Dotson for 4 yards (tackle by Omar Speights),2.140,2.320
2,3:11,1,10,LAR 49,6,7,Saquon Barkley right guard for 8 yards (tackle by Omar Speights),2.320,2.860
2,2:46,2,2,LAR 41,6,7,Saquon Barkley right tackle for 11 yards (tackle by Jared Verse),2.860,3.580
2,2:07,1,10,LAR 30,6,7,Jalen Hurts left end for no gain (tackle by Byron Young),3.580,3.030
2,2:00,2,10,LAR 30,6,7,Jalen Hurts pass complete short left to Dallas Goedert for 5 yards (tackle by Christian Rozeboom),3.030,3.010
2,1:53,,,,,,Timeout #1 by Los Angeles Rams,,
2,1:53,3,5,LAR 25,6,7,Jalen Hurts scrambles left end for 5 yards (tackle by Christian Rozeboom),3.010,4.240
2,1:46,1,10,LAR 20,6,7,Jalen Hurts pass complete short right to Saquon Barkley for 13 yards,4.240,5.600
2,1:36,1,7,LAR 7,6,7,Saquon Barkley right guard for 1 yard (tackle by Christian Rozeboom and Kamren Kinchens),5.600,4.950
2,1:32,,,,,,Timeout #2 by Los Angeles Rams,,
2,1:32,2,6,LAR 6,12,7,Jalen Hurts pass incomplete short left intended for A.J. Brown (defended by Quentin Lake) Replay Assistant challenged the pass completion ruling and the original play was overturned. Jalen Hurts pass complete short left to A.J. Brown for 6 yards touchdown touchdown,4.950,7.000
2,1:27,,,LAR 15,13,7,Jake Elliott kicks extra point good,0.000,0.000
2,1:27,,,PHI 35,13,7,Braden Mann kicks off 65 yards touchback.,0.000,0.940
2,1:27,1,10,LAR 30,13,7,Matthew Stafford pass complete short left to Cooper Kupp for 5 yards (tackle by Quinyon Mitchell),0.940,1.070
2,1:23,2,5,LAR 35,13,7,Matthew Stafford sacked by Nakobe Dean for -8 yards,1.070,-0.690
2,0:39,3,13,LAR 27,13,7,Kyren Williams right tackle for 8 yards (tackle by Nakobe Dean and Darius Slay),-0.690,-1.040
2,0:33,,,,,,Timeout #1 by Philadelphia Eagles,,
2,0:33,4,5,LAR 35,13,7,Ethan Evans punts 28 yards out of bounds,-1.040,-1.400
2,0:26,1,10,PHI 37,13,7,Jalen Hurts pass incomplete short middle intended for Johnny Wilson. Penalty on Quentin Lake: Defensive Pass Interference 12 yards (accepted) (no play),1.400,2.190
2,0:21,1,10,PHI 49,13,7,Jalen Hurts pass incomplete short left intended for Grant Calcaterra,2.190,1.650
2,0:17,2,10,PHI 49,13,7,Jalen Hurts up the middle for 3 yards (tackle by Michael Hoecht),1.650,1.360
2,0:11,,,,,,Timeout #2 by Philadelphia Eagles,,
2,0:11,3,7,LAR 48,13,7,Jalen Hurts pass incomplete short left intended for A.J. Brown (defended by Darious Williams),1.360,0.070
2,0:07,,,,,,Timeout #3 by Los Angeles Rams,,
2,0:07,4,7,LAR 48,13,7,Jalen Hurts left tackle for -4 yards (tackle by Michael Hoecht),0.070,-2.390
2,0:02,1,10,PHI 48,13,7,Matthew Stafford sacked by Josh Sweat for -9 yards,2.390,0.630
3,15:00,,,LAR 35,13,7,Ethan Evans kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,PHI 30,19,7,Saquon Barkley right tackle for 70 yards touchdown,0.940,7.000
3,14:49,,,LAR 15,20,7,Jake Elliott kicks extra point good,0.000,0.000
3,14:49,,,PHI 35,20,7,Braden Mann kicks off 65 yards touchback.,0.000,0.940
3,14:49,1,10,LAR 30,20,7,Kyren Williams left guard for 7 yards. Kyren Williams fumbles (forced by Jalen Carter) recovered by Steve Avila at LA-39,0.940,1.610
3,14:06,2,1,LAR 39,20,7,Kyren Williams up the middle for 7 yards (tackle by Nakobe Dean and Zack Baun),1.610,1.990
3,13:26,1,10,LAR 46,20,7,Matthew Stafford pass complete deep right to Puka Nacua for 16 yards. Penalty on Darius Slay: Defensive Pass Interference 15 yards (declined),1.990,3.050
